"","modalidade","quantidade","quant","porc","porc2","porc0"
"1","Homologada",32067,NA,3.11645070406109,3.12,3
"2","Não Homologada",3243,NA,0.315172907764061,0.32,0
"3","Interditada",17,NA,0.00165215523650602,0,0
"4","Dominial",193,NA,0.0187568212144507,0.02,0
"5","Reserva Indigena",29,NA,0.00281838246227498,0,0
"6","Proteção Integral",3656,NA,0.355310561450942,0.36,0
"7","Uso Sustentável",119782,NA,11.6410857964214,11.64,12
"8","Militar",782,NA,0.075999140879277,0.08,0
"9","Outros Usos",621,NA,0.0603522589335435,0.06,0
"10","Sem Destinação",34372,NA,3.34046351701088,3.34,3
"11","Assentamento ",289095,NA,28.0958716528064,28.1,28
"12","Quilombola",9461,NA,0.919472981916675,0.92,1
"13","Urbanizada",6185,NA,0.60109294928175,0.6,1
"14","Rural-Minifúndio",400251,NA,38.8986344451042,38.9,39
"15","Rural-Pequena",208365,NA,20.2500779914457,20.25,20
"16","Rural-Média",611,NA,0.0593804029120694,0.06,0
"17","Rural-Grande",66753,NA,6.48743050014626,6.49,6
"18","Sem Classificação",166692,NA,16.2000623931566,16.2,16
