"","est","modalidades","quantidade","porc","porc2","porc0"
"1","AC","Homologada",1803,4.85342809,4.85,5
"2","AC","Não Homologada",112,0.3014886,0.3,0
"3","AC","Interditada",0,0,0,0
"4","AC","Dominial",28,0.07537215,0.08,0
"5","AC","Reserva Indígena",0,0,0,0
"6","AC","Proteção Integral",481,1.29478586,1.29,1
"7","AC","Uso Sustentável",13375,36.00366093,36,36
"8","AC","Militar",0,0,0,0
"9","AC","Outros Usos",0,0,0,0
"10","AC","Sem Destinação",1516,4.08086355,4.08,4
"11","AC","Assentamento",17859,48.07397238,48.07,48
"12","AC","Quilombola",0,0,0,0
"13","AC","Urbanizada",91,0.24495949,0.24,0
"14","AC","Rural-Minifúndio",15422,41.51390347,41.51,42
"15","AC","Rural-Pequena",6044,16.26961695,16.27,16
"16","AC","Rural-Média",4390,11.81727637,11.82,12
"17","AC","Rural-Grande",6615,17.80667044,17.81,18
"18","AC","Sem Classificação",6513,17.5321,17.53,18
"19","AM","Homologada",11884,14.778337375,14.78,15
"20","AM","Não Homologada",966,1.20126842,1.2,1
"21","AM","Interditada",0,0,0,0
"22","AM","Dominial",125,0.155443636,0.16,0
"23","AM","Reserva Indígena",0,0,0,0
"24","AM","Proteção Integral",549,0.68270845,0.68,1
"25","AM","Uso Sustentável",24714,30.733072188,30.73,31
"26","AM","Militar",8,0.009948393,0.01,0
"27","AM","Outros Usos",621,0.772243984,0.77,1
"28","AM","Sem Destinação",10556,13.126904185,13.13,13
"29","AM","Assentamento",15835,19.691599826,19.69,20
"30","AM","Quilombola",164,0.203942051,0.2,0
"31","AM","Urbanizada",71,0.088291985,0.09,0
"32","AM","Rural-Minifúndio",16237,20.19150656,20.19,20
"33","AM","Rural-Pequena",6965,8.661319406,8.66,9
"34","AM","Rural-Média",1614,2.00708823,2.01,2
"35","AM","Rural-Grande",8684,10.79898029,10.8,11
"36","AM","Sem Classificação",26767,33.28608,33.29,33
"37","AP","Homologada",835,9.8699764,9.87,10
"38","AP","Não Homologada",0,0,0,0
"39","AP","Interditada",0,0,0,0
"40","AP","Dominial",0,0,0,0
"41","AP","Reserva Indígena",0,0,0,0
"42","AP","Proteção Integral",40,0.4728132,0.47,0
"43","AP","Uso Sustentável",2595,30.6737589,30.67,31
"44","AP","Militar",26,0.3073286,0.31,0
"45","AP","Outros Usos",0,0,0,0
"46","AP","Sem Destinação",1515,17.9078014,17.91,18
"47","AP","Assentamento",2593,30.6501182,30.65,31
"48","AP","Quilombola",142,1.678487,1.68,2
