"","cr1","cr","q","s","porc","porc2","porc0"
"1","CSAR","1 Camada- sem área Rural",54941,"B",5.33947416758102,5.34,5
"2",NA,"Sem Classificação",263694,"1CSAR",25.6272601726599,25.63,26
"3","SD","Sem Destinação",16612,"1CSAR",1.61444722287283,1.61,2
"4","AS","Assentamento",5875,"1CSAR",0.570965412616052,0.57,1
"5","U","Urbanizado",4113,"1CSAR",0.39972438163231,0.4,0
"6","US","Uso Sustentável",2803,"1CSAR",0.272411242819199,0.27,0
"7","PI","Proteção Integral",2176,"1CSAR",0.211475870272771,0.21,0
"8","OU","Outros Usos",495,"1CSAR",0.0481068730629695,0.05,0
"9","Q","Quilombola",349,"1CSAR",0.0339177751494472,0.03,0
"10","TIH","Terra Índigena Homologada",237,"1CSAR",0.0230329877089369,0.02,0
"11","MI","Militar",58,"1CSAR",0.00563676492454996,0.01,0
"12","TINH","Terra Índigena Não Homologada",11,"1CSAR",0.00106904162362154,0,0
"13","CSAR2","2 Camadas-Sem Área Rural",38167,"2CSAR",3.70928287716031,3.71,4
"14","CSAR3","3 Camadas-Sem Área Rural",657,"3CSAR",0.0638509406108504,0.06,0
"15","CAR","1 Camada-somete de área Rural",330963,"C",32.1648384435143,32.16,32
"16","MF","Minifúndio",139428,"1CR",13.5503941362095,13.55,14
"17","P","Pequena Propriedade Rural",91374,"1CR",8.88023721061772,8.88,9
"18","M","Média Propriedade Rural",40318,"1CR",3.9183291073794,3.92,4
"19","G","Grande Propriedade Rural",59843,"1CR",5.81587798930764,5.82,6
"20","CR1","2-5 Camadas sobreepostas que contém  uma camada rural",223592,"CS1CR",21.7299231553444,21.73,22
"21","CR2","2-5 Camadas sobrepostas que contém duas camadas rurais",129741,"CS2CR",12.6089572082075,12.61,13
"22","CR3","3-5 Camadas sobrepostas que contém três camadas rurais",9140,"CS3CR",0.888276403627355,0.89,1
"23","CR4","4-6 Camadas sobrepostas que contém quatro camadas rurais",151,"CS4CR",0.0146750259242594,0.01,0
"24","TOT","Total Rural",693712,"H",67.4188184368862,67.42,67
"25","TOTT","Total Sem Rural ",335247,"J",32.5811815631138,32.58,33
