est;modalidades;quantidade;porc
AC;Homologada;1803;4.85342809
AC;Não Homologada;112;0.30148860
AC;Interditada;0; 0.00000000 
AC;Dominial;28;0.07537215
AC;Reserva Indígena;0; 0.00000000 
AC;Proteção Integral;481;1.29478586
AC;Uso Sustentável;13375;36.00366093
AC;Militar;0; 0.00000000 
AC;Outros Usos;0; 0.00000000 
AC;Sem Destinação;1516; 4.08086355
AC;Assentamento;17859;48.07397238
AC;Quilombola;0; 0.00000000 
AC;Urbanizada;91;0.24495949
AC;Rural-Minifúndio;15422;41.51390347
AC;Rural-Pequena;6044;16.26961695
AC;Rural-Média;4390;11.81727637
AC;Rural-Grande;6615;17.80667044
AC;Sem Classificação;6513;17.5321
AM;Homologada;11884;14.778337375
AM;Não Homologada;966;1.201268420
AM;Interditada;0;0.000000000
AM;Dominial;125;0.155443636
AM;Reserva Indígena;0;0.000000000
AM;Proteção Integral;549;0.682708450
AM;Uso Sustentável;24714;30.733072188
AM;Militar;8;0.009948393 
AM;Outros Usos;621;0.772243984
AM;Sem Destinação;10556;13.126904185
AM;Assentamento;15835;19.691599826
AM;Quilombola;164;0.203942051
AM;Urbanizada;71;0.088291985
AM;Rural-Minifúndio;16237;20.191506560
AM;Rural-Pequena;6965;8.661319406
AM;Rural-Média;1614;2.007088230
AM;Rural-Grande;8684;10.798980290
AM;Sem Classificação;26767;33.28608
AP;Homologada;835;9.8699764
AP;Não Homologada;0;0.0000000
AP;Interditada;0;0.0000000
AP;Dominial;0;0.0000000
AP;Reserva Indígena;0;0.0000000
AP;Proteção Integral;40;0.4728132
AP;Uso Sustentável;2595;30.6737589
AP;Militar;26;0.3073286;
AP;Outros Usos;0;0.0000000
AP;Sem Destinação;1515;17.9078014
AP;Assentamento;2593;30.6501182
AP;Quilombola;142;1.6784870
AP;Urbanizada;149;1.7612293
AP;Rural-Minifúndio;927;10.9574468
AP;Rural-Pequena;1847;21.8321513
AP;Rural-Média;658;7.7777778
AP;Rural-Grande;1226;14.4917258 
AP;Sem Classificação;1902;22.48227
MA;Homologada;3786;1.19214807071019
MA;Não Homologada;1669;0.525540182254438
MA;Interditada;0;0.0000000
MA;Dominial;40;0.0125953309108314
MA;Reserva Indígena;2;0.000629766545541568
MA;Proteção Integral;947;0.298194459313932
MA;Uso Sustentável;10664;3.35791522082764
MA;Militar;671;0.211286676029196
MA;Outros Usos;0;0.0000000
MA;Sem Destinação;981;0.308900490588139
MA;Assentamento;57506;18.1076774839567
MA;Quilombola;3896;1.22678523071497
MA;Urbanizada;2858;0.8999363935789
MA;Rural-Minifúndio;108797;34.258355427643
MA;Rural-Pequena;40909;12.88155980578
MA;Rural-Média;28450;8.9584291103288
MA;Rural-Grande;65260;20.5492823810214 
MA;Sem Classificação;103674;32.64521           
MT;Homologada;951;0.802301449373176
MT;Não Homologada;122;0.102924055545244
MT;Interditada;1;0.000843639799551184
MT;Dominial;0;0.0000000
MT;Reserva Indígena;9;0.00759275819596065
MT;Proteção Integral;385;0.324801322827206
MT;Uso Sustentável;1567;1.3219835658967
MT;Militar;21;0.0177164357905749
MT;Outros Usos;0;0.0000000
MT;Sem Destinação;1348;1.137226449795
MT;Assentamento;40974;34.5672971468102
MT;Quilombola;374;0.315521285032143
MT;Urbanizada;178;0.150167884320111
MT;Rural-Minifúndio;59531;50.2227209070815
MT;Rural-Pequena;20938;17.6641301230027
MT;Rural-Média;8784;7.4105319992576
MT;Rural-Grande;18431;15.5491251455279
MT;Sem Classificação;21511;18.14754
PA;Homologada;2623;0.935409326
PA;Não Homologada;281;0.100209691
PA;Interditada;10; 0.003566181
PA;Dominial;0;0.000000000
PA;Reserva Indígena;17;0.006062508
PA;Proteção Integral;492;0.175456115
PA;Uso Sustentável;54560;19.457084576
PA;Militar;39;0.013908107
PA;Outros Usos;0;0.000000000 
PA;Sem Destinação;10513;3.749126286
PA;Assentamento;103469;36.898920160
PA;Quilombola;4557;1.625108769
PA;Urbanizada;2263;0.807026803
PA;Rural-Minifúndio;107419;38.307561731
PA;Rural-Pequena;73335;26.152589761
PA;Rural-Média;12664; 4.516211860 
PA;Rural-Grande;59544;21.234469281
PA;Sem Classificação;77459;27.62328
RR;Homologada;9120;28.95054282
RR;Não Homologada;0;0.00000000
RR;Interditada;6;0.01904641
RR;Dominial;0;0.00000000
RR;Reserva Indígena;0;0.00000000
RR;Proteção Integral;540;1.71417688
RR;Uso Sustentável;9260;29.39495905
RR;Militar;8;0.02539521
RR;Outros Usos;0;0.00000000
RR;Sem Destinação;1540;4.88857850
RR;Assentamento;12706;40.33394705
RR;Quilombola;0;0.00000000
RR;Urbanizada;250;0.79360041
RR;Rural-Minifúndio;12984;41.21643070
RR;Rural-Pequena;3180;10.09459717
RR;Rural-Média;976;3.09821599 
RR;Rural-Grande;556; 1.76496730
RR;Sem Classificação;3994;12.67856
RO;Homologada;420;0.46007734
RO;Não Homologada;18;0.01971760
RO;Interditada;0;0.00000000
RO;Dominial;0;0.00000000
RO;Reserva Indígena;0;0.00000000
RO;Proteção Integral;16;0.01752676
RO;Uso Sustentável;1850;2.02653113
RO;Militar;9;0.00985880
RO;Outros Usos;0;0.00000000
RO;Sem Destinação;2146;2.35077611
RO;Assentamento;22382;24.51774036
RO;Quilombola;38;0.04162604
RO;Urbanizada;148;0.16212249
RO;Rural-Minifúndio;50319;55.12055122
RO;Rural-Pequena;41786;45.77331332
RO;Rural-Média;2498;2.73636473
RO;Rural-Grande;2551;2.79442211
RO;Sem Classificação;11955;13.09577
TO;Homologada;645;1.013832128
TO;Não Homologada;75;0.117887457
TO;Interditada;0;0.000000000 
TO;Dominial;0;0.000000000 
TO;Reserva Indígena;1;0.001571833
TO;Proteção Integral;206;0.323797548
TO;Uso Sustentável;1197;1.881483810
TO;Militar;0;0.000000000 
TO;Outros Usos;0;0.000000000 
TO;Sem Destinação;4257;6.691292047
TO;Assentamento;15771;24.789374411
TO;Quilombola;290;0.455831500
TO;Urbanizada;177;0.278214398
TO;Rural-Minifúndio;28615;44.977994341
TO;Rural-Pequena;13361;21.001257466
TO;Rural-Média;6719;10.561144294
TO;Rural-Grande;3825;6.012260296
TO;Sem Classificação;9919;15.5910
