est;modalidades;quantidade;porc;porc0
AC;Homologada;1803;2.42825012;2
AC;Não Homologada;112;0.15083972;0
AC;Interditada;0;0.00000000;0
AC;Dominial;28;0.03770993;0
AC;Reserva Indigena;0;0.00000000;0
AC;Proteção Integral;481;0.64780272;1
AC;Uso Sustentável;13375;18.01322541;18
AC;Militar;0;0.00000000;0
AC;Outros Usos;0;0.00000000;0
AC;Sem Destinação;1516;2.04172334;2
AC;Assentamento;17859;24.05220132;24
AC;Quilombola;0;0.00000000;0
AC;Urbanizada;91;0.12255727;0
AC;Rural-Minifúndio;15422;20.77009064;21
AC;Rural-Pequena;6044;8.13995771;8
AC;Rural-Média;4390;5.91237828;6
AC;Rural-Grande;6615;8.90897092;9
AC;Sem Classificação;6515;8.77429260;9
AM;Homologada;11884; 9.448994196; 9
AM;Não Homologada;966; 0.768068697; 1
AM;Interditada;0;0.000000000;0
AM;Dominial;125;0.099387771;0
AM;Reserva Indigena;0;0.000000000;0
AM;Proteção Integral;549; 0.436511092;0
AM;Uso Sustentável;24714; 19.650155045;0
AM;Militar;8;0.006360817;0
AM;Outros Usos;621;0.493758448;0
AM;Sem Destinação;10556;8.393098513;8
AM;Assentamento;15835; 12.590442872; 13
AM;Quilombola;164; 0.130396756;0
AM;Urbanizada;71;0.056452254; 0
AM;Rural-Minifúndio;16237;12.910073945;13
AM;Rural-Pequena;6965; 5.537886618;6
AM;Rural-Média;1614; 1.283294903;1
AM;Rural-Grande;8684; 6.904667250;7
AM;Sem Classificação;26777;21.290450823;21
AP;Homologada;835;5.7765479;6
AP;Não Homologada;0;0.000000000;0
AP;Interditada;0;0.000000000;0
AP;Dominial;0;0.000000000;0
AP;Reserva Indigena;0;0.000000000; 0
AP;Proteção Integral;40;0.2767209; 0
AP;Uso Sustentável;2595;17.9522657; 18
AP;Militar;26;0.1798686;0
AP;Outros Usos;0;0.000000000;0
AP;Sem Destinação;1515;10.4808025;10
AP;Assentamento;2593;17.9384296;18
AP;Quilombola;142;0.9823590;1
AP;Urbanizada;149;1.0307852;1
AP;Rural-Minifúndio;927;6.4130059;6
AP;Rural-Pequena;1847;12.7775856;13
AP;Rural-Média;658;4.5520581;5
AP;Rural-Grande;1226;8.4814943;8
AP;Sem Classificação;1902;13.1580768;13
MA;Homologada;3786;0.631899403484293;1
MA;Não Homologada;1669;0.278563154890461;0
MA;Interditada;0;0.000000000;0
MA;Dominial;40;0.00667616908065814;0
MA;Reserva Indigena;2;0.000333808454032907;0
MA;Proteção Integral;1389;0.231829971325854;0
MA;Uso Sustentável;12003;2.00335143687849;2
MA;Militar;671;0.11199273632804;0
