est;modalidades;quantidade 
AC;Indigena;1943 
AC;Sistema Florestal Brasileiro;15372 
AC;Assentamento ;17859 
AC;Quilombola;0 
AC;Urbanizada;91 
AC;Rural;32471 
AM;Indigena;12975 
AM;Sistema Florestal Brasileiro;36448 
AM;Assentamento ;15835 
AM;Quilombola;164 
AM;Urbanizada;71 
AM;Rural;33500 
AP;Indigena;835 
AP;Sistema Florestal Brasileiro;4176 
AP;Assentamento ;2593 
AP;Quilombola;142 
AP;Urbanizada;149 
AP;Rural;4658 
MA;Indigena;5497 
MA;Sistema Florestal Brasileiro;16727 
MA;Assentamento ;72554 
MA;Quilombola;4445 
MA;Urbanizada;2858 
MA;Rural;366976 
MT;Indigena;1083 
MT;Sistema Florestal Brasileiro;3321 
MT;Assentamento ;40974 
MT;Quilombola;374 
MT;Urbanizada;178 
MT;Rural;107685 
PA;Indigena;2931 
PA;Sistema Florestal Brasileiro;65604 
PA;Assentamento ;103469 
PA;Quilombola;4557 
PA;Urbanizada;2263 
PA;Rural;252968 
RR;Indigena;9126 
RR;Sistema Florestal Brasileiro;11348 
RR;Assentamento ;12706 
RR;Quilombola;0 
RR;Urbanizada;250 
RR;Rural;17698 
RO;Indigena;438 
RO;Sistema Florestal Brasileiro;4021 
RO;Assentamento ;22382 
RO;Quilombola;38 
RO;Urbanizada;148 
RO;Rural;97138 
TO;Indigena;721 
TO;Sistema Florestal Brasileiro;5660 
TO;Assentamento ;15771 
TO;Quilombola;290 
TO;Urbanizada;177 
TO;Rural;52521 
