c;c1;q
sd;Sem Destinação (SD);17620
sdmf;SD e Minifúndio;7109
sdmfp;SD, Minifúndio + Propriedades Rurais;1404
sdp;SD e Pequena Propriedade Rural;4231
sdpm;SD, Pequena + Propriedades Rurais;407
sdm;SD e Média Propriedade Rural;1244
sdmg;SD, Média + Propriedades Rurais;110
sdg;SD e Grande Propriedade Rural;2512
sdas;SD e Assentamento;85
sdasmf;SD, Assentamento  + Propriedades Rurais;1019
sdq;SD e Quilombola;20
sdqmf;SD, Quilombola  + Propriedades Rurais;123
sdth;SD e Terra Índigena Homologada;23
sdthmf;SD,Terra Índigena Homologada  + Propriedades Rurais;5
sdu;SD e Urbanizada;131
sdug;SD, Urbanizada + Propriedades Rurais;10
