;X;sobreposicao;quant;porc;porc0;porc3
19;19;sd;16612;161.444.722.287.283;2;1.61
26;26;sdmfp;421;0.040915139;0;0.04
27;27;sdp;4210;0.409151385;0;0.41
28;28;sdmf;6692;0.65036605;1;0.65
29;29;sdpg;321;0.031196578;0;0.03
31;31;sdmg;110;0.010690416;0;0.01
32;32;sdg;2395;0.232759517;0;0.23
38;38;sdmfg;685;0.066572137;0;0.07
56;56;sdm;1241;0.120607332;0;0.12
64;64;sdpm;69;0.006705807;0;0.01
67;67;sdmfm;122;0.011856643;0;0.01
68;68;sdmfpm;19;0.001846526;0;0
72;72;assdmf;518;0.050342142;0;0.05
73;73;assd;85;0.008260776;0;0.01
78;78;sdpmg;14;0.001360598;0;0
86;86;sdmfpg;34;0.00330431;0;0
98;98;assdp;177;0.017201852;0;0.02
101;101;qsd;20;0.001943712;0;0
106;106;usd;131;0.012731314;0;0.01
111;111;qsdg;42;0.004081795;0;0
113;113;assdm;6;0.000583114;0;0
115;115;assdmfp;191;0.01856245;0;0.02
118;118;qsdmf;10;0.000971856;0;0
125;125;qsdp;37;0.003595867;0;0
128;128;sdmfmg;9;0.00087467;0;0
135;135;thsd;23;0.002235269;0;0
165;165;assdmfg;68;0.006608621;0;0.01
199;199;assdmfpg;18;0.001749341;0;0
212;212;usdg;5;0.000485928;0;0
215;215;qsdmfp;20;0.001943712;0;0
216;216;qsdmfpg;2;0.000194371;0;0
217;217;qsdpmg;1;9.72E+09;0;0
232;232;thsdm;1;9.72E+09;0;0
233;233;assdmfpm;2;0.000194371;0;0
234;234;assdmfm;12;0.001166227;0;0
242;242;assdg;4;0.000388742;0;0
243;243;assdpg;14;0.001360598;0;0
247;247;assdpm;11;0.001069042;0;0
259;259;qsdpm;2;0.000194371;0;0
260;260;qsdpg;3;0.000291557;0;0
270;270;qsdmfg;6;0.000583114;0;0
273;273;usdp;1;9.72E+09;0;0
274;274;usdmfp;1;9.72E+09;0;0
279;279;thsdp;2;0.000194371;0;0
281;281;thsdmf;2;0.000194371;0;0
288;288;usdmf;3;0.000291557;0;0
;;;34372;;;
