CUT;x;SITIOS;%
mf;1;149598;13
NA;1;290124;25
p;1;95827;8
m;1;44034;4
as;1;6139;1
g;1;92116;8
sd;1;17620;2
us;1;2959;0
th;1;237;0
u;1;4113;0
pi;1;2579;0
mi;1;58;0
q;1;349;0
ou;1;495;0
tnh;1;11;0
mfm;2;4653;0
mfp;2;16002;1
asmf;2;130823;11
mfg;2;26855;2
asp;2;24740;2
asus;2;5942;1
pg;2;11114;1
thus;2;30228;3
sdp;2;4231;0
sdmf;2;7109;1
sdg;2;2512;0
mg;2;8585;1
usp;2;890;0
usg;2;2382;0
asg;2;1992;0
pm;2;2729;0
sdm;2;1244;0
usmf;2;1571;0
umf;2;439;0
up;2;104;0
asm;2;241;0
thas;2;5;0
assd;2;85;0
tdus;2;171;0
tnhus;2;1297;0
usm;2;540;0
pig;2;544;0
pip;2;176;0
qsd;2;20;0
qus;2;15;0
qpi;2;159;0
qp;2;1895;0
usd;2;131;0
qg;2;1676;0
qm;2;13;0
qmf;2;16;0
mimf;2;8;0
tnhmf;2;2;0
thsd;2;23;0
oug;2;9;0
oum;2;21;0
oup;2;23;0
ug;2;99;0
oumf;2;69;0
asou;2;1;0
pim;2;129;0
uas;2;27;0
pimf;2;210;0
um;2;23;0
mig;2;29;0
mim;2;11;0
mip;2;18;0
thtnh;2;12;0
tnhm;2;3;0
trus;2;27;0
upi;2;1;0
uus;2;9;0
thmf;2;4;0
aspi;2;4;0
tius;2;2;0
asusp;3;12106;1
asusmf;3;19705;2
asmfp;3;22546;2
asmg;3;205;0
mfpg;3;1430;0
sdmfp;3;421;0
sdpg;3;323;0
sdmg;3;110;0
asusg;3;10983;1
asmfg;3;27456;2
sdmfg;3;797;0
usmfg;3;1616;0
pmg;3;603;0
mfpm;3;192;0
usmg;3;327;0
thusg;3;191;0
asmfm;3;1580;0
aspg;3;3775;0
asusm;3;1966;0
mfmg;3;1300;0
uasmf;3;244;0
sdpm;3;70;0
sdmfm;3;122;0
assdmf;3;518;0
uspg;3;1009;0
usmfm;3;139;0
tnhusm;3;112;0
aspip;3;22;0
thusp;3;228;0
thtnhus;3;603;0
thusmf;3;183;0
uspm;3;134;0
assdp;3;177;0
usmfp;3;91;0
aspm;3;557;0
uqp;3;81;0
qusp;3;44;0
qmfp;3;193;0
qsdg;3;42;0
uasp;3;42;0
assdm;3;6;0
thusm;3;34;0
qsdmf;3;10;0
thasus;3;125;0
tnhusp;3;124;0
tnhusmf;3;144;0
qsdp;3;38;0
qmfg;3;222;0
mipm;3;1;0
aspig;3;8;0
tnhasg;3;2;0
aspim;3;1;0
pipg;3;27;0
oupm;3;3;0
uasg;3;19;0
qmig;3;644;0
asqmf;3;40;0
qpm;3;583;0
umfm;3;2;0
qpg;3;2479;0
thasmf;3;1;0
tdasus;3;22;0
pimfm;3;1;0
pimfp;3;4;0
pimfg;3;29;0
asqg;3;1;0
qmg;3;40;0
pimg;3;24;0
mimfp;3;2;0
mipg;3;1;0
tnhusg;3;143;0
tnhasus;3;26;0
tnhusmg;3;4;0
tnhasmf;3;3;0
asqp;3;59;0
umfg;3;7;0
trusg;3;2;0
asmimf;3;1;0
asmim;3;1;0
tiusg;3;9;0
pipm;3;3;0
usdg;3;5;0
aspimf;3;92;0
qpip;3;19;0
thsdm;3;1;0
uasus;3;4;0
mimg;3;1;0
assdg;3;4;0
qusmf;3;1;0
asqus;3;2;0
qpig;3;3;0
uusg;3;3;0
usdp;3;1;0
upm;3;2;0
thsdp;3;2;0
thuus;3;8;0
thsdmf;3;2;0
tiusp;3;2;0
tiusm;3;2;0
tnhpg;3;2;0
usdmf;3;3;0
asusmfp;4;1308;0
asuspm;4;214;0
asusmg;4;2180;0
asusmfg;4;11523;1
asuspmg;4;205;0
asuspg;4;5170;0
uasmfp;4;5;0
asusmfm;4;1522;0
asmfpg;4;4865;0
sdmfpm;4;19;0
thasusm;4;13;0
thasusg;4;30;0
uspmg;4;52;0
sdpmg;4;14;0
usmfpm;4;2;0
tnhasusm;4;41;0
sdmfpg;4;36;0
thasusp;4;56;0
thusmfp;4;18;0
thasusmf;4;6;0
thasusmg;4;5;0
assdmfp;4;191;0
aspmg;4;178;0
uasusp;4;14;0
asmfpm;4;157;0
tnhusmfp;4;9;0
sdmfmg;4;9;0
tnhasusp;4;41;0
asmfmg;4;443;0
usmfpg;4;35;0
uasmfg;4;88;0
qmimg;4;1;0
qmimfg;4;5;0
mfpmg;4;75;0
assdmfg;4;68;0
aspimfg;4;9;0
asqmfg;4;402;0
mimfpg;4;1;0
qmfpg;4;88;0
asqpg;4;32;0
tnhusmfg;4;32;0
tnhasusg;4;47;0
tnhuspg;4;2;0
tnhasusmf;4;342;0
thtnhusmf;4;3;0
tnhusmfm;4;9;0
tnhuspm;4;13;0
asqmfp;4;435;0
qpmg;4;45;0
thusmfg;4;6;0
thuspm;4;6;0
qmfpm;4;35;0
aspimfp;4;10;0
qsdmfp;4;20;0
pipmg;4;1;0
usmfmg;4;71;0
quspm;4;5;0
asqusp;4;4;0
thuspg;4;1;0
thusmg;4;1;0
assdmfm;4;12;0
pimfmg;4;6;0
pimfpg;4;5;0
assdpg;4;14;0
assdpm;4;11;0
asqusmf;4;1;0
asqpm;4;1;0
aspimfm;4;27;0
asqusg;4;92;0
aspimg;4;1;0
qsdpg;4;3;0
qsdpm;4;1;0
uaspg;4;7;0
uasusmf;4;46;0
uasusg;4;122;0
qsdmfg;4;6;0
uqmfg;4;2;0
usdmfp;4;1;0
tiasusg;4;1;0
tiusmg;4;1;0
qmfmg;4;1;0
asusmfmg;5;320;0
asusmfpg;5;547;0
asusmfpm;5;17;0
asqmfpg;5;72;0
asmfpmg;5;54;0
thtnhasusmf;5;12;0
assdmfpg;5;18;0
qmfpmg;5;21;0
asqmfpm;5;2;0
qsdmfpg;5;2;0
qsdpmg;5;1;0
qusmfpm;5;1;0
asquspm;5;5;0
asqusmfp;5;1;0
assdmfpm;5;2;0
tnhasuspg;5;75;0
pimfpmg;5;2;0
tnhasusmfg;5;98;0
tnhasusmfp;5;14;0
asqpmg;5;4;0
aspipmg;5;2;0
asquspg;5;1;0
usmfpmg;5;13;0
uasmfpg;5;1;0
thasuspm;5;7;0
thasusmfp;5;15;0
uasusmfg;5;532;0
asusmfpmg;6;12;0
asqmfpmg;6;18;0
asqusmfpm;6;51;0
asqusmfpg;6;8;0
tnhasusmfpg;6;17;0
thasusmfpg;6;1;0
