"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","mf",3617,9.73594250491238,9.74,10
"2",NA,6515,17.5365400662163,17.54,18
"3","p",1630,4.3874996635353,4.39,4
"4","mfm",77,0.207262254044306,0.21,0
"5","mfp",223,0.600253021452989,0.6,1
"6","m",341,0.917875696481925,0.92,1
"7","asusp",1509,4.06180183575139,4.06,4
"8","asusmfp",374,1.00670237678663,1.01,1
"9","asmf",4434,11.93507577185,11.94,12
"10","mfg",663,1.78460875884902,1.78,2
"11","as",811,2.18298296142769,2.18,2
"12","asp",546,1.46967780140508,1.47,1
"13","asuspm",57,0.153427902344486,0.15,0
"14","g",1386,3.7307205727975,3.73,4
"15","asusmf",4226,11.3751985141719,11.38,11
"16","asus",696,1.87343543915372,1.87,2
"17","pg",540,1.45352749589513,1.45,1
"18","asmfp",311,0.837124168932196,0.84,1
"19","sd",622,1.67424833786439,1.67,2
"20","asmg",7,0.0188420230949369,0.02,0
"21","asusmg",2014,5.42111921617184,5.42,5
"22","mfpg",51,0.13727759683454,0.14,0
"23","us",40,0.107668703399639,0.11,0
"24","th",35,0.0942101154746844,0.09,0
"25","thus",1674,4.5059352372749,4.51,5
"26","sdmfp",38,0.102285268229657,0.1,0
"27","sdp",185,0.497967753223332,0.5,0
"28","sdmf",228,0.613711609377944,0.61,1
"29","sdpg",125,0.336464698123873,0.34,0
"30","asusmfg",436,1.17358886705607,1.17,1
"31","sdmg",6,0.0161503055099459,0.02,0
"32","sdg",186,0.500659470808323,0.5,1
"33","mg",66,0.177653360609405,0.18,0
"34","asusg",352,0.947484589916826,0.95,1
"35","asusmfmg",78,0.209953971629297,0.21,0
"36","asuspmg",86,0.231487712309225,0.23,0
"37","asmfg",236,0.635245350057872,0.64,1
"38","sdmfg",69,0.185728513364378,0.19,0
"39","asuspg",89,0.239562865064197,0.24,0
"40","asusmfpg",73,0.196495383704342,0.2,0
"41","usp",15,0.0403757637748647,0.04,0
"42","usmfg",31,0.0834432451347205,0.08,0
"43","usg",19,0.0511426341148287,0.05,0
"44","asg",31,0.0834432451347205,0.08,0
"45","asusmfpmg",4,0.0107668703399639,0.01,0
"46","pmg",12,0.0323006110198918,0.03,0
"47","mfpm",11,0.0296088934349008,0.03,0
"48","usmg",1,0.00269171758499098,0,0
"49","pm",48,0.129202444079567,0.13,0
"50","thusg",5,0.0134585879249549,0.01,0
"51","asusmfpm",8,0.0215337406799279,0.02,0
"52","asmfm",33,0.0888266803047024,0.09,0
"53","aspg",5,0.0134585879249549,0.01,0
"54","asusm",1201,3.23275281957417,3.23,3
"55","mfmg",12,0.0323006110198918,0.03,0
"56","sdm",25,0.0672929396247746,0.07,0
"57","uasmf",40,0.107668703399639,0.11,0
"58","u",37,0.0995935506446664,0.1,0
"59","uasmfp",3,0.00807515275497295,0.01,0
"60","asusmfm",59,0.158811337514468,0.16,0
"61","usmf",9,0.0242254582649188,0.02,0
"62","umf",10,0.0269171758499098,0.03,0
"63","up",1,0.00269171758499098,0,0
"64","sdpm",5,0.0134585879249549,0.01,0
"65","asm",35,0.0942101154746844,0.09,0
"66","asmfpg",7,0.0188420230949369,0.02,0
"67","sdmfm",11,0.0296088934349008,0.03,0
"68","sdmfpm",3,0.00807515275497295,0.01,0
"69","pi",447,1.20319776049097,1.2,1
"70","thas",5,0.0134585879249549,0.01,0
"71","thasusm",13,0.0349923286048828,0.03,0
"72","assdmf",5,0.0134585879249549,0.01,0
"73","assd",1,0.00269171758499098,0,0
"74","thasusg",1,0.00269171758499098,0,0
"75","tdus",28,0.0753680923797475,0.08,0
"76","uspmg",1,0.00269171758499098,0,0
"77","uspg",1,0.00269171758499098,0,0
"78","sdpmg",3,0.00807515275497295,0.01,0
"79","usmfm",25,0.0672929396247746,0.07,0
"80","usmfpm",1,0.00269171758499098,0,0
"81","tnhasusm",41,0.11036042098463,0.11,0
"82","tnhus",37,0.0995935506446664,0.1,0
"83","tnhusm",2,0.00538343516998197,0.01,0
"84","usm",79,0.212645689214288,0.21,0
"85","aspip",22,0.0592177868698016,0.06,0
"86","sdmfpg",4,0.0107668703399639,0.01,0
"87","thusp",17,0.0457591989448467,0.05,0
"88","thasusp",4,0.0107668703399639,0.01,0
"89","thtnhus",32,0.0861349627197115,0.09,0
"90","thusmf",1,0.00269171758499098,0,0
"91","pig",10,0.0269171758499098,0.03,0
"92","thusmfp",10,0.0269171758499098,0.03,0
"93","thasusmf",1,0.00269171758499098,0,0
"94","uspm",20,0.0538343516998197,0.05,0
"95","thasusmg",5,0.0134585879249549,0.01,0
"96","pip",2,0.00538343516998197,0.01,0
