"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1",NA,26777,33.2943736400373,33.29,33
"2","asusg",4530,5.63257693503264,5.63,6
"3","as",321,0.399129623873174,0.4,0
"4","sd",7492,9.31551134597451,9.32,9
"5","thus",11556,14.3686664594343,14.37,14
"6","sdp",673,0.836804476220081,0.84,1
"7","sdmf",1447,1.79919179359652,1.8,2
"8","mf",5916,7.35592166614859,7.36,7
"9","g",1785,2.2194591234069,2.22,2
"10","sdg",537,0.667702828722412,0.67,1
"11","asusmf",2274,2.82747901771837,2.83,3
"12","p",1869,2.32390425862605,2.32,2
"13","asusmfp",91,0.113148896487411,0.11,0
"14","us",665,0.826857320484924,0.83,1
"15","usmf",199,0.24743549891203,0.25,0
"16","usm",63,0.0783338514143612,0.08,0
"17","mfg",287,0.356854211998757,0.36,0
"18","usg",697,0.866645943425552,0.87,1
"19","pg",105,0.130556419023935,0.13,0
"20","uspm",91,0.113148896487411,0.11,0
"21","mg",31,0.0385452284737333,0.04,0
"22","pmg",6,0.00746036680136773,0.01,0
"23","usp",335,0.416537146409699,0.42,0
"24","thasusmf",3,0.00373018340068387,0,0
"25","asusp",2230,2.77276966117501,2.77,3
"26","thasus",75,0.0932545850170967,0.09,0
"27","uspg",67,0.0833074292819397,0.08,0
"28","asmf",4695,5.83773702207025,5.84,6
"29","asmfp",588,0.731115946534038,0.73,1
"30","asmfm",32,0.0397886229406279,0.04,0
"31","asmfpm",3,0.00373018340068387,0,0
"32","m",597,0.74230649673609,0.74,1
"33","sdm",157,0.195212931302456,0.2,0
"34","mfp",143,0.177805408765931,0.18,0
"35","asmfpg",5,0.00621697233447311,0.01,0
"36","sdmfp",48,0.0596829344109419,0.06,0
"37","pi",456,0.566987876903948,0.57,1
"38","asmfg",16,0.019894311470314,0.02,0
"39","tnhus",818,1.0170966739198,1.02,1
"40","tnhusm",9,0.0111905502020516,0.01,0
"41","tnhusp",46,0.0571961454771526,0.06,0
"42","tnhusmf",31,0.0385452284737333,0.04,0
"43","tnhusmfp",1,0.00124339446689462,0,0
"44","pm",100,0.124339446689462,0.12,0
"45","usmfp",9,0.0111905502020516,0.01,0
"46","sdpm",7,0.00870376126826236,0.01,0
"47","mfm",41,0.0509791731426795,0.05,0
"48","asp",333,0.414050357475909,0.41,0
"49","sdmg",5,0.00621697233447311,0.01,0
"50","sdpg",39,0.0484923842088903,0.05,0
"51","thusp",15,0.0186509170034193,0.02,0
"52","sdmfg",67,0.0833074292819397,0.08,0
"53","asuspg",50,0.0621697233447311,0.06,0
"54","asuspm",5,0.00621697233447311,0.01,0
"55","pig",61,0.075847062480572,0.08,0
"56","qm",2,0.00248678893378924,0,0
"57","q",121,0.150450730494249,0.15,0
"58","qsdmf",2,0.00248678893378924,0,0
"59","qsd",7,0.00870376126826236,0.01,0
"60","qp",9,0.0111905502020516,0.01,0
"61","qsdp",4,0.00497357786757849,0,0
"62","qmf",4,0.00497357786757849,0,0
"63","qmfg",1,0.00124339446689462,0,0
"64","qg",2,0.00248678893378924,0,0
"65","th",84,0.104445135219148,0.1,0
"66","assd",6,0.00746036680136773,0.01,0
"67","thasusg",29,0.036058439539944,0.04,0
"68","usmfg",81,0.100714951818464,0.1,0
"69","aspm",7,0.00870376126826236,0.01,0
"70","assdp",7,0.00870376126826236,0.01,0
"71","aspg",3,0.00373018340068387,0,0
"72","assdmfp",9,0.0111905502020516,0.01,0
"73","asusmfpg",3,0.00373018340068387,0,0
"74","asusmg",81,0.100714951818464,0.1,0
"75","asusmfg",86,0.106931924152938,0.11,0
"76","sdmfmg",6,0.00746036680136773,0.01,0
"77","mfpg",6,0.00746036680136773,0.01,0
"78","thusg",58,0.0721168790798881,0.07,0
"79","asusm",279,0.3469070562636,0.35,0
