"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1",NA,1902,22.4822695035461,22.48,22
"2","usp",29,0.342789598108747,0.34,0
"3","us",211,2.49408983451537,2.49,2
"4","uspm",2,0.0236406619385343,0.02,0
"5","asp",778,9.19621749408983,9.2,9
"6","sd",1083,12.8014184397163,12.8,13
"7","mf",233,2.75413711583924,2.75,3
"8","sdg",30,0.354609929078014,0.35,0
"9","pg",44,0.520094562647754,0.52,1
"10","g",214,2.52955082742317,2.53,3
"11","sdmfg",3,0.0354609929078014,0.04,0
"12","p",189,2.23404255319149,2.23,2
"13","asmfpg",12,0.141843971631206,0.14,0
"14","aspg",108,1.27659574468085,1.28,1
"15","sdmf",102,1.20567375886525,1.21,1
"16","m",136,1.60756501182033,1.61,2
"17","pi",33,0.390070921985816,0.39,0
"18","pip",1,0.0118203309692671,0.01,0
"19","sdp",137,1.6193853427896,1.62,2
"20","sdm",47,0.555555555555556,0.56,1
"21","asmf",285,3.36879432624113,3.37,3
"22","mi",26,0.307328605200946,0.31,0
"23","mfm",8,0.0945626477541371,0.09,0
"24","mfg",82,0.969267139479906,0.97,1
"25","thus",822,9.71631205673759,9.72,10
"26","mfp",8,0.0945626477541371,0.09,0
"27","asmfp",47,0.555555555555556,0.56,1
"28","asusp",288,3.40425531914894,3.4,3
"29","as",29,0.342789598108747,0.34,0
"30","assd",41,0.484633569739953,0.48,0
"31","assdp",10,0.118203309692671,0.12,0
"32","assdmf",5,0.0591016548463357,0.06,0
"33","usmf",20,0.236406619385343,0.24,0
"34","usmfp",6,0.0709219858156028,0.07,0
"35","thusg",11,0.130023640661939,0.13,0
"36","usg",57,0.673758865248227,0.67,1
"37","usm",118,1.39479905437352,1.39,1
"38","asus",8,0.0945626477541371,0.09,0
"39","q",13,0.153664302600473,0.15,0
"40","qsd",7,0.08274231678487,0.08,0
"41","qus",9,0.106382978723404,0.11,0
"42","asusmf",69,0.815602836879433,0.82,1
"43","qpi",6,0.0709219858156028,0.07,0
"44","mg",12,0.141843971631206,0.14,0
"45","pm",3,0.0354609929078014,0.04,0
"46","usmg",33,0.390070921985816,0.39,0
"47","uspg",1,0.0118203309692671,0.01,0
"48","aspm",2,0.0236406619385343,0.02,0
"49","sdmg",6,0.0709219858156028,0.07,0
"50","sdmfp",14,0.16548463356974,0.17,0
"51","sdpm",1,0.0118203309692671,0.01,0
"52","asuspg",12,0.141843971631206,0.14,0
"53","asusg",544,6.43026004728132,6.43,6
"54","umf",2,0.0236406619385343,0.02,0
"55","qp",32,0.378250591016548,0.38,0
"56","u",78,0.921985815602837,0.92,1
"57","usd",16,0.189125295508274,0.19,0
"58","uqp",2,0.0236406619385343,0.02,0
"59","qusp",41,0.484633569739953,0.48,0
"60","qmfp",1,0.0118203309692671,0.01,0
"61","qg",21,0.24822695035461,0.25,0
"62","qsdg",3,0.0354609929078014,0.04,0
"63","asusmfp",8,0.0945626477541371,0.09,0
"64","asusmfg",5,0.0591016548463357,0.06,0
"65","uasp",37,0.437352245862884,0.44,0
"66","usmfg",2,0.0236406619385343,0.02,0
"67","assdm",1,0.0118203309692671,0.01,0
"68","asuspm",15,0.177304964539007,0.18,0
"69","asusm",241,2.84869976359338,2.85,3
"70","asusmg",22,0.260047281323877,0.26,0
"71","asmfm",2,0.0236406619385343,0.02,0
"72","asm",3,0.0354609929078014,0.04,0
"73","asusmfm",3,0.0354609929078014,0.04,0
"74","thusmf",1,0.0118203309692671,0.01,0
"75","thusm",1,0.0118203309692671,0.01,0
"76","sdpg",1,0.0118203309692671,0.01,0
"77","assdmfp",1,0.0118203309692671,0.01,0
"78","aspmg",1,0.0118203309692671,0.01,0
"79","asusmfpg",1,0.0118203309692671,0.01,0
"80","asuspmg",1,0.0118203309692671,0.01,0
"81","uasusp",14,0.16548463356974,0.17,0
"82","qsdmf",7,0.08274231678487,0.08,0
