"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","u",2201,0.504152789675977,0.5,1
"2","ug",33,0.00755885600150261,0.01,0
"3",NA,130089,29.7976975266507,29.8,30
"4","asmf",39180,8.97442357996582,8.97,9
"5","p",29623,6.78533307068218,6.79,7
"6","g",64971,14.8820131295038,14.88,15
"7","m",22897,5.24470078383046,5.24,5
"8","pm",1024,0.234553592289051,0.23,0
"9","mf",54218,12.4189713542263,12.42,12
"10","uasmf",193,0.0442078547966668,0.04,0
"11","mfp",3396,0.777874999427359,0.78,1
"12","asmfp",1773,0.406116717898913,0.41,0
"13","pg",7697,1.76304589828987,1.76,2
"14","as",2334,0.534617269924457,0.53,1
"15","uasg",19,0.00435206860692574,0,0
"16","uasmfg",7,0.00160339369728843,0,0
"17","asmfm",764,0.174998969246909,0.17,0
"18","mfm",3070,0.703202664382212,0.7,1
"19","sd",1427,0.32686325800437,0.33,0
"20","mg",6878,1.57544883570712,1.58,2
"21","uas",22,0.00503923733433507,0.01,0
"22","asmfg",15916,3.64565915514896,3.65,4
"23","umf",269,0.0616161292243698,0.06,0
"24","asg",1385,0.31724289582064,0.32,0
"25","sdmfg",113,0.0258833553990847,0.03,0
"26","asmfpg",491,0.11246661505266,0.11,0
"27","aspg",603,0.138120914209275,0.14,0
"28","mfg",21082,4.82896370374782,4.83,5
"29","sdg",127,0.0290901427936616,0.03,0
"30","sdp",139,0.0318388177032989,0.03,0
"31","mfpg",1056,0.241883392048083,0.24,0
"32","qmfg",120,0.0274867490963731,0.03,0
"33","qg",1166,0.267079578719759,0.27,0
"34","qmig",644,0.147512220150536,0.15,0
"35","qmimg",1,0.000229056242469776,0,0
"36","qmimfg",5,0.00114528121234888,0,0
"37","mi",4,0.000916224969879104,0,0
"38","asqmf",38,0.00870413721385149,0.01,0
"39","mfpmg",71,0.0162629932153541,0.02,0
"40","pmg",500,0.114528121234888,0.11,0
"41","mfmg",1129,0.258604497748377,0.26,0
"42","asp",2374,0.543779519623248,0.54,1
"43","pi",950,0.217603430346287,0.22,0
"44","pip",53,0.0121399808508981,0.01,0
"45","pig",234,0.0535991607379276,0.05,0
"46","pimf",91,0.0208441180647496,0.02,0
"47","asmfmg",192,0.043978798554197,0.04,0
"48","asmfpm",30,0.00687168727409328,0.01,0
