"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","g",10120,8.53749072011878,8.54,9
"2",NA,21512,18.148073159209,18.15,18
"3","mf",19631,16.561213471013,16.56,17
"4","mfg",1633,1.37764054801917,1.38,1
"5","mg",906,0.764324762097591,0.76,1
"6","p",11115,9.37689815752177,9.38,9
"7","m",6703,5.65482216373085,5.65,6
"8","asg",352,0.296956198960653,0.3,0
"9","asmfg",2870,2.4212053722076,2.42,2
"10","as",634,0.534858608355268,0.53,1
"11","asmf",29640,25.0050617533914,25.01,25
"12","aspg",150,0.126543834784369,0.13,0
"13","asmg",10,0.00843625565229129,0.01,0
"14","asp",2998,2.52918944455693,2.53,3
"15","asm",28,0.0236215158264156,0.02,0
"16","mfpg",57,0.0480866572180603,0.05,0
"17","pg",1069,0.901835729229939,0.9,1
"18","sdg",139,0.117263953566849,0.12,0
"19","sdmfg",178,0.150165350610785,0.15,0
"20","pm",393,0.331544847135048,0.33,0
"21","asmfp",3257,2.74768846595127,2.75,3
"22","asmfpm",12,0.0101235067827495,0.01,0
"23","mfm",292,0.246338665046906,0.25,0
"24","mfp",620,0.52304785044206,0.52,1
"25","pim",22,0.0185597624350408,0.02,0
"26","pi",169,0.142572720523723,0.14,0
"27","pig",79,0.0666464196531012,0.07,0
"28","mfmg",40,0.0337450226091651,0.03,0
"29","pip",26,0.0219342646959573,0.02,0
"30","thus",926,0.781197273402173,0.78,1
"31","sd",457,0.385536883309712,0.39,0
"32","sdmf",206,0.173786866437201,0.17,0
"33","sdm",108,0.0911115610447459,0.09,0
"34","sdp",187,0.157757980697847,0.16,0
"35","usm",8,0.00674900452183303,0.01,0
"36","usp",1,0.000843625565229129,0,0
"37","pmg",35,0.0295268947830195,0.03,0
"38","tnhusg",29,0.0244651413916447,0.02,0
"39","tnhus",43,0.0362758993048525,0.04,0
"40","thusg",10,0.00843625565229129,0.01,0
"41","usg",28,0.0236215158264156,0.02,0
"42","us",38,0.0320577714787069,0.03,0
"43","pimf",42,0.0354322737396234,0.04,0
"44","asmfpg",477,0.402409394614294,0.4,0
"45","tnhusm",17,0.0143416346088952,0.01,0
"46","tnhusp",18,0.0151852601741243,0.02,0
"47","tnhusmf",4,0.00337450226091651,0,0
"48","thtnhus",5,0.00421812782614564,0,0
"49","tnhuspm",1,0.000843625565229129,0,0
"50","tnhusmg",1,0.000843625565229129,0,0
"51","tnhmf",1,0.000843625565229129,0,0
"52","tnhusmfg",1,0.000843625565229129,0,0
"53","mip",6,0.00506175339137477,0.01,0
"54","mi",5,0.00421812782614564,0,0
"55","mimf",4,0.00337450226091651,0,0
"56","mim",4,0.00337450226091651,0,0
"57","asmimf",1,0.000843625565229129,0,0
"58","asmim",1,0.000843625565229129,0,0
"59","asmfm",98,0.0826753053924546,0.08,0
"60","sdmg",6,0.00506175339137477,0.01,0
"61","mfpm",6,0.00506175339137477,0.01,0
"62","pimfg",14,0.0118107579132078,0.01,0
"63","pipg",14,0.0118107579132078,0.01,0
"64","trus",9,0.00759263008706216,0.01,0
"65","asusmfg",66,0.0556792873051225,0.06,0
"66","asusg",12,0.0101235067827495,0.01,0
"67","sdpg",9,0.00759263008706216,0.01,0
"68","asmfmg",9,0.00759263008706216,0.01,0
"69","qg",13,0.0109671323479787,0.01,0
"70","qpmg",1,0.000843625565229129,0,0
"71","qmfg",1,0.000843625565229129,0,0
"72","pimg",8,0.00674900452183303,0.01,0
"73","uspg",8,0.00674900452183303,0.01,0
"74","asusmf",222,0.187284875480867,0.19,0
"75","asusmfm",10,0.00843625565229129,0.01,0
"76","sdmfm",3,0.00253087669568739,0,0
"77","tiusg",1,0.000843625565229129,0,0
"78","pipm",3,0.00253087669568739,0,0
"79","thusmf",4,0.00337450226091651,0,0
"80","aspm",23,0.01940338800027,0.02,0
"81","asus",1,0.000843625565229129,0,0
"82","thusm",1,0.000843625565229129,0,0
"83","thusp",3,0.00253087669568739,0,0
"84","asmfpmg",3,0.00253087669568739,0,0
"85","ug",31,0.026152392522103,0.03,0
"86","usdg",5,0.00421812782614564,0,0
"87","usmf",5,0.00421812782614564,0,0
"88","usmfp",2,0.00168725113045826,0,0
"89","sdmfp",10,0.00843625565229129,0.01,0
"90","sdpm",6,0.00506175339137477,0.01,0
"91","aspimfp",1,0.000843625565229129,0,0
"92","aspimf",3,0.00253087669568739,0,0
"93","qpm",10,0.00843625565229129,0.01,0
"94","qp",185,0.156070729567389,0.16,0
"95","qmfp",63,0.0531484106094351,0.05,0
"96","qmfpm",2,0.00168725113045826,0,0
"97","qsdmfp",15,0.0126543834784369,0.01,0
"98","qsdp",14,0.0118107579132078,0.01,0
"99","qsdmfpg",1,0.000843625565229129,0,0
"100","qsdpmg",1,0.000843625565229129,0,0
"101","qpg",28,0.0236215158264156,0.02,0
"102","qmfpg",8,0.00674900452183303,0.01,0
"103","tnhasusmf",2,0.00168725113045826,0,0
"104","assd",1,0.000843625565229129,0,0
"105","q",25,0.0210906391307282,0.02,0
"106","qmf",2,0.00168725113045826,0,0
"107","qm",5,0.00421812782614564,0,0
"108","pimfp",2,0.00168725113045826,0,0
"109","mfpmg",4,0.00337450226091651,0,0
"110","u",137,0.115576702436391,0.12,0
"111","usmfpg",1,0.000843625565229129,0,0
"112","pipmg",1,0.000843625565229129,0,0
"113","aspmg",2,0.00168725113045826,0,0
"114","sdmfpg",1,0.000843625565229129,0,0
"115","thasusmf",2,0.00168725113045826,0,0
"116","assdp",1,0.000843625565229129,0,0
"117","asusp",86,0.0725517986097051,0.07,0
"118","asusmfp",2,0.00168725113045826,0,0
"119","upi",1,0.000843625565229129,0,0
"120","umf",3,0.00253087669568739,0,0
"121","um",1,0.000843625565229129,0,0
