"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","us",1600,0.570588990485429,0.57,1
"2","usmfg",1148,0.409397600673295,0.41,0
"3","asusmfg",10658,3.80083591287106,3.8,4
"4","asus",2962,1.05630286863615,1.06,1
"5","mfg",2609,0.930416672610302,0.93,1
"6","as",1406,0.50140507538907,0.5,1
"7","asmfg",7618,2.71671683094875,2.72,3
"8",NA,77448,27.6193600844472,27.62,28
"9","mf",29849,10.6446942356247,10.64,11
"10","p",21394,7.62948803902829,7.63,8
"11","m",5629,2.00740339215155,2.01,2
"12","u",1223,0.436143959602299,0.44,0
"13","asusmf",10501,3.74484686817968,3.74,4
"14","usmf",841,0.299915838123903,0.3,0
"15","asmf",19792,7.05818581230475,7.06,7
"16","asusmfp",550,0.196139965479366,0.2,0
"17","asusg",4900,1.74742878336163,1.75,2
"18","asusmfpg",461,0.164400952883614,0.16,0
"19","asusp",6955,2.48027901801635,2.48,2
"20","g",9741,3.4738170976991,3.47,3
"21","umf",78,0.0278162132861646,0.03,0
"22","asusmfm",1426,0.508537437770138,0.51,1
"23","usmfm",108,0.0385147568577664,0.04,0
"24","asmfp",8975,3.2006476185042,3.2,3
"25","usmfp",74,0.0263897408099511,0.03,0
"26","mfp",1860,0.663309701439311,0.66,1
"27","mfm",850,0.303125401195384,0.3,0
"28","um",1,0.000356618119053393,0,0
"29","pm",401,0.143003865740411,0.14,0
"30","asusmfmg",231,0.0823787855013338,0.08,0
"31","usmfmg",56,0.01997061466699,0.02,0
"32","mfmg",104,0.0370882843815529,0.04,0
"33","asqusmfpm",51,0.018187524071723,0.02,0
"34","qmfpm",27,0.00962868921444161,0.01,0
"35","qusmfpm",1,0.000356618119053393,0,0
"36","qp",1475,0.526011725603754,0.53,1
"37","qpg",1580,0.563456628104361,0.56,1
"38","asqmfpg",2,0.000713236238106786,0,0
"39","asqusmfpg",8,0.00285294495242714,0,0
"40","qpm",231,0.0823787855013338,0.08,0
"41","asquspm",5,0.00178309059526696,0,0
"42","quspm",5,0.00178309059526696,0,0
"43","asg",154,0.0549191903342225,0.05,0
"44","usg",1195,0.426158652268805,0.43,0
"45","uqp",79,0.028172831405218,0.03,0
"46","qmfp",58,0.0206838509050968,0.02,0
"47","qpmg",2,0.000713236238106786,0,0
"48","qusp",3,0.00106985435716018,0,0
"49","asqp",48,0.0171176697145629,0.02,0
"50","asqusp",4,0.00142647247621357,0,0
"51","asqusmfp",1,0.000356618119053393,0,0
"52","mg",480,0.171176697145629,0.17,0
"53","asmfmg",236,0.0841618760966007,0.08,0
"54","umfm",1,0.000356618119053393,0,0
"55","asmfm",577,0.205768654693808,0.21,0
"56","sdmf",2102,0.749611286250232,0.75,1
"57","sd",3726,1.32875911159294,1.33,1
"58","pg",1427,0.508894055889192,0.51,1
"59","sdm",299,0.106628817596964,0.11,0
"60","sdp",1355,0.483217551317347,0.48,0
"61","sdg",1280,0.456471192388343,0.46,0
"62","mfpg",239,0.0852317304537609,0.09,0
"63","sdmfg",277,0.0987832189777898,0.1,0
"64","sdmfp",167,0.0595552258819166,0.06,0
"65","aspg",2858,1.0192145842546,1.02,1
"66","asmfpg",3832,1.3665606322126,1.37,1
"67","aspm",399,0.142290629502304,0.14,0
"68","asp",10791,3.84826612270516,3.85,4
"69","asmfpm",96,0.0342353394291257,0.03,0
