"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","g",769,0.842379695253536,0.84,1
"2","mf",22573,24.7269660090482,24.73,25
"3",NA,11958,13.099059032304,13.1,13
"4","pg",122,0.133641512120847,0.13,0
"5","p",18642,20.4208612209576,20.42,20
"6","m",1332,1.45910241102433,1.46,1
"7","mg",54,0.0591528004469323,0.06,0
"8","mfp",9491,10.3966523896636,10.4,10
"9","sdmfm",12,0.0131450667659849,0.01,0
"10","pm",530,0.580573782164335,0.58,1
"11","sd",703,0.770081828040618,0.77,1
"12","mfg",287,0.31438618015314,0.31,0
"13","mfm",131,0.143500312195336,0.14,0
"14","asmf",8513,9.32532944823582,9.33,9
"15","mfpm",38,0.0416260447589523,0.04,0
"16","sdp",358,0.392161158518551,0.39,0
"17","sdpm",8,0.00876337784398997,0.01,0
"18","sdmfp",77,0.0843475117484034,0.08,0
"19","sdmf",723,0.791990272650593,0.79,1
"20","asp",4380,4.79794936958451,4.8,5
"21","asmfp",7074,7.74901685854813,7.75,8
"22","sdg",77,0.0843475117484034,0.08,0
"23","aspm",87,0.0953017340533909,0.1,0
"24","sdm",81,0.0887292006703984,0.09,0
"25","sdmfg",66,0.0722978672129172,0.07,0
"26","sdpg",18,0.0197176001489774,0.02,0
"27","asmfpm",14,0.0153359112269824,0.02,0
"28","thus",353,0.386684047366057,0.39,0
"29","sdmfpg",2,0.00219084446099749,0,0
"30","sdmg",8,0.00876337784398997,0.01,0
"31","asusmf",87,0.0953017340533909,0.1,0
"32","asusmfp",208,0.227847823943739,0.23,0
"33","usmfm",1,0.00109542223049875,0,0
"34","usmf",22,0.0240992890709724,0.02,0
"35","asmfm",40,0.0438168892199498,0.04,0
"36","as",119,0.130355245429351,0.13,0
"37","asm",3,0.00328626669149624,0,0
"38","aspg",26,0.0284809779929674,0.03,0
"39","mfmg",8,0.00876337784398997,0.01,0
"40","mfpg",18,0.0197176001489774,0.02,0
"41","pmg",11,0.0120496445354862,0.01,0
"42","pim",3,0.00328626669149624,0,0
"43","pimf",3,0.00328626669149624,0,0
"44","us",66,0.0722978672129172,0.07,0
"45","asusp",491,0.537852315174884,0.54,1
"46","usm",9,0.00985880007448871,0.01,0
"47","usp",36,0.0394352002979548,0.04,0
"48","asusg",91,0.0996834229753858,0.1,0
"49","asuspg",15,0.0164313334574812,0.02,0
"50","asusmg",9,0.00985880007448871,0.01,0
"51","asus",268,0.293573157773664,0.29,0
"52","qsd",3,0.00328626669149624,0,0
"53","q",18,0.0197176001489774,0.02,0
"54","qp",2,0.00219084446099749,0,0
"55","qmf",1,0.00109542223049875,0,0
"56","pi",2,0.00219084446099749,0,0
"57","assdmf",1,0.00109542223049875,0,0
"58","uspg",1,0.00109542223049875,0,0
"59","tnhasus",10,0.0109542223049875,0.01,0
"60","asuspmg",1,0.00109542223049875,0,0
"61","asusmfg",1,0.00109542223049875,0,0
"62","tnhus",2,0.00219084446099749,0,0
"63","thtnhus",6,0.00657253338299247,0.01,0
"64","thasus",1,0.00109542223049875,0,0
"65","asusm",17,0.0186221779184787,0.02,0
"66","asuspm",8,0.00876337784398997,0.01,0
"67","thasusmfp",14,0.0153359112269824,0.02,0
"68","thasusp",16,0.0175267556879799,0.02,0
"69","u",81,0.0887292006703984,0.09,0
"70","umf",57,0.0624390671384285,0.06,0
"71","asmfg",769,0.842379695253536,0.84,1
"72","asmfpg",40,0.0438168892199498,0.04,0
"73","asusmfpg",2,0.00219084446099749,0,0
"74","usmfmg",15,0.0164313334574812,0.02,0
"75","usmg",44,0.0481985781419448,0.05,0
"76","uspmg",17,0.0186221779184787,0.02,0
"77","uspm",1,0.00109542223049875,0,0
"78","asmfmg",2,0.00219084446099749,0,0
"79","upm",2,0.00219084446099749,0,0
"80","um",1,0.00109542223049875,0,0
"81","asg",70,0.0766795561349122,0.08,0
"82","usmfpg",1,0.00109542223049875,0,0
"83","usd",4,0.00438168892199498,0,0
"84","up",1,0.00109542223049875,0,0
"85","usg",2,0.00219084446099749,0,0
"86","mig",1,0.00109542223049875,0,0
"87","mi",4,0.00438168892199498,0,0
"88","mip",3,0.00328626669149624,0,0
"89","mim",1,0.00109542223049875,0,0
"90","qsdg",1,0.00109542223049875,0,0
"91","thusmf",4,0.00438168892199498,0,0
"92","asusmfpm",1,0.00109542223049875,0,0
"93","pip",1,0.00109542223049875,0,0
"94","aspmg",2,0.00219084446099749,0,0
"95","thusp",17,0.0186221779184787,0.02,0
"96","thuspm",3,0.00328626669149624,0,0
"97","sdmfpm",2,0.00219084446099749,0,0
"98","uasmfp",2,0.00219084446099749,0,0
"99","thusmfp",3,0.00328626669149624,0,0
"100","thusg",1,0.00109542223049875,0,0
"101","qus",6,0.00657253338299247,0.01,0
"102","qpi",7,0.00766795561349122,0.01,0
"103","thsdp",2,0.00219084446099749,0,0
