"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","thus",8968,28.4680337756333,28.47,28
"2","thusmf",92,0.292044949527014,0.29,0
"3","asmf",10660,33.8391213256301,33.84,34
"4","g",364,1.15548219160688,1.16,1
"5",NA,3996,12.6849088946734,12.68,13
"6","sd",826,2.62205574249254,2.62,3
"7","m",570,1.80940892641737,1.81,2
"8","sdg",70,0.222208113770554,0.22,0
"9","sdm",232,0.736461177068123,0.74,1
"10","p",1072,3.40295854231477,3.4,3
"11","asp",1316,4.17751253888642,4.18,4
"12","sdmf",202,0.641229128309314,0.64,1
"13","thsd",8,0.0253952130023491,0.03,0
"14","mg",6,0.0190464097517618,0.02,0
"15","sdmg",4,0.0126976065011745,0.01,0
"16","thusg",2,0.00634880325058726,0.01,0
"17","us",82,0.260300933274078,0.26,0
"18","asmfp",494,1.56815440289505,1.57,2
"19","mf",1180,3.74579391784649,3.75,4
"20","sdp",160,0.507904260046981,0.51,1
"21","asmfg",4,0.0126976065011745,0.01,0
"22","as",42,0.133324868262333,0.13,0
"23","pm",22,0.0698368357564599,0.07,0
"24","mfg",44,0.13967367151292,0.14,0
"25","pg",6,0.0190464097517618,0.02,0
"26","asus",2,0.00634880325058726,0.01,0
"27","mfp",46,0.146022474763507,0.15,0
"28","u",224,0.711065964065774,0.71,1
"29","umf",18,0.0571392292552854,0.06,0
"30","aspm",6,0.0190464097517618,0.02,0
"31","thuus",8,0.0253952130023491,0.03,0
"32","th",38,0.120627261761158,0.12,0
"33","thmf",2,0.00634880325058726,0.01,0
"34","mfm",12,0.0380928195035236,0.04,0
"35","assdmfm",2,0.00634880325058726,0.01,0
"36","asmfm",28,0.0888832455082217,0.09,0
"37","sdmfg",2,0.00634880325058726,0.01,0
"38","usm",2,0.00634880325058726,0.01,0
"39","asusmfm",2,0.00634880325058726,0.01,0
"40","sdmfp",18,0.0571392292552854,0.06,0
"41","thsdmf",2,0.00634880325058726,0.01,0
"42","sdmfm",6,0.0190464097517618,0.02,0
"43","pi",344,1.09199415910101,1.09,1
"44","pimf",22,0.0698368357564599,0.07,0
"45","mi",8,0.0253952130023491,0.03,0
"46","usmf",4,0.0126976065011745,0.01,0
"47","aspimfm",26,0.0825344422576344,0.08,0
"48","pip",26,0.0825344422576344,0.08,0
"49","aspimf",58,0.184115294267031,0.18,0
"50","aspi",4,0.0126976065011745,0.01,0
"51","pim",50,0.158720081264682,0.16,0
"52","aspimfp",8,0.0253952130023491,0.03,0
"53","pig",2,0.00634880325058726,0.01,0
"54","asusmf",42,0.133324868262333,0.13,0
"55","tiusp",2,0.00634880325058726,0.01,0
"56","tius",2,0.00634880325058726,0.01,0
"57","tiusm",2,0.00634880325058726,0.01,0
"58","asmfpm",2,0.00634880325058726,0.01,0
"59","assdmf",6,0.0190464097517618,0.02,0
"60","usg",46,0.146022474763507,0.15,0
"61","usmfg",4,0.0126976065011745,0.01,0
"62","asmfmg",2,0.00634880325058726,0.01,0
"63","assdp",2,0.00634880325058726,0.01,0
