"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1",NA,9927,15.6023575638507,15.6,16
"2","mf",12381,19.4593320235756,19.46,19
"3","asp",1224,1.9237721021611,1.92,2
"4","p",10293,16.1776031434185,16.18,16
"5","m",5829,9.1614931237721,9.16,9
"6","g",2766,4.34734774066798,4.35,4
"7","mfp",215,0.337917485265226,0.34,0
"8","asmf",13624,21.4129666011788,21.41,21
"9","pm",208,0.326915520628684,0.33,0
"10","asusmf",302,0.474656188605108,0.47,0
"11","mg",152,0.238899803536346,0.24,0
"12","mfm",172,0.270333988212181,0.27,0
"13","sdp",1037,1.62986247544204,1.63,2
"14","sdg",66,0.103732809430255,0.1,0
"15","sdmf",1425,2.23968565815324,2.24,2
"16","sd",1284,2.01807465618861,2.02,2
"17","pmg",3,0.00471512770137525,0,0
"18","sdm",272,0.427504911591356,0.43,0
"19","mfg",168,0.264047151277014,0.26,0
"20","pg",104,0.163457760314342,0.16,0
"21","sdmfp",17,0.0267190569744597,0.03,0
"22","mfpg",3,0.00471512770137525,0,0
"23","asmfp",27,0.0424361493123772,0.04,0
"24","sdmg",5,0.00785854616895874,0.01,0
"25","sdpg",2,0.0031434184675835,0,0
"26","us",60,0.0943025540275049,0.09,0
"27","as",443,0.696267190569745,0.7,1
"28","u",68,0.106876227897839,0.11,0
"29","asm",2,0.0031434184675835,0,0
"30","qg",131,0.205893909626719,0.21,0
"31","qmfg",76,0.119449901768173,0.12,0
"32","qpg",57,0.0895874263261297,0.09,0
"33","asmfm",6,0.00943025540275049,0.01,0
"34","sdpm",8,0.012573673870334,0.01,0
"35","sdmfm",6,0.00943025540275049,0.01,0
"36","thusmf",1,0.00157170923379175,0,0
"37","usg",12,0.018860510805501,0.02,0
"38","usmfg",6,0.00943025540275049,0.01,0
"39","uspg",10,0.0157170923379175,0.02,0
"40","usmg",3,0.00471512770137525,0,0
"41","asusmfp",2,0.0031434184675835,0,0
"42","usmf",66,0.103732809430255,0.1,0
"43","pimf",41,0.0644400785854617,0.06,0
"44","sdpmg",1,0.00157170923379175,0,0
"45","aspimf",15,0.0235756385068762,0.02,0
"46","pi",29,0.0455795677799607,0.05,0
"47","aspimfp",1,0.00157170923379175,0,0
"48","pip",31,0.0487229862475442,0.05,0
"49","pim",7,0.0110019646365422,0.01,0
"50","pig",73,0.114734774066798,0.11,0
"51","qsdg",3,0.00471512770137525,0,0
"52","tnhasuspg",70,0.110019646365422,0.11,0
"53","aspg",22,0.0345776031434185,0.03,0
"54","tnhpg",2,0.0031434184675835,0,0
"55","asuspg",2,0.0031434184675835,0,0
"56","tnhusg",1,0.00157170923379175,0,0
"57","aspm",3,0.00471512770137525,0,0
"58","thus",644,1.01218074656189,1.01,1
"59","mfpm",1,0.00157170923379175,0,0
"60","trus",1,0.00157170923379175,0,0
"61","mfmg",7,0.0110019646365422,0.01,0
"62","qmg",20,0.031434184675835,0.03,0
"63","pimg",7,0.0110019646365422,0.01,0
"64","pipg",2,0.0031434184675835,0,0
"65","asmfg",27,0.0424361493123772,0.04,0
"66","sdmfg",22,0.0345776031434185,0.03,0
"67","usm",2,0.0031434184675835,0,0
"68","usp",13,0.0204322200392927,0.02,0
"69","tnhus",2,0.0031434184675835,0,0
"70","qmfpg",2,0.0031434184675835,0,0
"71","qmfmg",1,0.00157170923379175,0,0
"72","usd",106,0.166601178781925,0.17,0
"73","usdmf",3,0.00471512770137525,0,0
"74","asmfpg",1,0.00157170923379175,0,0
