"","sobreposicao","quant","porc","porc0","porc3"
"1","mf",139428,13.5503941362095,14,13.55
"2",NA,263694,25.6272601726599,26,25.63
"3","p",91374,8.88023721061772,9,8.88
"4","mfm",4136,0.4019596504817,0,0.4
"5","mfp",15469,1.50336407961833,2,1.5
"6","m",40318,3.9183291073794,4,3.92
"7","asusp",12107,1.17662608519873,1,1.18
"8","asusmfp",1308,0.127118767608816,0,0.13
"9","asmf",123981,12.0491681398384,12,12.05
"10","mfg",13854,1.34640933215026,1,1.35
"11","as",5875,0.570965412616052,1,0.57
"12","asp",24444,2.37560485889136,2,2.38
"13","asuspm",214,0.0207977188595464,0,0.02
"14","g",59843,5.81587798930764,6,5.82
"15","asusmf",19707,1.91523666151907,2,1.92
"16","asus",5940,0.577282476755634,1,0.58
"17","pg",7353,0.714605732589928,1,0.71
"18","asmfp",22452,2.18201113941372,2,2.18
"19","sd",16612,1.61444722287283,2,1.61
"20","asmg",94,0.00913544660185683,0,0.01
"21","asusmg",2166,0.210504014251297,0,0.21
"22","mfpg",833,0.0809556065887951,0,0.08
"23","us",2803,0.272411242819199,0,0.27
"24","th",237,0.0230329877089369,0,0.02
"25","thus",30230,2.9379207529163,3,2.94
"26","sdmfp",421,0.0409151385040609,0,0.04
"27","sdp",4210,0.409151385040609,0,0.41
"28","sdmf",6692,0.650366049570488,1,0.65
"29","sdpg",321,0.0311965782893196,0,0.03
"30","asusmfg",11519,1.11948095113605,1,1.12
"31","sdmg",110,0.0106904162362154,0,0.01
"32","sdg",2395,0.232759517143054,0,0.23
"33","mg",4851,0.471447356017101,0,0.47
"34","asusg",10889,1.05825402178318,1,1.06
"35","asusmfmg",320,0.0310993926871722,0,0.03
"36","asuspmg",205,0.0199230484402197,0,0.02
"37","asmfg",21586,2.09784840795406,2,2.1
"38","sdmfg",685,0.0665721374709779,0,0.07
"39","asuspg",5158,0.501283335876357,1,0.5
"40","asusmfpg",547,0.0531605243746349,0,0.05
"41","usp",890,0.0864951859111976,0,0.09
"42","usmfg",1387,0.134796430178462,0,0.13
"43","usg",2222,0.215946407971552,0,0.22
"44","asg",1418,0.137809183845032,0,0.14
"45","asusmfpmg",12,0.00116622722576896,0,0
"46","pmg",404,0.0392629832675549,0,0.04
"47","mfpm",186,0.0180765219994188,0,0.02
"48","usmg",157,0.0152581395371439,0,0.02
"49","pm",2585,0.251224781551063,0,0.25
"50","thusg",191,0.0185624500101559,0,0.02
"51","asusmfpm",17,0.00165215523650602,0,0
"52","asmfm",1530,0.148693971285542,0,0.15
"53","aspg",3321,0.322753384731559,0,0.32
"54","asusm",1966,0.191066893821814,0,0.19
"55","mfmg",657,0.0638509406108504,0,0.06
"56","sdm",1241,0.12060733226494,0,0.12
"57","uasmf",244,0.0237132869239688,0,0.02
"58","u",4113,0.39972438163231,0,0.4
"59","uasmfp",5,0.000485928010737065,0,0
"60","asusmfm",1522,0.147916486468363,0,0.15
"61","usmf",1166,0.113318412103884,0,0.11
"62","umf",439,0.0426644793427143,0,0.04
"63","up",104,0.010107302623331,0,0.01
"64","sdpm",69,0.0067058065481715,0,0.01
"65","asm",237,0.0230329877089369,0,0.02
"66","asmfpg",4668,0.453662390824124,0,0.45
"67","sdmfm",122,0.0118566434619844,0,0.01
"68","sdmfpm",19,0.00184652644080085,0,0
"69","pi",2176,0.211475870272771,0,0.21
"70","thas",5,0.000485928010737065,0,0
"71","thasusm",13,0.00126341282791637,0,0
"72","assdmf",518,0.05034214191236,0,0.05
"73","assd",85,0.00826077618253011,0,0.01
"74","thasusg",30,0.00291556806442239,0,0
"75","tdus",171,0.0166187379672076,0,0.02
"76","uspmg",52,0.00505365131166548,0,0.01
"77","uspg",1009,0.0980602725667398,0,0.1
"78","sdpmg",14,0.00136059843006378,0,0
"79","usmfm",139,0.0135087986984904,0,0.01
"80","usmfpm",2,0.000194371204294826,0,0
"81","tnhasusm",41,0.00398460968804394,0,0
"82","tnhus",1297,0.126049725985195,0,0.13
"83","tnhusm",112,0.0108847874405103,0,0.01
"84","usm",444,0.0431504073534514,0,0.04
"85","aspip",22,0.00213808324724309,0,0
"86","sdmfpg",34,0.00330431047301204,0,0
"87","thusp",228,0.0221583172896102,0,0.02
