"","uf","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g","d","nrow"
"1","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",139428
"2","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,263694
"3","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"p",91374
"4","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"mfm",4136
"5","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"mfp",15469
"6","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",40318
"7","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"asusp",12107
"8","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,"asusmfp",1308
"9","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"asmf",123981
"10","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"mfg",13854
"11","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"as",5875
"12","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"asp",24444
"13","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,"asuspm",214
"14","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",59843
"15","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",19707
"16","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"asus",5940
"17","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"pg",7353
"18","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,"asmfp",22452
"19","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"sd",16612
"20","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"asmg",94
"21","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,"asusmg",2166
"22","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"mfpg",833
"23","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"us",2803
"24","AC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"th",237
"25","AC",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"thus",30230
"26","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"sdmfp",421
"27","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"sdp",4210
"28","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"sdmf",6692
"29","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,"sdpg",321
"30","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,"asusmfg",11519
"31","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"sdmg",110
"32","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"sdg",2395
"33","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"mg",4851
"34","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",10889
"35","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,"asusmfmg",320
"36","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,"asuspmg",205
"37","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"asmfg",21586
"38","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"sdmfg",685
"39","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,"asuspg",5158
"40","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,"asusmfpg",547
"41","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"usp",890
"42","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"usmfg",1387
"43","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"usg",2222
"44","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"asg",1418
"45","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,"asusmfpmg",12
"46","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"pmg",404
"47","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"mfpm",186
"48","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"usmg",157
"49","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"pm",2585
"50","AC",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"thusg",191
"51","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,"asusmfpm",17
"52","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"asmfm",1530
"53","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,"aspg",3321
"54","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"asusm",1966
"55","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"mfmg",657
"56","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"sdm",1241
"57","AC",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"uasmf",244
"58","AC",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"u",4113
"59","AC",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,"uasmfp",5
"60","AC",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,"asusmfm",1522
"61","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"usmf",1166
"62","AC",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"umf",439
"63","AC",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"up",104
"64","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,"sdpm",69
"65","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"asm",237
"66","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,"asmfpg",4668
"67","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"sdmfm",122
"68","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,"sdmfpm",19
"69","AC",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"pi",2176
"70","AC",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"thas",5
"71","AC",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"thasusm",13
"72","AC",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"assdmf",518
"73","AC",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"assd",85
"74","AC",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"thasusg",30
"75","AC",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"tdus",171
"76","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"uspmg",52
"77","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"uspg",1009
"78","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"sdpmg",14
"79","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"usmfm",139
"80","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,"usmfpm",2
"81","AC",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"tnhasusm",41
"82","AC",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"tnhus",1297
"83","AC",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"tnhusm",112
"84","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"usm",444
"85","AC",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,"aspip",22
"86","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,"sdmfpg",34
"87","AC",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"thusp",228
"88","AC",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"thasusp",56
