"","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome"
"1","1302900","Maués","AM",-58.07064444,-3.974813889,"Mandu"
"2","1302900","Maués","AM",-58.08031944,-3.899788889,"Pacoval 2"
"3","1302900","Maués","AM",-58.08517778,-3.802011111,"Pacoval 1"
"4","1302900","Maués","AM",-58.05184444,-3.775766667,"Vista Alegre"
"5","1302900","Maués","AM",-57.91208889,-3.792858333,"Ponta do Bol?o"
"6","1302900","Maués","AM",-57.79883611,-3.810891667,"Cicant? II"
"7","1302900","Maués","AM",-57.81084167,-3.800947222,"Cicant? I"
"8","1302900","Maués","AM",-57.90545,-3.834594444,"Perigo"
"9","1302900","Maués","AM",-57.86808333,-3.858541667,"Pajur?"
"10","1302900","Maués","AM",-57.9044,-3.972,"Varre Vento I"
"11","1302900","Maués","AM",-57.90626667,-3.958133333,"Varre Vento II"
"12","1302900","Maués","AM",-57.90170556,-3.962869444,"S?o Pedro"
"13","1302900","Maués","AM",-57.91230833,-3.938497222,"Espirito Santo"
"14","1302900","Maués","AM",-57.90996667,-4.005655556,"Flechal"
"15","1302900","Maués","AM",-57.54831944,-3.781388889,"Batista"
"16","1302900","Maués","AM",-57.57701389,-4.379266667,"Sinai I"
"17","1302900","Maués","AM",-57.54843611,-3.826369444,"Pingo de Ouro"
"18","1302900","Maués","AM",-57.62358056,-4.389966667,"Sinai II"
"19","1302900","Maués","AM",-57.5906,-4.314102778,"Laranjal I"
"20","1302900","Maués","AM",-57.60958333,-4.307927778,"Laranjal II"
"21","1302900","Maués","AM",-57.60603889,-4.306383333,"Laranjal III"
"22","1302900","Maués","AM",-57.57909722,-4.178497222,"Maring? I"
"23","1302900","Maués","AM",-57.57771667,-4.150227778,"Maring? II"
"24","1302900","Maués","AM",-57.55460833,-4.075358333,"Vila Darci"
"25","1302900","Maués","AM",-57.575125,-3.988708333,"Para?so I"
"26","1302900","Maués","AM",-57.50427778,-3.898325,"Mucaj? I"
"27","1304203","Tefé","AM",-64.84561304,-3.435969098,"S?o Sebasti?o do Tur?"
"28","1300029","Alvarães","AM",-64.9723069,-3.524829335,"Bom Jesus da Ponta da Castanha"
"29","1300029","Alvarães","AM",-64.90429505,-3.430030337,"Praia"
"30","1300029","Alvarães","AM",-64.89748908,-3.396081921,"Santa Luzia"
"31","1300029","Alvarães","AM",-64.90445647,-3.406954759,"Maraj? I"
"32","1300029","Alvarães","AM",-64.78027778,-3.301388889,"Nogueira"
"33","1300029","Alvarães","AM",-64.83166548,-3.34974959,"Itapiranema III"
"34","1300029","Alvarães","AM",-64.82444921,-3.344699343,"Itapiranema II"
"35","1300029","Alvarães","AM",-64.84145465,-3.354577864,"Mana?"
"36","1300029","Alvarães","AM",-64.94447194,-3.466604675,"Boa Vista"
"37","1300029","Alvarães","AM",-64.94641588,-3.471193896,"Moria"
"38","1300029","Alvarães","AM",-64.94844849,-3.475131909,"S?o Raimundo de Cima"
"39","1300029","Alvarães","AM",-64.90506372,-3.431981877,"Ponto do Catuiri"
"40","1304203","Tefé","AM",-64.7828992,-3.384509486,"Ipapuc?"
"41","1304203","Tefé","AM",-64.74402685,-3.35882648,"Fazenda Para?so"
"42","1304203","Tefé","AM",-64.677991,-3.35979,"Vila I"
"43","1304203","Tefé","AM",-64.67491523,-3.360322495,"Vila II"
"44","1304203","Tefé","AM",-64.67193174,-3.362624598,"Vila III"
"45","1304203","Tefé","AM",-64.6685886,-3.365108181,"Vila IV"
"46","1304203","Tefé","AM",-64.59193055,-3.403744276,"Vila Izidoro"
"47","1100205","Porto Velho","RO",-63.928459,-8.644323,"Remanso Grande"
"48","1100205","Porto Velho","RO",-63.953495,-8.809277,"Brejo"
"49","1100205","Porto Velho","RO",-63.627537,-8.625587,"Nova Vida"
"50","1100205","Porto Velho","RO",-63.884979,-8.64134,"Belmonte"
"51","1100205","Porto Velho","RO",-63.482197,-8.565112,"Barranco"
"52","1100205","Porto Velho","RO",-63.518578,-8.448761,"Prosperidade"
"53","1100205","Porto Velho","RO",-63.528664,-8.457831,"Itapirema"
"54","1100205","Porto Velho","RO",-63.952724,-8.798141,"Veneza"
"55","1101104","Itapuã do Oeste","RO",-63.16861,-9.095833,"Topazio"
"56","1101104","Itapuã do Oeste","RO",-63.305832,-8.958333,"Terra Preta"
"57","1100205","Porto Velho","RO",-64.055557,-8.888889,"Teot?nio"
"58","1100809","Candeias do Jamari","RO",-63.544998,-9.030833,"Taboca"
"59","1100205","Porto Velho","RO",-63.940277,-8.811667,"Santo Ant?nio 1"
"60","1100205","Porto Velho","RO",-63.858334,-8.622222,"Santa Cruz"
"61","1100809","Candeias do Jamari","RO",-63.453335,-8.736667,"Samuel 6"
"62","1100809","Candeias do Jamari","RO",-63.417221,-8.751389,"Samuel 5"
"63","1100809","Candeias do Jamari","RO",-63.449165,-8.753333,"Samuel 4"
"64","1100809","Candeias do Jamari","RO",-63.452778,-8.7525,"Samuel 3"
"65","1100809","Candeias do Jamari","RO",-63.417221,-8.751111,"Samuel 2"
"66","1100809","Candeias do Jamari","RO",-63.453335,-8.748333,"Samuel 1"
"67","1100205","Porto Velho","RO",-63.970833,-8.813056,"Rema"
"68","1101104","Itapuã do Oeste","RO",-63.274166,-9.165,"Quebra Canto"
"69","1101104","Itapuã do Oeste","RO",-63.273888,-9.166667,"Quebra Canto 2"
"70","1100205","Porto Velho","RO",-64.461388,-9.398056,"Quatro Azes"
"71","1100205","Porto Velho","RO",-63.520279,-8.344722,"Pupunha"
"72","1101104","Itapuã do Oeste","RO",-63.252499,-9.177778,"Provid?ncia 2"
"73","1100809","Candeias do Jamari","RO",-63.37389,-9.391667,"Provid?ncia 1"
"74","1101104","Itapuã do Oeste","RO",-63.318619,-8.871389,"Prainha"
"75","1100809","Candeias do Jamari","RO",-63.411667,-8.744722,"PR-3"
"76","1100809","Candeias do Jamari","RO",-63.407501,-8.754722,"Po?ao 1"
"77","1100809","Candeias do Jamari","RO",-63.430832,-8.723333,"Picada"
"78","1300904","Canutama","AM",-63.856945,-8.1,"Pet?lia"
"79","1100809","Candeias do Jamari","RO",-63.466667,-8.759167,"Peruano"
"80","1100809","Candeias do Jamari","RO",-63.500278,-9.211667,"Peroba"
"81","1101104","Itapuã do Oeste","RO",-63.288055,-9.033333,"Pedro"
"82","1100205","Porto Velho","RO",-65.344666,-9.538889,"Pederneira 3"
"83","1100205","Porto Velho","RO",-65.326111,-9.544444,"Pederneira 2"
"84","1100205","Porto Velho","RO",-65.324448,-9.545833,"Pederneira 1"
"85","1100809","Candeias do Jamari","RO",-63.428333,-8.733611,"Pe?o"
"86","1100205","Porto Velho","RO",-63.515835,-8.326667,"Paquet?"
"87","1101104","Itapuã do Oeste","RO",-63.24889,-9.159444,"Pacatuba"
"88","1100205","Porto Velho","RO",-63.473331,-8.483333,"Paca"
