"","X","est","modalidades","quantidade","porc","porc0","porc2"
"1",1,"AC","Homologada",0,0,0,0
"2",2,"AC","Não Homologada",0,0,0,0
"3",3,"AC","Interditada",0,0,0,0
"4",4,"AC","Dominial",0,0,0,0
"5",5,"AC","Reserva Indígena",0,0,0,0
"6",6,"AC","Proteção Integral",1,0.01486989,0,0.01
"7",7,"AC","Uso Sustentável",139,2.0669145,2,2.07
"8",8,"AC","Militar",37,0.55018587,1,0.55
"9",9,"AC","Outros Usos",0,0,0,0
"10",10,"AC","Sem Destinação",2,0.02973978,0,0.03
"11",11,"AC","Assentamento ",177,2.63197026,3,2.63
"12",12,"AC","Quilombola",0,0,0,0
"13",13,"AC","Urbanizada",0,0,0,0
"14",14,"AC","Rural-Minifúndio",170,2.52788104,3,2.53
"15",15,"AC","Rural-Pequena",81,1.20446097,1,1.2
"16",16,"AC","Rural-Média",37,0.55018587,1,0.55
"17",17,"AC","Rural-Grande",85,1.26394052,1,1.26
"18",18,"AC","Sem Classificação",27,0.40148699,0,0.4
"19",19,"AM","Homologada",46,0.68401487,1,0.68
"20",20,"AM","Não Homologada",1,0.01486989,0,0.01
"21",21,"AM","Interditada",0,0,0,0
"22",22,"AM","Dominial",0,0,0,0
"23",23,"AM","Reserva Indígena",0,0,0,0
"24",24,"AM","Proteção Integral",105,1.56133829,2,1.56
"25",25,"AM","Uso Sustentável",293,4.35687732,4,4.36
"26",26,"AM","Militar",0,0,0,0
"27",27,"AM","Outros Usos",4,0.05947955,0,0.06
"28",28,"AM","Sem Destinação",106,1.57620818,2,1.58
"29",29,"AM","Assentamento ",222,3.30111524,3,3.3
"30",30,"AM","Quilombola",0,0,0,0
"31",31,"AM","Urbanizada",18,0.26765799,0,0.27
"32",32,"AM","Rural-Minifúndio",127,1.88847584,2,1.89
"33",33,"AM","Rural-Pequena",97,0.6394052,1,0.64
"34",34,"AM","Rural-Média",43,1.44237918,1,1.44
"35",35,"AM","Rural-Grande",311,4.62453532,5,4.62
"36",36,"AM","Sem Classificação",562,8.35687732,8,8.36
"37",37,"AP","Homologada",28,0.41635688,0,0.42
"38",38,"AP","Não Homologada",0,0,0,0
"39",39,"AP","Interditada",0,0,0,0
"40",40,"AP","Dominial",0,0,0,0
"41",41,"AP","Reserva Indígena",0,0,0,0
"42",42,"AP","Proteção Integral",6,0.08921933,0,0.09
"43",43,"AP","Uso Sustentável",86,1.27881041,1,1.28
"44",44,"AP","Militar",0,0,0,0
"45",45,"AP","Outros Usos",0,0,0,0
"46",46,"AP","Sem Destinação",106,1.57620818,2,1.58
"47",47,"AP","Assentamento ",77,1.14498141,1,1.14
"48",48,"AP","Quilombola",5,0.07434944,0,0.07
"49",49,"AP","Urbanizada",6,0.08921933,0,0.09
"50",50,"AP","Rural-Minifúndio",10,0.14869888,0,0.15
"51",51,"AP","Rural-Pequena",33,0.49070632,0,0.49
"52",52,"AP","Rural-Média",70,1.04089219,1,1.04
"53",53,"AP","Rural-Grande",67,0.99628253,1,1
"54",54,"AP","Sem Classificação",61,0.9070632,1,0.91
"55",55,"MA","Homologada",0,0,0,0
"56",56,"MA","Não Homologada",0,0,0,0
"57",57,"MA","Interditada",0,0,0,0
"58",58,"MA","Dominial",0,0,0,0
"59",59,"MA","Reserva Indígena",0,0,0,0
"60",60,"MA","Proteção Integral",5,0.07434944,0,0.07
"61",61,"MA","Uso Sustentável",0,0,0,0
"62",62,"MA","Militar",2,0.02973978,0,0.03
"63",63,"MA","Outros Usos",0,0,0,0
"64",64,"MA","Sem Destinação",1,0.01486989,0,0.01
"65",65,"MA","Assentamento ",5,0.07434944,0,0.07
"66",66,"MA","Quilombola",1,0.01486989,0,0.01
"67",67,"MA","Urbanizada",11,0.16356877,0,0.16
"68",68,"MA","Rural-Minifúndio",20,0.29739777,0,0.3
"69",69,"MA","Rural-Pequena",29,0.43122677,0,0.43
"70",70,"MA","Rural-Média",11,0.16356877,0,0.16
"71",71,"MA","Rural-Grande",31,0.46096654,0,0.46
"72",72,"MA","Sem Classificação",85,1.26394052,1,1.26
"73",73,"MT","Homologada",61,0.9070632,1,0.91
"74",74,"MT","Não Homologada",2,0.02973978,0,0.03
"75",75,"MT","Interditada",0,0,0,0
"76",76,"MT","Dominial",0,0,0,0
"77",77,"MT","Reserva Indígena",0,0,0,0
"78",78,"MT","Proteção Integral",8,0.11895911,0,0.12
"79",79,"MT","Uso Sustentável",64,0.95167286,1,0.95
"80",80,"MT","Militar",0,0,0,0
"81",81,"MT","Outros Usos",0,0,0,0
"82",82,"MT","Sem Destinação",11,0.16356877,0,0.16
"83",83,"MT","Assentamento ",77,1.14498141,1,1.14
"84",84,"MT","Quilombola",0,0,0,0
"85",85,"MT","Urbanizada",2,0.02973978,0,0.03
"86",86,"MT","Rural-Minifúndio",120,1.78438662,2,1.78
"87",87,"MT","Rural-Pequena",113,1.6802974,2,1.68
"88",88,"MT","Rural-Média",110,1.63568773,2,1.64
"89",89,"MT","Rural-Grande",379,5.63568773,6,5.64
"90",90,"MT","Sem Classificação",159,2.36431227,2,2.36
"91",91,"PA","Homologada",87,1.2936803,1,1.29
"92",92,"PA","Não Homologada",25,0.37174721,0,0.37
"93",93,"PA","Interditada",0,0,0,0
"94",94,"PA","Dominial",0,0,0,0
"95",95,"PA","Reserva Indígena",0,0,0,0
"96",96,"PA","Proteção Integral",49,0.72862454,1,0.73
"97",97,"PA","Uso Sustentável",615,9.14498141,9,9.14
"98",98,"PA","Militar",3,0.04460967,0,0.04
"99",99,"PA","Outros Usos",0,0,0,0
"100",100,"PA","Sem Destinação",60,0.89219331,1,0.89
"101",101,"PA","Assentamento ",530,7.88104089,8,7.88
"102",102,"PA","Quilombola",32,0.47583643,0,0.48
"103",103,"PA","Urbanizada",22,0.32713755,0,0.33
"104",104,"PA","Rural-Minifúndio",388,5.76951673,6,5.77
"105",105,"PA","Rural-Pequena",389,5.78438662,6,5.78
"106",106,"PA","Rural-Média",156,2.3197026,2,2.32
"107",107,"PA","Rural-Grande",644,9.57620818,10,9.58
"108",108,"PA","Sem Classificação",572,8.50557621,9,8.51
"109",109,"RR","Homologada",0,0,0,0
"110",110,"RR","Não Homologada",0,0,0,0
"111",111,"RR","Interditada",0,0,0,0
"112",112,"RR","Dominial",0,0,0,0
"113",113,"RR","Reserva Indígena",0,0,0,0
"114",114,"RR","Proteção Integral",0,0,0,0
"115",115,"RR","Uso Sustentável",9,0.133829,0,0.13
"116",116,"RR","Militar",0,0,0,0
"117",134,"RR","Outros Usos",0,0,0,0
"118",117,"RR","Sem Destinação",2,0.02973978,0,0.03
"119",118,"RR","Assentamento ",3,0.04460967,0,0.04
"120",119,"RR","Quilombola",0,0,0,0
"121",120,"RR","Urbanizada",1,0.01486989,0,0.01
"122",121,"RR","Rural-Minifúndio",4,0.05947955,0,0.06
"123",122,"RR","Rural-Pequena",1,0.01486989,0,0.01
"124",123,"RR","Rural-Média",5,0.07434944,0,0.07
"125",124,"RR","Rural-Grande",9,0.133829,0,0.13
"126",125,"RR","Sem Classificação",10,0.14869888,0,0.15
"127",126,"RO","Homologada",11,0.16356877,0,0.16
"128",127,"RO","Não Homologada",0,0,0,0
"129",128,"RO","Interditada",0,0,0,0
"130",129,"RO","Dominial",0,0,0,0
"131",130,"RO","Reserva Indígena",0,0,0,0
"132",131,"RO","Proteção Integral",16,0.23791822,0,0.24
"133",132,"RO","Uso Sustentável",36,0.53531599,1,0.54
"134",133,"RO","Militar",0,0,0,0
"135",134,"RO","Outros Usos",0,0,0,0
"136",135,"RO","Sem Destinação",54,0.80297398,1,0.8
"137",136,"RO","Assentamento ",62,0.92193309,1,0.92
"138",137,"RO","Quilombola",2,0.02973978,0,0.03
"139",138,"RO","Urbanizada",12,0.17843866,0,0.18
"140",139,"RO","Rural-Minifúndio",140,2.08178439,2,2.08
"141",140,"RO","Rural-Pequena",226,3.3605948,3,3.36
"142",141,"RO","Rural-Média",52,0.7732342,1,0.77
"143",142,"RO","Rural-Grande",122,1.81412639,2,1.81
"144",143,"RO","Sem Classificação",164,2.43866171,2,2.44
"145",144,"TO","Homologada",0,0,0,0
"146",145,"TO","Não Homologada",0,0,0,0
"147",146,"TO","Interditada",0,0,0,0
"148",147,"TO","Dominial",0,0,0,0
"149",148,"TO","Reserva Indígena",0,0,0,0
"150",149,"TO","Proteção Integral",5,0.07434944,0,0.07
"151",150,"TO","Uso Sustentável",31,0.46096654,0,0.46
"152",151,"TO","Militar",0,0,0,0
"153",152,"TO","Outros Usos",0,0,0,0
"154",153,"TO","Sem Destinação",89,1.32342007,1,1.32
"155",154,"TO","Assentamento ",17,0.2527881,0,0.25
"156",155,"TO","Quilombola",0,0,0,0
"157",156,"TO","Urbanizada",0,0,0,0
"158",157,"TO","Rural-Minifúndio",107,1.59107807,2,1.59
"159",158,"TO","Rural-Pequena",99,1.47211896,1,1.47
"160",159,"TO","Rural-Média",127,1.88847584,2,1.89
"161",160,"TO","Rural-Grande",83,1.23420074,1,1.23
"162",161,"TO","Sem Classificação",270,4.01486989,4,4.01
"163",1,"AML","Homologada",233,3.46468401,3,3.46
"164",2,"AML","Não Homologada",28,0.41635688,0,0.42
"165",3,"AML","Interditada",0,0,0,0
"166",4,"AML","Dominial",0,0,0,0
"167",5,"AML","Reserva Indígena",0,0,0,0
"168",6,"AML","Proteção Integral",195,2.89962825,3,2.9
"169",7,"AML","Uso Sustentável",1273,18.92936803,19,18.93
"170",8,"AML","Militar",5,0.07434944,0,0.07
"171",9,"AML","Outros Usos",4,0.05947955,0,0.06
"172",10,"AML","Sem Destinação",431,6.40892193,6,6.41
"173",11,"AML","Assentamento ",1171,17.41263941,17,17.41
"174",12,"AML","Quilombola",40,0.59479554,1,0.59
"175",13,"AML","Urbanizada",72,1.07063197,1,1.07
"176",14,"AML","Rural-Minifúndio",1086,16.14869888,16,16.15
"177",15,"AML","Rural-Pequena",1068,15.88104089,16,15.88
"178",16,"AML","Rural-Média",611,9.08550186,9,9.09
"179",17,"AML","Rural-Grande",1731,25.73977695,26,25.74
"180",18,"AML","Sem Classificação",1936,28.78810409,29,28.79
