c;c1;q
sd;Sem Destinação (SD);288
sdmf;SD e Minifúndio;32
sdp;SD e Pequena Propriedade Rural;37
sdm;SD e Média Propriedade Rural;12
sdg;SD e Grande Propriedade Rural;43
sdas;SD e Assentamento;6
sdu;SD e Urbanizada;1
sdtnh;SD e Terra Índigena Não Homologada;1
sdmfp;SD, Minifúndio e Pequena Propriedade Rural;2
sdmfm;SD, Minifúndio e Média Propriedade Rural;1
sdpm;SD, Pequena e Média Propriedade Rural;2
sdpg;SD, Pequena e Grande Propriedade Rural;3
sdmg;SD, Média e Grande Propriedade Rural;3



