"","c","c1","q","porc","porc2","porc0"
"1","sd","Sem Destinação (SD)",288,4.27934621099554,4.28,4
"2","sdmf","SD e Minifúndio",32,0.475482912332838,0.48,0
"3","sdp","SD e Pequena Propriedade Rural",37,0.549777117384844,0.55,1
"4","sdm","SD e Média Propriedade Rural",12,0.178306092124814,0.18,0
"5","sdg","SD e Grande Propriedade Rural",43,0.638930163447251,0.64,1
"6","sdas","SD e Assentamento",6,0.0891530460624071,0.09,0
"7","sdu","SD e Zona Urbana",1,0.0148588410104012,0.01,0
"8","sdtnh","SD e Terra Índigena Não Homologada",1,0.0148588410104012,0.01,0
"9","sdmfp","SD, Minifúndio e Pequena Propriedade Rural",2,0.0297176820208024,0.03,0
"10","sdmfm","SD, Minifúndio e Média Propriedade Rural",1,0.0148588410104012,0.01,0
"11","sdpm","SD, Pequena e Média Propriedade Rural",2,0.0297176820208024,0.03,0
"12","sdpg","SD, Pequena e Grande Propriedade Rural",3,0.0445765230312036,0.04,0
"13","sdmg","SD, Média e Grande Propriedade Rural",3,0.0445765230312036,0.04,0
