Name;Longitude;Latitude
Mandu;-58.07064444;-3.974813889
Pacoval 2;-58.08031944;-3.899788889
Pacoval 1;-58.08517778;-3.802011111
Vista Alegre;-58.05184444;-3.775766667
Ponta do Bol?o;-57.91208889;-3.792858333
Cicant? II;-57.79883611;-3.810891667
Cicant? I;-57.81084167;-3.800947222
Perigo;-57.90545;-3.834594444
Pajur?;-57.86808333;-3.858541667
Varre Vento I;-57.9044;-3.972
Varre Vento II;-57.90626667;-3.958133333
S?o Pedro;-57.90170556;-3.962869444
Espirito Santo;-57.91230833;-3.938497222
Flechal;-57.90996667;-4.005655556
Batista;-57.54831944;-3.781388889
Sinai I;-57.57701389;-4.379266667
Pingo de Ouro;-57.54843611;-3.826369444
Sinai II;-57.62358056;-4.389966667
Laranjal I;-57.5906;-4.314102778
Laranjal II;-57.60958333;-4.307927778
Laranjal III;-57.60603889;-4.306383333
Maring? I;-57.57909722;-4.178497222
Maring? II;-57.57771667;-4.150227778
Vila Darci;-57.55460833;-4.075358333
Para?so I;-57.575125;-3.988708333
Mucaj? I;-57.50427778;-3.898325
S?o Sebasti?o do Tur?;-64.84561304;-3.435969098
Bom Jesus da Ponta da Castanha;-64.9723069;-3.524829335
Praia;-64.90429505;-3.430030337
Santa Luzia;-64.89748908;-3.396081921
Maraj? I;-64.90445647;-3.406954759
Nogueira;-64.78027778;-3.301388889
Itapiranema III;-64.83166548;-3.34974959
Itapiranema II;-64.82444921;-3.344699343
Mana?;-64.84145465;-3.354577864
Boa Vista;-64.94447194;-3.466604675
Moria;-64.94641588;-3.471193896
S?o Raimundo de Cima;-64.94844849;-3.475131909
Ponto do Catuiri;-64.90506372;-3.431981877
Ipapuc?;-64.7828992;-3.384509486
Fazenda Para?so;-64.74402685;-3.35882648
Vila I;-64.677991;-3.35979
Vila II;-64.67491523;-3.360322495
Vila III;-64.67193174;-3.362624598
Vila IV;-64.6685886;-3.365108181
Vila Izidoro;-64.59193055;-3.403744276
Remanso Grande;-63.928459;-8.644323
Brejo;-63.953495;-8.809277
Nova Vida;-63.627537;-8.625587
Belmonte;-63.884979;-8.64134
Barranco;-63.482197;-8.565112
Prosperidade;-63.518578;-8.448761
Itapirema;-63.528664;-8.457831
Veneza;-63.952724;-8.798141
Topazio;-63.16861;-9.095833
Terra Preta;-63.305832;-8.958333
Teot?nio;-64.055557;-8.888889
Taboca;-63.544998;-9.030833
Santo Ant?nio 1;-63.940277;-8.811667
Santa Cruz;-63.858334;-8.622222
Samuel 6;-63.453335;-8.736667
Samuel 5;-63.417221;-8.751389
Samuel 4;-63.449165;-8.753333
Samuel 3;-63.452778;-8.7525
Samuel 2;-63.417221;-8.751111
Samuel 1;-63.453335;-8.748333
Rema;-63.970833;-8.813056
Quebra Canto;-63.274166;-9.165
Quebra Canto 2;-63.273888;-9.166667
Quatro Azes;-64.461388;-9.398056
Pupunha;-63.520279;-8.344722
Provid?ncia 2;-63.252499;-9.177778
Provid?ncia 1;-63.37389;-9.391667
Prainha;-63.318619;-8.871389
PR-3;-63.411667;-8.744722
Po?ao 1;-63.407501;-8.754722
Picada;-63.430832;-8.723333
Pet?lia;-63.856945;-8.1
Peruano;-63.466667;-8.759167
Peroba;-63.500278;-9.211667
Pedro;-63.288055;-9.033333
Pederneira 3;-65.344666;-9.538889
Pederneira 2;-65.326111;-9.544444
Pederneira 1;-65.324448;-9.545833
Pe?o;-63.428333;-8.733611
Paquet?;-63.515835;-8.326667
Pacatuba;-63.24889;-9.159444
Paca;-63.473331;-8.483333
Nova Vida 4;-63.2925;-8.968056
Nova Vida 3;-63.289722;-8.965556
Nova Vida 2;-63.298058;-8.974722
Nova Vida 1;-63.275002;-8.973611
Nascente;-63.205276;-9.319722
Morrinhos;-64.193054;-9.056944
Monte Alegre;-63.488335;-8.310833
Mizael;-62.125;-11.178889
Matapi 2;-63.363609;-8.833889
Matapi 1;-63.362499;-8.833333
Marcos;-63.330833;-8.996389
Maravilha;-63.90646;-8.765833
Mangal;-64.05278;-8.873611
Lima;-63.356667;-8.921667
Justo;-63.27;-8.804167
Juli?o;-63.185833;-9.253889
Joaquim;-63.283333;-9.025
Jo?o;-63.166668;-9.333611
Jo?o Preto;-63.246944;-9.195
Jatuarana 4;-63.405834;-8.8425
Jatuarana 3;-63.440834;-8.783611
Jatuarana 1;-63.400002;-8.849167
Japi?m;-63.298885;-8.91
Jaci-Paran?;-64.398613;-9.27
Jacarezinho;-63.465691;-8.573141
Itapo?;-63.185841;-9.216389
Igap? 2;-63.933056;-8.798339
Igap? 1;-63.865002;-8.797222
Gog?;-63.15778;-9.128333
Girau;-64.722221;-9.323611
Gar?a;-63.833332;-8.883333
Fortaleza de Abun?;-65.526327;-9.786336
Filipe;-63.376667;-8.983611
Feijoal;-63.375832;-8.770833
Esperan?a;-63.421112;-8.741667
Cuni?;-63.535831;-8.349167
Cujubim;-63.906944;-8.780833
Concei??o;-63.144169;-9.383611
Chico Luiz 2;-63.424721;-8.749167
Chico Luiz 1;-63.424721;-8.749722
Casar?o;-63.468674;-8.530501
Carneiro 2;-63.266666;-9.113333
Carneiro 1;-63.246666;-9.1075
Carmo 5;-63.198334;-9.2
Carmo 4;-63.211666;-9.196667
Carmo 3;-63.213055;-9.2
Carmo 2;-63.212502;-9.200278
Carmo 1;-63.209999;-9.195556
Carlos;-63.477222;-8.439167
Candel?ria;-63.913612;-8.782778
Sem Nome;-63.271389;-8.990583
Cachoeirinha 2;-63.26889;-8.99
Butica 2;-63.313332;-8.896667
Butica 1;-63.314167;-8.898611
Brech?;-63.372223;-8.822222
Bom Jardim;-63.5;-8.3175
Bela Palmeira;-63.200001;-8.25
B?rbara;-62.872223;-8.108333
Associa??o Calderita;-63.521702;-8.641125
Arquimedes 2;-63.185833;-9.26
Arquimedes 1;-63.161945;-9.259167
Arigol?ndia;-63.906666;-8.768889
Arcoverde;-63.526669;-8.335278
Ara?a;-63.407501;-8.774167
Ant?nio;-63.1675;-9.284167
?gua Azul;-64.051109;-8.861111
5o Beck;-63.904999;-8.783361
Viuva 2;-63.063332;-9.243333
Santa Maria III;-69.20333551;0.600004352
Santa Maria II;-69.20444444;0.602222222
Marabitana I;-68.83398288;0.433021523
Iauaret? II;-69.19694444;0.613333333
Clarindo;-68.83777778;0.447777778
S Jeronimo;-68.64527778;0.305555556
Z?gue-Z?gue;-68.66263889;0.286833333
Iauaret? I;-69.19694445;0.613055556
Santa Maria I;-69.21222222;0.603055556
Pupunha;-68.86932533;0.483034699
Idalino;-68.90299049;0.504857339
Fortaleza;-69.20639444;0.584364472
?gua Azul;-61.558131;-5.831062
Aldeia S?o Felix;-59.2003174;-3.549034608
Acar? (AM-BO-06);-59.632597;-4.38785
Amparo;-60.98945804;-5.592485845
Aripuan? 01;-60.393962;-5.222973
Aripuan? 02;-60.387572;-5.216886
Aripuan? 03;-60.394521;-5.447917
Aripuan? 04;-60.41349989;-5.518186433
Atininga 01;-61.05023519;-5.639338706
Atininga 02;-61.036751;-5.629359
Axinim (AM-CR-10);-59.368795;-4.04033
Barreira do Capan?;-61.67026139;-5.846324109
Barreira do Tambaqui;-62.890976;-7.860032
Barro Alto;-61.47167908;-5.96602305
Boa Nova (AM-MC-24);-61.26536154;-5.706069133
Boa Vista;-61.642838;-5.837956
Boca da Estrada;-59.19378902;-3.558076648
Boca do Rio;-61.327055;-5.861855
Bom Futuro (AM-CR-12);-59.881474;-4.478313
Borba (AM-BO-05);-59.569217;-4.368576
Bracinho;-61.009645;-5.534345
Bra?o Grande;-61.040272;-5.533842
Vila Nova;-58.96;-4.127
Cachoeira dos Patos;-59.46375;-8.034388889
Vista Alegre;-61.460443;-5.810936
Cachoeirinha (AM-MC-30);-60.799254;-5.474636
Cacoal;-60.446308;-5.188051
