est;modalidades;quantidade;porc
AC;Homologada;0;0
AC;Não Homologada;0;0
AC;Interditada;0;0
AC;Dominial;0;0
AC;Reserva Indigena;0;0
AC;Proteção Integral;1;0.1371742
AC;Uso Sustentável;139;190.672.154
AC;Militar;37;50.754.458
AC;Outros Usos;0;0
AC;Sem Destinação;2;0.2743484
AC;Assentamento ;177;242.798.354
AC;Quilombola;0;0
AC;Urbanizada;0;0
AC;Rural-Minifúndio;170;233.196.159
AC;Rural-Pequena;81;111.111.111
AC;Rural-Média;37;50.754.458
AC;Rural-Grande;85;116.598.080
AM;Homologada;46;335.032.775
AM;Não Homologada;1;0.07283321
AM;Interditada;0;0
AM;Dominial;0;0
AM;Reserva Indigena;0;0
AM;Proteção Integral;105;764.748.725
AM;Uso Sustentável;293;2.134.013.110
AM;Militar;0;0
AM;Outros Usos;4;0.29133285
AM;Sem Destinação;106;772.032.047
AM;Assentamento ;222;1.616.897.305
AM;Quilombola;0;0
AM;Urbanizada;18;131.099.782
AM;Rural-Minifúndio;127;924.981.792
AM;Rural-Pequena;97;706.482.156
AM;Rural-Média;43;313.182.811
AM;Rural-Grande;311;2.265.112.891
AP;Homologada;28;5.668.016
AP;Não Homologada;0;0
AP;Interditada;0;0
AP;Dominial;0;0
AP;Reserva Indigena;0;0
AP;Proteção Integral;6;1.214.575
AP;Uso Sustentável;86;17.408.907
AP;Militar;0;0
AP;Outros Usos;0;0
AP;Sem Destinação;106;21.457.490
AP;Assentamento ;77;15.587.045
AP;Quilombola;5;1.012.146
AP;Urbanizada;6;1.214.575
AP;Rural-Minifúndio;10;2.024.291
AP;Rural-Pequena;33;6.680.162
AP;Rural-Média;70;14.170.040
AP;Rural-Grande;67;13.562.753
MA;Homologada;0;0
MA;Não Homologada;0;0
MA;Interditada;0;0
MA;Dominial;0;0
MA;Reserva Indigena;0;0
MA;Proteção Integral;5;4.310.345
MA;Uso Sustentável;0;0
MA;Militar;2;1.724.138
MA;Outros Usos;0;0
MA;Sem Destinação;1;0.862069
MA;Assentamento ;5;4.310.345
MA;Quilombola;1;0.862069
MA;Urbanizada;11;9.482.759
MA;Rural-Minifúndio;20;17.241.379
MA;Rural-Pequena;29;25.000.000
MA;Rural-Média;11;9.482.759
MA;Rural-Grande;31;26.724.138
MT;Homologada;61;64.413.939
MT;Não Homologada;2;0.2111932
MT;Interditada;0;0
MT;Dominial;0;0
MT;Reserva Indigena;0;0
MT;Proteção Integral;8;0.844773
MT;Uso Sustentável;64;67.581.837
MT;Militar;0;0
MT;Outros Usos;0;0
MT;Sem Destinação;11;11.615.628
MT;Assentamento ;77;81.309.398
MT;Quilombola;0;0
MT;Urbanizada;2;0.2111932
MT;Rural-Minifúndio;120;126.715.945
MT;Rural-Pequena;113;119.324.182
MT;Rural-Média;110;116.156.283
MT;Rural-Grande;379;400.211.193
PA;Homologada;87;29.000.000
PA;Não Homologada;25;0.8333333
PA;Interditada;0;0
PA;Dominial;0;0
PA;Reserva Indigena;0;0
PA;Proteção Integral;49;16.333.333
PA;Uso Sustentável;615;205.000.000
PA;Militar;3;0.1
PA;Outros Usos;0;0
PA;Sem Destinação;60;20.000.000
PA;Assentamento ;530;176.666.667
PA;Quilombola;32;10.666.667
PA;Urbanizada;22;0.7333333
PA;Rural-Minifúndio;388;129.333.333
PA;Rural-Pequena;389;129.666.667
PA;Rural-Média;156;52.000.000
PA;Rural-Grande;644;214.666.667
RR;Homologada;0;0
RR;Não Homologada;0;0
RR;Interditada;0;0
RR;Dominial;0;0
RR;Reserva Indigena;0;0
RR;Proteção Integral;0;0
RR;Uso Sustentável;9;26.470.588
RR;Militar;0;0
RR;Sem Destinação;2;5.882.353
RR;Assentamento ;3;8.823.529
RR;Quilombola;0;0
RR;Urbanizada;1;2.941.176
RR;Rural-Minifúndio;4;11.764.706
RR;Rural-Pequena;1;2.941.176
RR;Rural-Média;5;14.705.882
RR;Rural-Grande;9;26.470.588
RO;Homologada;11;15.006.821
RO;Não Homologada;0;0
RO;Interditada;0;0
RO;Dominial;0;0
RO;Reserva Indigena;0;0
RO;Proteção Integral;16;21.828.104
RO;Uso Sustentável;36;49.113.233
RO;Militar;0;0
RO;Outros Usos;0;0
RO;Sem Destinação;54;73.669.850
RO;Assentamento ;62;84.583.902
RO;Quilombola;2;0.2728513
RO;Urbanizada;12;16.371.078
RO;Rural-Minifúndio;140;190.995.907
RO;Rural-Pequena;226;308.321.965
RO;Rural-Média;52;70.941.337
RO;Rural-Grande;122;166.439.291
TO;Homologada;0;0
TO;Não Homologada;0;0
TO;Interditada;0;0
TO;Dominial;0;0
TO;Reserva Indigena;0;0
TO;Proteção Integral;5;0.8960573
TO;Uso Sustentável;31;55.555.556
TO;Militar;0;0
TO;Outros Usos;0;0
TO;Sem Destinação;89;159.498.208
TO;Assentamento ;17;30.465.950
TO;Quilombola;0;0
TO;Urbanizada;0;0
TO;Rural-Minifúndio;107;191.756.272
TO;Rural-Pequena;99;177.419.355
TO;Rural-Média;127;227.598.566
TO;Rural-Grande;83;148.745.520
