"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","g",67,17.8191489361702,17.82,18
"2","m",26,6.91489361702128,6.91,7
"3","mf",33,8.77659574468085,8.78,9
"4","asmf",25,6.64893617021277,6.65,7
"5",NA,27,7.18085106382979,7.18,7
"6","asus",12,3.19148936170213,3.19,3
"7","asusp",19,5.0531914893617,5.05,5
"8","asusmf",89,23.6702127659574,23.67,24
"9","mg",1,0.265957446808511,0.27,0
"10","asp",5,1.32978723404255,1.33,1
"11","p",33,8.77659574468085,8.78,9
"12","asusmfp",10,2.65957446808511,2.66,3
"13","sd",1,0.265957446808511,0.27,0
"14","pm",2,0.531914893617021,0.53,1
"15","mfp",3,0.797872340425532,0.8,1
"16","asmfpg",1,0.265957446808511,0.27,0
"17","asmfg",5,1.32978723404255,1.33,1
"18","asuspm",2,0.531914893617021,0.53,1
"19","pg",3,0.797872340425532,0.8,1
"20","asusmfm",1,0.265957446808511,0.27,0
"21","asmfp",1,0.265957446808511,0.27,0
"22","asusmg",4,1.06382978723404,1.06,1
"23","mfg",1,0.265957446808511,0.27,0
"24","as",1,0.265957446808511,0.27,0
"25","pi",1,0.265957446808511,0.27,0
"26","sdpg",1,0.265957446808511,0.27,0
"27","asuspmg",1,0.265957446808511,0.27,0
"28","asusmfg",1,0.265957446808511,0.27,0
