"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","asusg",130,9.45454545454546,9.45,9
"2","sd",85,6.18181818181818,6.18,6
"3",NA,562,40.8727272727273,40.87,41
"4","usg",31,2.25454545454545,2.25,2
"5","mf",66,4.8,4.8,5
"6","asusmf",28,2.03636363636364,2.04,2
"7","thus",46,3.34545454545455,3.35,3
"8","g",98,7.12727272727273,7.13,7
"9","asusp",23,1.67272727272727,1.67,2
"10","asuspg",2,0.145454545454545,0.15,0
"11","p",46,3.34545454545455,3.35,3
"12","sdg",11,0.8,0.8,1
"13","m",37,2.69090909090909,2.69,3
"14","as",8,0.581818181818182,0.58,1
"15","asmf",16,1.16363636363636,1.16,1
"16","uspg",1,0.0727272727272727,0.07,0
"17","sdp",5,0.363636363636364,0.36,0
"18","sdmf",2,0.145454545454545,0.15,0
"19","us",22,1.6,1.6,2
"20","pi",74,5.38181818181818,5.38,5
"21","pg",3,0.218181818181818,0.22,0
"22","mfg",1,0.0727272727272727,0.07,0
"23","ou",4,0.290909090909091,0.29,0
"24","uasmf",1,0.0727272727272727,0.07,0
"25","pig",31,2.25454545454545,2.25,2
"26","uusg",1,0.0727272727272727,0.07,0
"27","u",16,1.16363636363636,1.16,1
"28","usp",2,0.145454545454545,0.15,0
"29","sdmfp",1,0.0727272727272727,0.07,0
"30","asusm",2,0.145454545454545,0.15,0
"31","mfp",1,0.0727272727272727,0.07,0
"32","usmf",2,0.145454545454545,0.15,0
"33","aspm",1,0.0727272727272727,0.07,0
"34","assd",1,0.0727272727272727,0.07,0
"35","mfm",1,0.0727272727272727,0.07,0
"36","asusmfp",1,0.0727272727272727,0.07,0
"37","pmg",1,0.0727272727272727,0.07,0
"38","asmfp",7,0.509090909090909,0.51,1
"39","usm",1,0.0727272727272727,0.07,0
"40","asp",2,0.145454545454545,0.15,0
"41","sdpg",1,0.0727272727272727,0.07,0
"42","tnhus",1,0.0727272727272727,0.07,0
