"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","as",3,0.898203592814371,0.9,1
"2","sd",80,23.9520958083832,23.95,24
"3","asusmg",30,8.98203592814371,8.98,9
"4","g",15,4.49101796407186,4.49,4
"5","thus",28,8.38323353293413,8.38,8
"6","sdm",3,0.898203592814371,0.9,1
"7","m",11,3.2934131736527,3.29,3
"8","mf",3,0.898203592814371,0.9,1
"9",NA,61,18.2634730538922,18.26,18
"10","sdg",12,3.59281437125748,3.59,4
"11","p",6,1.79640718562874,1.8,2
"12","mg",7,2.09580838323353,2.1,2
"13","usm",6,1.79640718562874,1.8,2
"14","sdmf",5,1.49700598802395,1.5,1
"15","asp",21,6.2874251497006,6.29,6
"16","qpi",4,1.19760479041916,1.2,1
"17","u",6,1.79640718562874,1.8,2
"18","asusm",12,3.59281437125748,3.59,4
"19","pi",2,0.598802395209581,0.6,1
"20","us",5,1.49700598802395,1.5,1
"21","assd",5,1.49700598802395,1.5,1
"22","asusmfp",1,0.29940119760479,0.3,0
"23","qp",1,0.29940119760479,0.3,0
"24","asusp",2,0.598802395209581,0.6,1
"25","aspm",1,0.29940119760479,0.3,0
"26","asusg",1,0.29940119760479,0.3,0
"27","sdpg",1,0.29940119760479,0.3,0
"28","asmf",1,0.29940119760479,0.3,0
"29","usg",1,0.29940119760479,0.3,0
