"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","mg",3,1.62162162162162,1.62,2
"2","qp",1,0.540540540540541,0.54,1
"3","mfg",1,0.540540540540541,0.54,1
"4","pg",1,0.540540540540541,0.54,1
"5","g",25,13.5135135135135,13.51,14
"6",NA,85,45.945945945946,45.95,46
"7","mf",14,7.56756756756757,7.57,8
"8","p",24,12.972972972973,12.97,13
"9","m",6,3.24324324324324,3.24,3
"10","pi",4,2.16216216216216,2.16,2
"11","u",10,5.40540540540541,5.41,5
"12","uas",1,0.540540540540541,0.54,1
"13","sdp",1,0.540540540540541,0.54,1
"14","mi",2,1.08108108108108,1.08,1
"15","asmf",3,1.62162162162162,1.62,2
"16","asmfg",1,0.540540540540541,0.54,1
"17","mfp",1,0.540540540540541,0.54,1
"18","pm",1,0.540540540540541,0.54,1
"19","pim",1,0.540540540540541,0.54,1
