"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","thus",54,6.12244897959184,6.12,6
"2","thusg",6,0.680272108843537,0.68,1
"3",NA,159,18.0272108843537,18.03,18
"4","mf",35,3.96825396825397,3.97,4
"5","g",322,36.5079365079365,36.51,37
"6","m",76,8.61678004535147,8.62,9
"7","mg",23,2.60770975056689,2.61,3
"8","p",75,8.50340136054422,8.5,9
"9","asmfg",1,0.113378684807256,0.11,0
"10","asmfp",5,0.566893424036281,0.57,1
"11","mfg",3,0.340136054421769,0.34,0
"12","pg",16,1.8140589569161,1.81,2
"13","sdp",3,0.340136054421769,0.34,0
"14","mfp",5,0.566893424036281,0.57,1
"15","sd",4,0.453514739229025,0.45,0
"16","tnhus",2,0.226757369614512,0.23,0
"17","pipm",1,0.113378684807256,0.11,0
"18","asmf",66,7.48299319727891,7.48,7
"19","pim",1,0.113378684807256,0.11,0
"20","asmfm",1,0.113378684807256,0.11,0
"21","sdmf",2,0.226757369614512,0.23,0
"22","sdm",2,0.226757369614512,0.23,0
"23","mfpm",1,0.113378684807256,0.11,0
"24","pm",3,0.340136054421769,0.34,0
"25","pig",5,0.566893424036281,0.57,1
"26","pi",1,0.113378684807256,0.11,0
"27","mfm",1,0.113378684807256,0.11,0
"28","asp",4,0.453514739229025,0.45,0
"29","ug",2,0.226757369614512,0.23,0
"30","th",1,0.113378684807256,0.11,0
"31","usm",1,0.113378684807256,0.11,0
"32","usg",1,0.113378684807256,0.11,0
