"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1",NA,572,27.5529865125241,27.55,28
"2","mf",86,4.14258188824663,4.14,4
"3","us",61,2.9383429672447,2.94,3
"4","asqusg",8,0.385356454720617,0.39,0
"5","asqmfp",2,0.0963391136801541,0.1,0
"6","asmfm",9,0.433526011560694,0.43,0
"7","g",169,8.14065510597302,8.14,8
"8","m",70,3.3718689788054,3.37,3
"9","asmfg",56,2.69749518304432,2.7,3
"10","asmf",49,2.36030828516378,2.36,2
"11","asusg",73,3.51637764932563,3.52,4
"12","asuspmg",1,0.0481695568400771,0.05,0
"13","asuspg",42,2.02312138728324,2.02,2
"14","asusm",22,1.0597302504817,1.06,1
"15","asusmg",7,0.33718689788054,0.34,0
"16","thus",84,4.04624277456647,4.05,4
"17","tnhus",17,0.81888246628131,0.82,1
"18","p",157,7.5626204238921,7.56,8
"19","asmfp",11,0.529865125240848,0.53,1
"20","sdmf",6,0.289017341040462,0.29,0
"21","mfp",7,0.33718689788054,0.34,0
"22","aspg",17,0.81888246628131,0.82,1
"23","asp",20,0.963391136801541,0.96,1
"24","asmfpg",12,0.578034682080925,0.58,1
"25","pg",19,0.915221579961464,0.92,1
"26","sdp",14,0.674373795761079,0.67,1
"27","mg",8,0.385356454720617,0.39,0
"28","pm",5,0.240847784200385,0.24,0
"29","asusmfmg",3,0.144508670520231,0.14,0
"30","asusmfg",48,2.3121387283237,2.31,2
"31","sd",28,1.34874759152216,1.35,1
"32","asmfmg",13,0.626204238921002,0.63,1
"33","asusmfpg",5,0.240847784200385,0.24,0
"34","mfg",6,0.289017341040462,0.29,0
"35","usmfg",3,0.144508670520231,0.14,0
"36","uspg",7,0.33718689788054,0.34,0
"37","asus",24,1.15606936416185,1.16,1
"38","as",10,0.481695568400771,0.48,0
"39","asusmf",42,2.02312138728324,2.02,2
"40","u",9,0.433526011560694,0.43,0
"41","th",3,0.144508670520231,0.14,0
"42","uasmf",2,0.0963391136801541,0.1,0
"43","up",1,0.0481695568400771,0.05,0
"44","usd",1,0.0481695568400771,0.05,0
"45","asusmfp",5,0.240847784200385,0.24,0
"46","pi",47,2.26396917148362,2.26,2
"47","qg",2,0.0963391136801541,0.1,0
"48","qmfg",2,0.0963391136801541,0.1,0
"49","tnhusm",1,0.0481695568400771,0.05,0
"50","mi",3,0.144508670520231,0.14,0
"51","tnhusg",1,0.0481695568400771,0.05,0
"52","asusp",29,1.39691714836224,1.4,1
"53","usg",109,5.2504816955684,5.25,5
"54","usmg",2,0.0963391136801541,0.1,0
"55","pim",1,0.0481695568400771,0.05,0
"56","uasusmfg",6,0.289017341040462,0.29,0
"57","uasmfg",1,0.0481695568400771,0.05,0
"58","uusmf",1,0.0481695568400771,0.05,0
"59","qpg",6,0.289017341040462,0.29,0
"60","qp",11,0.529865125240848,0.53,1
"61","usp",7,0.33718689788054,0.34,0
"62","usm",1,0.0481695568400771,0.05,0
"63","mfpg",2,0.0963391136801541,0.1,0
"64","q",1,0.0481695568400771,0.05,0
"65","mfm",2,0.0963391136801541,0.1,0
"66","aspmg",4,0.192678227360308,0.19,0
"67","tnhsd",1,0.0481695568400771,0.05,0
"68","mfpmg",1,0.0481695568400771,0.05,0
"69","aspm",3,0.144508670520231,0.14,0
"70","tnhasusmfg",4,0.192678227360308,0.19,0
"71","sdg",6,0.289017341040462,0.29,0
"72","uasusmf",1,0.0481695568400771,0.05,0
"73","sdmfm",1,0.0481695568400771,0.05,0
"74","asg",1,0.0481695568400771,0.05,0
"75","usmf",1,0.0481695568400771,0.05,0
"76","sdmfp",1,0.0481695568400771,0.05,0
"77","sdm",2,0.0963391136801541,0.1,0
"78","tnhpi",1,0.0481695568400771,0.05,0
