"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1","usmf",1,0.140252454417952,0.14,0
"2","g",85,11.9214586255259,11.92,12
"3","asp",12,1.68302945301543,1.68,2
"4",NA,164,23.0014025245442,23,23
"5","usg",7,0.981767180925666,0.98,1
"6","asmfp",12,1.68302945301543,1.68,2
"7","sd",28,3.92706872370266,3.93,4
"8","asusg",6,0.841514726507714,0.84,1
"9","sdm",3,0.420757363253857,0.42,0
"10","sdg",13,1.82328190743338,1.82,2
"11","sdmg",3,0.420757363253857,0.42,0
"12","mf",81,11.3604488078541,11.36,11
"13","u",10,1.40252454417952,1.4,1
"14","um",1,0.140252454417952,0.14,0
"15","asusp",4,0.561009817671809,0.56,1
"16","pi",11,1.54277699859748,1.54,2
"17","m",23,3.2258064516129,3.23,3
"18","asmf",22,3.08555399719495,3.09,3
"19","p",155,21.7391304347826,21.74,22
"20","sdp",4,0.561009817671809,0.56,1
"21","mfp",21,2.945301542777,2.95,3
"22","thus",11,1.54277699859748,1.54,2
"23","pipg",1,0.140252454417952,0.14,0
"24","sdmf",2,0.280504908835905,0.28,0
"25","pimg",1,0.140252454417952,0.14,0
"26","q",1,0.140252454417952,0.14,0
"27","qus",1,0.140252454417952,0.14,0
"28","us",2,0.280504908835905,0.28,0
"29","sdpm",1,0.140252454417952,0.14,0
"30","pm",10,1.40252454417952,1.4,1
"31","pg",2,0.280504908835905,0.28,0
"32","mg",2,0.280504908835905,0.28,0
"33","upm",1,0.140252454417952,0.14,0
"34","mfm",1,0.140252454417952,0.14,0
"35","usm",2,0.280504908835905,0.28,0
"36","pim",1,0.140252454417952,0.14,0
"37","pig",2,0.280504908835905,0.28,0
"38","aspm",3,0.420757363253857,0.42,0
"39","asus",2,0.280504908835905,0.28,0
"40","as",1,0.140252454417952,0.14,0
