"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"1",NA,270,35.9042553191489,35.9,36
"2","asmf",14,1.86170212765957,1.86,2
"3","p",78,10.3723404255319,10.37,10
"4","mf",64,8.51063829787234,8.51,9
"5","g",76,10.1063829787234,10.11,10
"6","m",113,15.0265957446809,15.03,15
"7","sd",60,7.97872340425532,7.98,8
"8","sdmf",15,1.99468085106383,1.99,2
"9","sdm",2,0.265957446808511,0.27,0
"10","pm",1,0.132978723404255,0.13,0
"11","sdp",10,1.32978723404255,1.33,1
"12","as",1,0.132978723404255,0.13,0
"13","mg",6,0.797872340425532,0.8,1
"14","us",11,1.46276595744681,1.46,1
"15","usmf",12,1.59574468085106,1.6,2
"16","usm",4,0.531914893617021,0.53,1
"17","pi",4,0.531914893617021,0.53,1
"18","usp",4,0.531914893617021,0.53,1
"19","mfp",2,0.265957446808511,0.27,0
"20","asp",2,0.265957446808511,0.27,0
"21","sdg",1,0.132978723404255,0.13,0
"22","sdpm",1,0.132978723404255,0.13,0
"23","pip",1,0.132978723404255,0.13,0
