"","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g","d","nrow"
"1",1302900,"Maués","AM",-58.07064444,-3.974813889,"Mandu",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"2",1302900,"Maués","AM",-58.08031944,-3.899788889,"Pacoval 2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"3",1302900,"Maués","AM",-58.08517778,-3.802011111,"Pacoval 1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"4",1302900,"Maués","AM",-58.05184444,-3.775766667,"Vista Alegre",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"5",1302900,"Maués","AM",-57.91208889,-3.792858333,"Ponta do Bol?o",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"sd",288
"6",1302900,"Maués","AM",-57.79883611,-3.810891667,"Cicant? II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"7",1302900,"Maués","AM",-57.81084167,-3.800947222,"Cicant? I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"8",1302900,"Maués","AM",-57.90545,-3.834594444,"Perigo",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"9",1302900,"Maués","AM",-57.86808333,-3.858541667,"Pajur?",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"10",1302900,"Maués","AM",-57.9044,-3.972,"Varre Vento I",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"11",1302900,"Maués","AM",-57.90626667,-3.958133333,"Varre Vento II",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"12",1302900,"Maués","AM",-57.90170556,-3.962869444,"S?o Pedro",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"13",1302900,"Maués","AM",-57.91230833,-3.938497222,"Espirito Santo",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"14",1302900,"Maués","AM",-57.90996667,-4.005655556,"Flechal",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"15",1302900,"Maués","AM",-57.54831944,-3.781388889,"Batista",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"16",1302900,"Maués","AM",-57.57701389,-4.379266667,"Sinai I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"17",1302900,"Maués","AM",-57.54843611,-3.826369444,"Pingo de Ouro",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"usg",158
"18",1302900,"Maués","AM",-57.62358056,-4.389966667,"Sinai II",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"19",1302900,"Maués","AM",-57.5906,-4.314102778,"Laranjal I",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"20",1302900,"Maués","AM",-57.60958333,-4.307927778,"Laranjal II",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"21",1302900,"Maués","AM",-57.60603889,-4.306383333,"Laranjal III",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"22",1302900,"Maués","AM",-57.57909722,-4.178497222,"Maring? I",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"23",1302900,"Maués","AM",-57.57771667,-4.150227778,"Maring? II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"24",1302900,"Maués","AM",-57.55460833,-4.075358333,"Vila Darci",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"25",1302900,"Maués","AM",-57.575125,-3.988708333,"Para?so I",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"26",1302900,"Maués","AM",-57.50427778,-3.898325,"Mucaj? I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"27",1304203,"Tefé","AM",-64.84561304,-3.435969098,"S?o Sebasti?o do Tur?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"28",1300029,"Alvarães","AM",-64.9723069,-3.524829335,"Bom Jesus da Ponta da Castanha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"29",1300029,"Alvarães","AM",-64.90429505,-3.430030337,"Praia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"30",1300029,"Alvarães","AM",-64.89748908,-3.396081921,"Santa Luzia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"31",1300029,"Alvarães","AM",-64.90445647,-3.406954759,"Maraj? I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"32",1300029,"Alvarães","AM",-64.78027778,-3.301388889,"Nogueira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"33",1300029,"Alvarães","AM",-64.83166548,-3.34974959,"Itapiranema III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"34",1300029,"Alvarães","AM",-64.82444921,-3.344699343,"Itapiranema II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"35",1300029,"Alvarães","AM",-64.84145465,-3.354577864,"Mana?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"36",1300029,"Alvarães","AM",-64.94447194,-3.466604675,"Boa Vista",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"37",1300029,"Alvarães","AM",-64.94641588,-3.471193896,"Moria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"38",1300029,"Alvarães","AM",-64.94844849,-3.475131909,"S?o Raimundo de Cima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"39",1300029,"Alvarães","AM",-64.90506372,-3.431981877,"Ponto do Catuiri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"40",1304203,"Tefé","AM",-64.7828992,-3.384509486,"Ipapuc?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"41",1304203,"Tefé","AM",-64.74402685,-3.35882648,"Fazenda Para?so",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"42",1304203,"Tefé","AM",-64.677991,-3.35979,"Vila I",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",383
"43",1304203,"Tefé","AM",-64.67491523,-3.360322495,"Vila II",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",383
"44",1304203,"Tefé","AM",-64.67193174,-3.362624598,"Vila III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"45",1304203,"Tefé","AM",-64.6685886,-3.365108181,"Vila IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"46",1304203,"Tefé","AM",-64.59193055,-3.403744276,"Vila Izidoro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"47",1100205,"Porto Velho","RO",-63.928459,-8.644323,"Remanso Grande",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"usmf",16
"48",1100205,"Porto Velho","RO",-63.953495,-8.809277,"Brejo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"49",1100205,"Porto Velho","RO",-63.627537,-8.625587,"Nova Vida",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"asp",66
"50",1100205,"Porto Velho","RO",-63.884979,-8.64134,"Belmonte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"51",1100205,"Porto Velho","RO",-63.482197,-8.565112,"Barranco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"52",1100205,"Porto Velho","RO",-63.518578,-8.448761,"Prosperidade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
