"","EStados","Modalidades","Valor"
"1","AC","Homologada",23147.0
"2","AC","Não Homologada",2073.0
"3","AC","Interditada",0003.0
"4","AC","Dominial",0116.0
"5","AC","Reserva Indigena",0
"6","AC","Outros",138834.0
"7","AM","Homologada",372179.0
"8","AM","Não Homologada",30747.0
"9","AM","Interditada",6088.0
"10","AM","Dominial",0
"11","AM","Reserva Indigena",0
"12","AM","Outros",1150155.0
"13","AP","Homologada",11226.0
"14","AP","Não Homologada",0
"15","AP","Interditada",0
"16","AP","Dominial",0
"17","AP","Reserva Indigena",0
"18","AP","Outros",131244.9
"19","MA","Homologada",19021.0
"20","MA","Não Homologada",5355.0
"21","MA","Interditada",0
"22","MA","Dominial",0023.0
"23","MA","Reserva Indigena",0081.0
"24","MA","Outros",305171.0
"25","MT","Homologada",124283.0
"26","MT","Não Homologada",21777.0
"27","MT","Interditada",2424.0
"28","MT","Dominial",0
"29","MT","Reserva Indigena",0364.0
"30","MT","Outros",754359.0
"31","PA","Homologada",314740.0
"32","PA","Não Homologada",24866.0
"33","PA","Interditada",1425.0
"34","PA","Dominial",0004.0
"35","PA","Reserva Indigena",0031.0
"36","PA","Outros",904805.0
"37","RR","Homologada",128332.0
"38","RR","Não Homologada",0
"39","RR","Interditada",0401.0
"40","RR","Dominial",0
"41","RR","Reserva Indigena",0
"42","RR","Outros",94912.0
"43","RO","Homologada",41559.0
"44","RO","Não Homologada",2351.0
"45","RO","Interditada",0081.0
"46","RO","Dominial",0
"47","RO","Reserva Indigena",0009.0
"48","RO","Outros",193766.0
"49","TO","Homologada",23759.0
"50","TO","Não Homologada",2061.0
"51","TO","Interditada",0
"52","TO","Dominial",0
"53","TO","Reserva Indigena",0077.0
"54","TO","Outros",251527.0
