                                                    car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                                    
-------------------------------------------------------------------------------------------------------------------------------------------------------------------;;;;;;;
 AC-1200013-0763C9A914E1405F835279A6E001ED6A;60.568;AC;Acrelândia;0.0606;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-29F068811968425DB5123BD4B280FC3E;1.389.847;AC;Acrelândia;13.898;IRU;AT;Aguardando análise
 AC-1200013-74A2DDC036F647868FA877A15C19B1FF;1.001.146;AC;Acrelândia;10.011;IRU;AT;Aguardando análise
 AC-1200013-FDA91C03DA864F0B954D504D444A0738;484.804;AC;Acrelândia;0.4848;IRU;AT;Aguardando analise
 AC-1200013-38AF4567410145DDA312CF95CAAAD93A;227.753;AC;Acrelândia;0.2278;IRU;AT;Aguardando análise
 AC-1200013-4DF1E08449974EF0958DB296231D97C0;398.170;AC;Acrelândia;0.3982;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-9AF90E6DB41141E0AA1E4AF4217E4112;1.495.999;AC;Acrelândia;14.960;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-5B59E914FAF849CA89670FA70F639481;405.024;AC;Acrelândia;0.405;IRU;AT;Aguardando análise
 AC-1200013-89CCA46EFAC44F648B76E68F5D267A9C;392.369;AC;Acrelândia;0.3924;IRU;AT;Aguardando análise
 AC-1200013-51174EB5EDD7404A849349266BD749C4;805.685;AC;Acrelândia;0.8057;IRU;AT;Analisado com pendências, aguardando retificação
 AC-1200013-8C40DDE51A0444898BB95964BB107B85;591.376;AC;Acrelândia;0.5914;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-70A52ECB5DDE474E81A9D42A70C217F1;381.744;AC;Acrelândia;0.3817;IRU;AT;Aguardando analise
 AC-1200013-5B4E5C0B841D42DBBD47BC1F1FC9E5D4;62.384;AC;Acrelândia;0.0624;IRU;AT;Aguardando análise
 AC-1200013-DA3CF0FE187C4AC285265603C8AA964A;8.348.076;AC;Acrelândia;83.481;IRU;AT;Aguardando análise
 AC-1200013-A6F1D20B9B11438FA9526571AC6E0DA7;736.582;AC;Acrelândia;0.7366;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-FF411F9C606B48B3BABE9CE5104179A7;508.588;AC;Acrelândia;0.5086;IRU;PE;Aguardando analise
 AC-1200013-F13E3C3482FE4025912F87CA2688AC86;539.319;AC;Acrelândia;0.5393;IRU;AT;Aguardando analise
 AC-1200013-32D2D3063C9E482A9427C8F5E8521C67;798.263;AC;Acrelândia;0.7983;IRU;PE;Analisado com pendências, aguardando retificação
 AC-1200013-BD5796579EAA4D999DD87980C44722A0;306.493;AC;Acrelândia;0.3065;IRU;AT;Aguardando analise
