"","nome_inicial","long_inicial","lat_incial","est_inicial","mun_inicial","cod_mun","nm_mun","estado","longitude","latitude","nome","pais","id","id_duplicado"
"1","RS-VZ-25",-55.07036,-27.78902,NA,NA,"4315008","porto lucena","rs",-55.07036,-27.78902,"rsvz25","br","br_rs_rsvz25_4315008",FALSE
"2","Rosatto 4",-54.55047,-25.47589,NA,NA,"4108304","foz do iguaçu","pr",-54.55047,-25.47589,"rosatto4","br","br_pr_rosatto4_4108304",FALSE
"3","SC-VU-7",-53.1196,-26.99894,NA,NA,"4204756","cunhataí","sc",-53.1196,-26.99894,"scvu7","br","br_sc_scvu7_4204756",FALSE
"4","SC-CL-38",-50.26965,-27.43619,NA,NA,"4213302","ponte alta","sc",-50.26965,-27.43619,"sccl38","br","br_sc_sccl38_4213302",FALSE
"5","SC-CL-39",-50.2688,-27.42839,NA,NA,"4213302","ponte alta","sc",-50.2688,-27.42839,"sccl39","br","br_sc_sccl39_4213302",FALSE
"6","Pascoal 1",-50.26836,-28.6003,NA,NA,"4302303","bom jesus","rs",-50.26836,-28.6003,"pascoal1","br","br_rs_pascoal1_4302303",FALSE
"7","SC-PQ-78",-50.26732,-28.33413,NA,NA,"4216503","são joaquim","sc",-50.26732,-28.33413,"scpq78","br","br_sc_scpq78_4216503",FALSE
"8","RS-PQ-24",-50.26539,-28.45562,NA,NA,"4302303","bom jesus","rs",-50.26539,-28.45562,"rspq24","br","br_rs_rspq24_4302303",FALSE
"9","SC-CL-16",-50.26398,-28.10921,NA,NA,"4209300","lages","sc",-50.26398,-28.10921,"sccl16","br","br_sc_sccl16_4209300",FALSE
"10","RS-PQ-27",-50.24793,-28.43033,NA,NA,"4302303","bom jesus","rs",-50.24793,-28.43033,"rspq27","br","br_rs_rspq27_4302303",FALSE
"11","Cavers do Morro Azul",-50.24144,-24.16608,NA,NA,"4128534","ventania","pr",-50.24144,-24.16608,"caversdomorroazul","br","br_pr_caversdomorroazul_4128534",FALSE
"12","SC-CL-27",-50.23467,-27.78866,NA,NA,"4209300","lages","sc",-50.23467,-27.78866,"sccl27","br","br_sc_sccl27_4209300",FALSE
"13","SC-CL-26",-50.22175,-27.79838,NA,NA,"4209300","lages","sc",-50.22175,-27.79838,"sccl26","br","br_sc_sccl26_4209300",FALSE
"14","Campo de Futebol",-53.11842,-24.4832,NA,NA,"4128005","ubiratã","pr",-53.11842,-24.4832,"campodefutebol","br","br_pr_campodefutebol_4128005",FALSE
"15","Rio Laranjinha",-50.21128,-23.99546,NA,NA,"4101606","arapoti","pr",-50.21128,-23.99546,"riolaranjinha","br","br_pr_riolaranjinha_4101606",FALSE
"16","SC-CL-25",-50.20968,-27.79492,NA,NA,"4209300","lages","sc",-50.20968,-27.79492,"sccl25","br","br_sc_sccl25_4209300",FALSE
"17","SC-CL-24",-50.20704,-27.80513,NA,NA,"4209300","lages","sc",-50.20704,-27.80513,"sccl24","br","br_sc_sccl24_4209300",FALSE
"18","SC-CL-30",-50.20092,-27.67006,NA,NA,"4209300","lages","sc",-50.20092,-27.67006,"sccl30","br","br_sc_sccl30_4209300",FALSE
"19","SC-CL-28",-50.2007,-27.67662,NA,NA,"4209300","lages","sc",-50.2007,-27.67662,"sccl28","br","br_sc_sccl28_4209300",FALSE
"20","Abrigo-sob-rocha Tus",-50.20031,-23.99788,NA,NA,"4101606","arapoti","pr",-50.20031,-23.99788,"abrigosobrochatus","br","br_pr_abrigosobrochatus_4101606",FALSE
"21","SC-CL-31",-50.19602,-27.66614,NA,NA,"4209300","lages","sc",-50.19602,-27.66614,"sccl31","br","br_sc_sccl31_4209300",FALSE
"22","SC-CL-29",-50.19314,-27.66993,NA,NA,"4209300","lages","sc",-50.19314,-27.66993,"sccl29","br","br_sc_sccl29_4209300",FALSE
"23","SC-CL-36",-50.18143,-27.57972,NA,NA,"4212056","palmeira","sc",-50.18143,-27.57972,"sccl36","br","br_sc_sccl36_4212056",FALSE
"24","SC-CL-35",-50.17769,-27.58437,NA,NA,"4212056","palmeira","sc",-50.17769,-27.58437,"sccl35","br","br_sc_sccl35_4212056",FALSE
"25","Lurdes Cixeski",-53.11826,-25.58335,NA,NA,"4106571","cruzeiro do iguaçu","pr",-53.11826,-25.58335,"lurdescixeski","br","br_pr_lurdescixeski_4106571",FALSE
"26","SC-CL-34",-50.16872,-27.59783,NA,NA,"4212056","palmeira","sc",-50.16872,-27.59783,"sccl34","br","br_sc_sccl34_4212056",FALSE
"27","SC-CL-33",-50.16661,-27.60319,NA,NA,"4212056","palmeira","sc",-50.16661,-27.60319,"sccl33","br","br_sc_sccl33_4212056",FALSE
"28","SC-CL-32",-50.16517,-27.6084,NA,NA,"4212056","palmeira","sc",-50.16517,-27.6084,"sccl32","br","br_sc_sccl32_4212056",FALSE
"29","Fase Guatambu",-50.149,-28.8018,NA,NA,"4318622","são josé dos ausentes","rs",-50.149,-28.8018,"faseguatambu","br","br_rs_faseguatambu_4318622",FALSE
"30","SC-CL-14",-50.14644,-27.8716,NA,NA,"4211892","painel","sc",-50.14644,-27.8716,"sccl14","br","br_sc_sccl14_4211892",FALSE
"31","agua Caratuva-2",-50.14456,-23.9831,NA,NA,"4101606","arapoti","pr",-50.14456,-23.9831,"aguacaratuva2","br","br_pr_aguacaratuva2_4101606",FALSE
"32","SC-TA-01",-50.14067,-27.10267,NA,NA,"4217808","taió","sc",-50.14067,-27.10267,"scta01","br","br_sc_scta01_4217808",FALSE
"33","agua Caratuva-3",-50.13323,-23.98481,NA,NA,"4101606","arapoti","pr",-50.13323,-23.98481,"aguacaratuva3","br","br_pr_aguacaratuva3_4101606",FALSE
"34","Imbe 02",-50.13251,-29.92238,NA,NA,"4310330","imbé","rs",-50.13251,-29.92238,"imbe02","br","br_rs_imbe02_4310330",FALSE
"35","Rio do Cafe-1",-50.13068,-23.98464,NA,NA,"4101606","arapoti","pr",-50.13068,-23.98464,"riodocafe1","br","br_pr_riodocafe1_4101606",FALSE
"36","SC-VU-5",-53.11641,-27.00557,NA,NA,"4204756","cunhataí","sc",-53.11641,-27.00557,"scvu5","br","br_sc_scvu5_4204756",FALSE
"37","SC-CL-10",-50.11854,-27.85906,NA,NA,"4211892","painel","sc",-50.11854,-27.85906,"sccl10","br","br_sc_sccl10_4211892",FALSE
"38","SC-CL-13",-50.11756,-27.87609,NA,NA,"4211892","painel","sc",-50.11756,-27.87609,"sccl13","br","br_sc_sccl13_4211892",FALSE
"39","Rio do Cafe-2",-50.11316,-23.98922,NA,NA,"4101606","arapoti","pr",-50.11316,-23.98922,"riodocafe2","br","br_pr_riodocafe2_4101606",FALSE
