NM_MUN;name;pais;CD_MUN;SIGLA_UF;id;id2
acrelandia;aparecidadonorte;br;1200013;ac;br_ac_aparecidadonorte_1200013;TRUE
alvorada d'oeste;ro-pb-s/n;br;1100346;ro;br_ro_ropbsn_1100346;TRUE
chaves;semnome;br;1502509;pa;br_pa_semnome_1502509;TRUE
chaves;semnome;br;1502509;pa;br_pa_semnome_1502509;TRUE
chupinguaia;chupinguaia2;br;1100924;ro;br_ro_chupinguaia2_1100924;TRUE
chupinguaia;chupinguaia1;br;1100924;ro;br_ro_chupinguaia1_1100924;TRUE
coari;clareira14;br;1301209;am;br_am_clareira14_1301209;TRUE
coari;clareira16;br;1301209;am;br_am_clareira16_1301209;TRUE
guajaramirim;medium;br;1100106;ro;br_ro_medium_1100106;TRUE
iranduba;xavier;br;1301852;am;br_am_xavier_1301852;TRUE
itacoatiara;boaesperanca;br;1301902;am;br_am_boaesperanca_1301902;TRUE
itaituba;santoantonio;br;1503606;pa;br_pa_santoantonio_1503606;TRUE
itaituba;campodojacare;br;1503606;pa;br_pa_campodojacare_1503606;TRUE
jaru;medium;br;1100114;ro;br_ro_medium_1100114;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;novavida;br;1100122;ro;br_ro_novavida_1100122;TRUE
labrea;geoglifo8;br;1302405;am;br_am_geoglifo8_1302405;TRUE
manaus;praiadourada;br;1302603;am;br_am_praiadourada_1302603;TRUE
monte alegre;donaraimunda;br;2407807;rn;br_rn_donaraimunda_2407807;TRUE
monte alegre;donaraimunda;br;1504802;pa;br_pa_donaraimunda_1504802;TRUE
novo airao;saopedro;br;1303205;am;br_am_saopedro_1303205;TRUE
palmeiras do tocantins;buritizinhoiii;br;1713809;to;br_to_buritizinhoiii_1713809;TRUE
paranaita;pedradacruz;br;5106299;mt;br_mt_pedradacruz_5106299;TRUE
presidente figueiredo;balbina_139;br;1303536;am;br_am_balbina_139_1303536;TRUE
presidente figueiredo;balbina_26;br;1303536;am;br_am_balbina_26_1303536;TRUE
presidente figueiredo;balbina_164;br;1303536;am;br_am_balbina_164_1303536;TRUE
presidente medici;medium;br;2109239;ma;br_ma_medium_2109239;TRUE
presidente medici;medium;br;1100254;ro;br_ro_medium_1100254;TRUE
presidente medici;medium;br;2109239;ma;br_ma_medium_2109239;TRUE
presidente medici;medium;br;1100254;ro;br_ro_medium_1100254;TRUE
presidente medici;nossasenhoraaparecida;br;2109239;ma;br_ma_nossasenhoraaparecida_2109239;TRUE
presidente medici;nossasenhoraaparecida;br;1100254;ro;br_ro_nossasenhoraaparecida_1100254;TRUE
presidente medici;medium;br;2109239;ma;br_ma_medium_2109239;TRUE
presidente medici;medium;br;1100254;ro;br_ro_medium_1100254;TRUE
santarem;santana;br;1506807;pa;br_pa_santana_1506807;TRUE
sao geraldo do araguaia;araguaia;br;1507458;pa;br_pa_araguaia_1507458;TRUE
sao luis;itapera;br;2111300;ma;br_ma_itapera_2111300;TRUE
sao miguel do guapore;ro-pb-s/n;br;1100320;ro;br_ro_ropbsn_1100320;TRUE
senador guiomard;coqueiral;br;1200450;ac;br_ac_coqueiral_1200450;TRUE
senador guiomard;altoalegre;br;1200450;ac;br_ac_altoalegre_1200450;TRUE
seringueiras;ro-pb-s/n;br;1101500;ro;br_ro_ropbsn_1101500;TRUE
tefe;marajo;br;1304203;am;br_am_marajo_1304203;TRUE
theobroma;medium;br;1101609;ro;br_ro_medium_1101609;TRUE
vale do anari;medium;br;1101757;ro;br_ro_medium_1101757;TRUE
acrelandia;aparecidadonorte;br;1200013;ac;br_ac_aparecidadonorte_1200013;TRUE
alvorada d'oeste;ro-pb-s/n;br;1100346;ro;br_ro_ropbsn_1100346;TRUE
chaves;semnome;br;1502509;pa;br_pa_semnome_1502509;TRUE
chupinguaia;chupinguaia2;br;1100924;ro;br_ro_chupinguaia2_1100924;TRUE
chupinguaia;chupinguaia1;br;1100924;ro;br_ro_chupinguaia1_1100924;TRUE
coari;clareira16;br;1301209;am;br_am_clareira16_1301209;TRUE
coari;clareira14;br;1301209;am;br_am_clareira14_1301209;TRUE
guajaramirim;medium;br;1100106;ro;br_ro_medium_1100106;TRUE
iranduba;xavier;br;1301852;am;br_am_xavier_1301852;TRUE
itacoatiara;boaesperanca;br;1301902;am;br_am_boaesperanca_1301902;TRUE
itaituba;campodojacare;br;1503606;pa;br_pa_campodojacare_1503606;TRUE
itaituba;santoantonio;br;1503606;pa;br_pa_santoantonio_1503606;TRUE
jaru;medium;br;1100114;ro;br_ro_medium_1100114;TRUE
jiparana;medium;br;1100122;ro;br_ro_medium_1100122;TRUE
jiparana;novavida;br;1100122;ro;br_ro_novavida_1100122;TRUE
labrea;geoglifo8;br;1302405;am;br_am_geoglifo8_1302405;TRUE
manaus;praiadourada;br;1302603;am;br_am_praiadourada_1302603;TRUE
monte alegre;donaraimunda;br;2407807;rn;br_rn_donaraimunda_2407807;TRUE
monte alegre;donaraimunda;br;1504802;pa;br_pa_donaraimunda_1504802;TRUE
novo airao;saopedro;br;1303205;am;br_am_saopedro_1303205;TRUE
palmeiras do tocantins;buritizinhoiii;br;1713809;to;br_to_buritizinhoiii_1713809;TRUE
paranaita;pedradacruz;br;5106299;mt;br_mt_pedradacruz_5106299;TRUE
presidente figueiredo;balbina_26;br;1303536;am;br_am_balbina_26_1303536;TRUE
presidente figueiredo;balbina_139;br;1303536;am;br_am_balbina_139_1303536;TRUE
presidente figueiredo;balbina_164;br;1303536;am;br_am_balbina_164_1303536;TRUE
presidente medici;medium;br;2109239;ma;br_ma_medium_2109239;TRUE
presidente medici;medium;br;1100254;ro;br_ro_medium_1100254;TRUE
santarem;santana;br;1506807;pa;br_pa_santana_1506807;TRUE
sao geraldo do araguaia;araguaia;br;1507458;pa;br_pa_araguaia_1507458;TRUE
sao luis;itapera;br;2111300;ma;br_ma_itapera_2111300;TRUE
sao miguel do guapore;ro-pb-s/n;br;1100320;ro;br_ro_ropbsn_1100320;TRUE
senador guiomard;coqueiral;br;1200450;ac;br_ac_coqueiral_1200450;TRUE
senador guiomard;altoalegre;br;1200450;ac;br_ac_altoalegre_1200450;TRUE
seringueiras;ro-pb-s/n;br;1101500;ro;br_ro_ropbsn_1101500;TRUE
tefe;marajo;br;1304203;am;br_am_marajo_1304203;TRUE
theobroma;medium;br;1101609;ro;br_ro_medium_1101609;TRUE
vale do anari;medium;br;1101757;ro;br_ro_medium_1101757;TRUE
presidente medici;nossasenhoraaparecida;br;2109239;ma;br_ma_nossasenhoraaparecida_2109239;TRUE
presidente medici;nossasenhoraaparecida;br;1100254;ro;br_ro_nossasenhoraaparecida_1100254;TRUE
