"","cod1","cod","nm_mun","estado","longitude","latitude","nome","pais","id","conferir","sigla","nome1","est1","regiao","bioma","x","y"
"1","1","4207106","ilhota","sc",-48.799256,-26.873637,"sambaquiilhota","br","br_sc_sambaquiilhota_4207106",FALSE,"na","Sambaqui Ilhota","SC","Southern","Atlantic_forest",-26.873637,-48.799256
"2","10","4320651","silveira martins","rs",-53.555,-29.659,"emiliokieffer","br","br_rs_emiliokieffer_4320651",FALSE,"RS-MJ-88","Emilio Kieffer","RS","Southern","Atlantic_Forest",-29.659,-53.555
"3","100","1721000","palmas","to",-48.16270338,-10.23067704,"abrigodojon","br","br_to_abrigodojon_1721000",TRUE,"na","Abrigo do Jon","TO","Northern","Savannah",-10.23067704,-48.16270338
"4","1000","1101104","itapuã do oeste","ro",-63.313225,-8.869518,"sitionn_jamari","br","br_ro_sitionn_jamari_1101104",FALSE,"na","SitioNN_Jamari","RO","Western","Amazon_Forest",-8.869518,-63.313225
"5","1001","1100452","buritis","ro",-63.739258,-9.951656,"fasemassangana","br","br_ro_fasemassangana_1100452",FALSE,"na","Fase Massangana","RO","Western","Amazon_Forest",-9.951656,-63.739258
"6","1002","1100452","buritis","ro",-63.739258,-9.951656,"fasemassangana","br","br_ro_fasemassangana_1100452",TRUE,"na","Fase Massangana","RO","Western","Amazon_Forest",-9.951656,-63.739258
"7","1003","1100205","porto velho","ro",-65.37,-9.59,"rogm08","br","br_ro_rogm08_1100205",FALSE,"RO-GM-08","RO-GM-08","RO","Western","Amazon_Forest",-9.59,-65.37
"8","1004","1101104","itapuã do oeste","ro",-63.313225,-8.869518,"cachoerinha1","br","br_ro_cachoerinha1_1101104",FALSE,"RO-PV-48","Cachoerinha-1","RO","Western","Amazon_Forest",-8.869518,-63.313225
"9","1005","1101104","itapuã do oeste","ro",-63.313225,-8.869518,"cachoerinha1","br","br_ro_cachoerinha1_1101104",TRUE,"RO-PV-48","Cachoerinha-1","RO","Western","Amazon_Forest",-8.869518,-63.313225
"10","1006","1101104","itapuã do oeste","ro",-63.313225,-8.869518,"cachoerinha1","br","br_ro_cachoerinha1_1101104",TRUE,"RO-PV-48","Cachoerinha-1","RO","Western","Amazon_Forest",-8.869518,-63.313225
"11","1007","1101104","itapuã do oeste","ro",-63.313225,-8.869518,"cachoerinha1","br","br_ro_cachoerinha1_1101104",TRUE,"RO-PV-48","Cachoerinha-1","RO","Western","Amazon_Forest",-8.869518,-63.313225
"12","1008","1101104","itapuã do oeste","ro",-63.313225,-8.869518,"cachoerinha1","br","br_ro_cachoerinha1_1101104",TRUE,"RO-PV-48","Cachoerinha-1","RO","Western","Amazon_Forest",-8.869518,-63.313225
"13","1009","1101104","itapuã do oeste","ro",-63.313225,-8.869518,"cachoerinha1","br","br_ro_cachoerinha1_1101104",TRUE,"RO-PV-48","Cachoerinha-1","RO","Western","Amazon_Forest",-8.869518,-63.313225
"14","101","1721000","palmas","to",-48.16270338,-10.23067704,"abrigodojon","br","br_to_abrigodojon_1721000",TRUE,"na","Abrigo do Jon","TO","Northern","Savannah",-10.23067704,-48.16270338
"15","1010","1200450","senador guiomard","ac",-67.651382,-10.34412,"ramaldocapatari","br","br_ac_ramaldocapatari_1200450",FALSE,"na","Ramal do Capatari","AC","Western","Amazon_Forest",-10.34412,-67.651382
"16","1011","1200450","senador guiomard","ac",-67.574167,-10.078333,"fazendaatlantica","br","br_ac_fazendaatlantica_1200450",FALSE,"na","Fazenda Atlantica","AC","Western","Amazon_Forest",-10.078333,-67.574167
"17","1012","1200401","rio branco","ac",-67.496976,-9.959369,"severinocalazans","br","br_ac_severinocalazans_1200401",FALSE,"na","Severino Calazans","AC","Western","Amazon_Forest",-9.959369,-67.496976
"18","1013","1200401","rio branco","ac",-67.496976,-9.959369,"severinocalazans","br","br_ac_severinocalazans_1200401",TRUE,"na","Severino Calazans","AC","Western","Amazon_Forest",-9.959369,-67.496976
"19","1014","1200401","rio branco","ac",-67.496976,-9.959369,"severinocalazans","br","br_ac_severinocalazans_1200401",TRUE,"na","Severino Calazans","AC","Western","Amazon_Forest",-9.959369,-67.496976
"20","1015","1200401","rio branco","ac",-67.496976,-9.959369,"severinocalazans","br","br_ac_severinocalazans_1200401",TRUE,"na","Severino Calazans","AC","Western","Amazon_Forest",-9.959369,-67.496976
"21","1016","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",FALSE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"22","1017","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",TRUE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"23","1018","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",TRUE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"24","1019","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",TRUE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"25","102","1721000","palmas","to",-48.16270338,-10.23067704,"abrigodojon","br","br_to_abrigodojon_1721000",TRUE,"na","Abrigo do Jon","TO","Northern","Savannah",-10.23067704,-48.16270338
"26","1020","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",TRUE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"27","1021","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",TRUE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"28","1022","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",TRUE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"29","1023","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",TRUE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"30","1024","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",TRUE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"31","1025","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",TRUE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"32","1026","1200401","rio branco","ac",-67.50418,-9.936076,"jacosa","br","br_ac_jacosa_1200401",TRUE,"na","Jaco Sa","AC","Western","Amazon_Forest",-9.936076,-67.50418
"33","1027","1200401","rio branco","ac",-67.534081,-9.873509,"fazendacolorada","br","br_ac_fazendacolorada_1200401",FALSE,"na","Fazenda Colorada","AC","Western","Amazon_Forest",-9.873509,-67.534081
"34","1028","1200401","rio branco","ac",-67.534081,-9.873509,"fazendacolorada","br","br_ac_fazendacolorada_1200401",TRUE,"na","Fazenda Colorada","AC","Western","Amazon_Forest",-9.873509,-67.534081
"35","1029","1200401","rio branco","ac",-67.534081,-9.873509,"fazendacolorada","br","br_ac_fazendacolorada_1200401",TRUE,"na","Fazenda Colorada","AC","Western","Amazon_Forest",-9.873509,-67.534081
"36","103","2925600","presidente dutra","ba",-42.018393,-11.261563,"abrigodopilao","br","br_ba_abrigodopilao_2925600",FALSE,"na","Abrigo do Pilao","BA","Northeastern","caatinga",-11.261563,-42.018393
"37","1030","4101606","arapoti","pr",-49.9,-24.15,"a196","br","br_pr_a196_4101606",FALSE,"na","A196","SP","Southeastern","Coastal/marine",-24.15,-49.9
"38","1031","3513504","cubatão","sp",-46.413333,-23.93,"sambaquia219","br","br_sp_sambaquia219_3513504",FALSE,"na","Sambaqui A219","SP","Southeastern","Coastal/marine",-23.93,-46.413333
"39","1032","4101606","arapoti","pr",-50.13017191,-23.98454959,"riodocafe1","br","br_pr_riodocafe1_4101606",FALSE,"PR-WB-03","Rio do cafe 1","PR","Southern","Atlantic_Forest",-23.98454959,-50.13017191
"40","1033","4101606","arapoti","pr",-50.11265323,-23.98913664,"riodocafe2","br","br_pr_riodocafe2_4101606",FALSE,"PR-WB-05","Rio do cafe 2","PR","Southern","Atlantic_Forest",-23.98913664,-50.11265323
"41","1034","4101606","arapoti","pr",-50.21077012,-23.99537192,"laranjinha","br","br_pr_laranjinha_4101606",FALSE,"PR-WB-01","Laranjinha","PR","Southern","Atlantic_Forest",-23.99537192,-50.21077012
"42","1035","4101606","arapoti","pr",-50.19980368,-23.99778978,"abrigotunas","br","br_pr_abrigotunas_4101606",FALSE,"PR-WB-16","Abrigo Tunas","PR","Southern","Atlantic_Forest",-23.99778978,-50.19980368
"43","1036","4107751","figueira","pr",-50.427068,-23.897016,"prsa02","br","br_pr_prsa02_4107751",FALSE,"PR-SA-02","PR-SA-02","PR","Southern","Atlantic_Forest",-23.897016,-50.427068
"44","1037","4107009","curiúva","pr",-50.39135852,-23.99866977,"rioalecrim1","br","br_pr_rioalecrim1_4107009",FALSE,"PR-RP-10","Rio Alecrim 1","PR","Southern","Atlantic_Forest",-23.99866977,-50.39135852
"45","1038","4107009","curiúva","pr",-50.66365534,-24.01554094,"aguadacangaia","br","br_pr_aguadacangaia_4107009",FALSE,"PR-SA-08","Agua da Cangaia","PR","Southern","Atlantic_Forest",-24.01554094,-50.66365534
"46","1039","4107009","curiúva","pr",-50.66365534,-24.01554094,"sitiocamargo2","br","br_pr_sitiocamargo2_4107009",FALSE,"PR-SA-06","Sitio Camargo 2","PR","Southern","Atlantic_Forest",-24.01554094,-50.66365534
"47","104","2925600","presidente dutra","ba",-42.018393,-11.261563,"abrigodopilao","br","br_ba_abrigodopilao_2925600",TRUE,"na","Abrigo do Pilao","BA","Northeastern","caatinga",-11.261563,-42.018393
"48","1040","4115705","matinhos","pr",-48.541019,-25.814084,"sambaquimatinho","br","br_pr_sambaquimatinho_4115705",FALSE,"PR-P-27","Sambaqui Matinho","PR","Southern","Coastal/marine",-25.814084,-48.541019
"49","1041","4115705","matinhos","pr",-48.547857,-25.823742,"leonel","br","br_pr_leonel_4115705",FALSE,"PR-P-41","Leonel","PR","Southern","Coastal/marine",-25.823742,-48.547857
"50","1042","4125605","são mateus do sul","pr",-50.4314222,-25.79274452,"erveiras","br","br_pr_erveiras_4125605",FALSE,"PR-SM-14","Erveiras","PR","Southern","Atlantic_Forest",-25.79274452,-50.4314222
"51","1043","3543006","ribeirão branco","sp",-48.83881193,-24.25858801,"gasbol8","br","br_sp_gasbol8_3543006",FALSE,"na","Gasbol 8","SP","Southeastern","Atlantic_Forest",-24.25858801,-48.83881193
"52","1044","3532827","nova campina","sp",-48.97398388,-24.16961604,"muzel","br","br_sp_muzel_3532827",FALSE,"na","Muzel","SP","Southeastern","Atlantic_Forest",-24.16961604,-48.97398388
"53","1045","3502705","apiaí","sp",-48.9002592,-24.35478356,"quatis","br","br_sp_quatis_3502705",FALSE,"na","Quatis","SP","Southeastern","Atlantic_Forest",-24.35478356,-48.9002592
"54","1046","3517604","guapiara","sp",-48.58772069,-24.09641945,"arlindocruz","br","br_sp_arlindocruz_3517604",FALSE,"na","Arlindo Cruz","SP","Southeastern","Atlantic_Forest",-24.09641945,-48.58772069
"55","1047","3517604","guapiara","sp",-48.58772069,-24.09641945,"arlindocruz","br","br_sp_arlindocruz_3517604",TRUE,"na","Arlindo Cruz","SP","Southeastern","Atlantic_Forest",-24.09641945,-48.58772069
"56","1048","3517604","guapiara","sp",-48.58772069,-24.09641945,"arlindocruz","br","br_sp_arlindocruz_3517604",TRUE,"na","Arlindo Cruz","SP","Southeastern","Atlantic_Forest",-24.09641945,-48.58772069
"57","1049","4117305","ortigueira","pr",-50.7566286,-24.0450082,"prsa34","br","br_pr_prsa34_4117305",FALSE,"PR-SA-34","PR-SA-34","PR","Southern","Atlantic_Forest",-24.0450082,-50.7566286
"58","105","2925600","presidente dutra","ba",-42.018393,-11.261563,"abrigodopilao","br","br_ba_abrigodopilao_2925600",TRUE,"na","Abrigo do Pilao","BA","Northeastern","caatinga",-11.261563,-42.018393
"59","1050","4119509","piraquara","pr",-49.081237,-25.42808,"1eixobarpiraquara","br","br_pr_1eixobarpiraquara_4119509",FALSE,"na","1 Eixo Bar Piraquara","PR","Southern","Atlantic_Forest",-25.42808,-49.081237
"60","1051","4114302","mandirituba","pr",-49.34592254,-25.72441561,"riodasoncas3","br","br_pr_riodasoncas3_4114302",FALSE,"PR-CT-91","RIo das Oncas 3","PR","Southern","Atlantic_Forest",-25.72441561,-49.34592254
"61","1052","3513702","descalvado","sp",-47.753414,-21.825508,"bs22bairrodaserra","br","br_sp_bs22bairrodaserra_3513702",FALSE,"na","BS-22 Bairro da Serra","SP","Southeastern","Atlantic_Forest",-21.825508,-47.753414
"62","1053","2111300","são luís","ma",-44.256277,-2.522504,"sambaquidobacanga","br","br_ma_sambaquidobacanga_2111300",FALSE,"na","Sambaqui do Bacanga","MA","Northern","Amazon_Forest",-2.522504,-44.256277
"63","1054","2111300","são luís","ma",-44.256277,-2.522504,"sambaquidobacanga","br","br_ma_sambaquidobacanga_2111300",TRUE,"na","Sambaqui do Bacanga","MA","Northern","Amazon_Forest",-2.522504,-44.256277
"64","1055","2111300","são luís","ma",-44.256277,-2.522504,"sambaquidobacanga","br","br_ma_sambaquidobacanga_2111300",TRUE,"na","Sambaqui do Bacanga","MA","Northern","Amazon_Forest",-2.522504,-44.256277
"65","1056","2111300","são luís","ma",-44.256277,-2.522504,"sambaquidobacanga","br","br_ma_sambaquidobacanga_2111300",TRUE,"na","Sambaqui do Bacanga","MA","Northern","Amazon_Forest",-2.522504,-44.256277
"66","1057","2111300","são luís","ma",-44.256277,-2.522504,"sambaquidobacanga","br","br_ma_sambaquidobacanga_2111300",TRUE,"na","Sambaqui do Bacanga","MA","Northern","Amazon_Forest",-2.522504,-44.256277
"67","1058","2111300","são luís","ma",-44.256277,-2.522504,"sambaquidobacanga","br","br_ma_sambaquidobacanga_2111300",TRUE,"na","Sambaqui do Bacanga","MA","Northern","Amazon_Forest",-2.522504,-44.256277
"68","1059","2111300","são luís","ma",-44.256277,-2.522504,"sambaquidobacanga","br","br_ma_sambaquidobacanga_2111300",TRUE,"na","Sambaqui do Bacanga","MA","Northern","Amazon_Forest",-2.522504,-44.256277
"69","106","2925600","presidente dutra","ba",-42.018393,-11.261563,"abrigodopilao","br","br_ba_abrigodopilao_2925600",TRUE,"na","Abrigo do Pilao","BA","Northeastern","caatinga",-11.261563,-42.018393
"70","1060","2111300","são luís","ma",-44.256277,-2.522504,"sambaquidobacanga","br","br_ma_sambaquidobacanga_2111300",TRUE,"na","Sambaqui do Bacanga","MA","Northern","Amazon_Forest",-2.522504,-44.256277
"71","1061","2111300","são luís","ma",-44.256277,-2.522504,"sambaquidobacanga","br","br_ma_sambaquidobacanga_2111300",TRUE,"na","Sambaqui do Bacanga","MA","Northern","Amazon_Forest",-2.522504,-44.256277
