cod;name;longitude;latitude;pais;estado;municipio_provincia
1;Mandu;-5.807.064.444.400;-397.481.388.900;Brasil;Amazonas;Maués
2;Pacoval 2;-5.808.031.944.400;-389.978.888.900;Brasil;Amazonas;Maués
3;Pacoval 1;-5.808.517.777.800;-380.201.111.100;Brasil;Amazonas;Maués
4;Vista Alegre;-5.805.184.444.400;-377.576.666.700;Brasil;Amazonas;Maués
5;Ponta do Bolão;-5.791.208.888.900;-379.285.833.300;Brasil;Amazonas;Maués
6;Cicantá II;-5.779.883.611.100;-381.089.166.700;Brasil;Amazonas;Maués
7;Cicantá I;-5.781.084.166.700;-380.094.722.200;Brasil;Amazonas;Maués
8;Perigo;-5.790.545.000.000;-383.459.444.400;Brasil;Amazonas;Maués
9;Pajurá;-5.786.808.333.300;-385.854.166.700;Brasil;Amazonas;Maués
10;Varre Vento I;-5.790.440.000.000;-397.200.000.000;Brasil;Amazonas;Maués
11;Varre Vento II;-5.790.626.666.700;-395.813.333.300;Brasil;Amazonas;Maués
12;São Pedro;-5.790.170.555.600;-396.286.944.400;Brasil;Amazonas;Maués
13;Espirito Santo;-5.791.230.833.300;-393.849.722.200;Brasil;Amazonas;Maués
14;Flechal;-5.790.996.666.700;-400.565.555.600;Brasil;Amazonas;Maués
15;Batista;-5.754.831.944.400;-378.138.888.900;Brasil;Amazonas;Maués
16;Sinai I;-5.757.701.388.900;-437.926.666.700;Brasil;Amazonas;Maués
17;Pingo de Ouro;-5.754.843.611.100;-382.636.944.400;Brasil;Amazonas;Maués
18;Sinai II;-5.762.358.055.600;-438.996.666.700;Brasil;Amazonas;Maués
19;Laranjal I;-5.759.060.000.000;-431.410.277.800;Brasil;Amazonas;Maués
20;Laranjal II;-5.760.958.333.300;-430.792.777.800;Brasil;Amazonas;Maués
21;Laranjal III;-5.760.603.888.900;-430.638.333.300;Brasil;Amazonas;Maués
22;Maringá I;-5.757.909.722.200;-417.849.722.200;Brasil;Amazonas;Maués
23;Maringá II;-5.757.771.666.700;-415.022.777.800;Brasil;Amazonas;Maués
24;Vila Darci;-5.755.460.833.300;-407.535.833.300;Brasil;Amazonas;Maués
25;Paraíso I;-5.757.512.500.000;-398.870.833.300;Brasil;Amazonas;Maués
26;Mucajá I;-5.750.427.777.800;-389.832.500.000;Brasil;Amazonas;Maués
27;São Sebastião do Turé;-6.484.561.304.100;-343.596.909.800;Brasil;Amazonas;Tefé
28;Bom Jesus da Ponta da Castanha;-6.497.230.690.000;-352.482.933.500;Brasil;Amazonas;Alvarães
29;Praia;-6.490.429.504.800;-343.003.033.700;Brasil;Amazonas;Alvarães
30;Santa Luzia;-6.489.748.907.900;-339.608.192.100;Brasil;Amazonas;Alvarães
31;Marajá I;-6.490.445.646.800;-340.695.475.900;Brasil;Amazonas;Alvarães
32;Nogueira;-6.478.027.777.800;-330.138.888.900;Brasil;Amazonas;Alvarães
33;Itapiranema III;-6.483.166.548.100;-334.974.959.000;Brasil;Amazonas;Alvarães
34;Itapiranema II;-6.482.444.920.800;-334.469.934.300;Brasil;Amazonas;Alvarães
35;Manaã;-6.484.145.465.300;-335.457.786.400;Brasil;Amazonas;Alvarães
36;Boa Vista;-6.494.447.193.900;-346.660.467.500;Brasil;Amazonas;Alvarães
37;Moria;-6.494.641.587.700;-347.119.389.600;Brasil;Amazonas;Alvarães
38;São Raimundo de Cima;-6.494.844.848.700;-347.513.190.900;Brasil;Amazonas;Alvarães
39;Ponto do Catuiri;-6.490.506.372.400;-343.198.187.700;Brasil;Amazonas;Alvarães
40;Ipapucú;-6.478.289.920.000;-338.450.948.600;Brasil;Amazonas;Tefé
41;Fazenda Paraíso;-6.474.402.685.300;-335.882.648.000;Brasil;Amazonas;Tefé
42;Vila I;-6.467.799.100.000;-335.979.000.000;Brasil;Amazonas;Tefé
43;Vila II;-6.467.491.523.400;-336.032.249.500;Brasil;Amazonas;Tefé
44;Vila III;-6.467.193.173.500;-336.262.459.800;Brasil;Amazonas;Tefé
45;Vila IV;-6.466.858.859.600;-336.510.818.100;Brasil;Amazonas;Tefé
46;Vila Izidoro;-6.459.193.054.900;-340.374.427.600;Brasil;Amazonas;Tefé
47;Remanso Grande;-6.392.845.900.000;-864.432.300.000;Brasil;Rondônia;Porto Velho
48;Brejo;-6.395.349.500.000;-880.927.700.000;Brasil;Rondônia;Porto Velho
49;Nova Vida;-6.362.753.700.000;-862.558.700.000;Brasil;Rondônia;Porto Velho
50;Belmonte;-6.388.497.900.000;-864.134.000.000;Brasil;Rondônia;Porto Velho
51;Barranco;-6.348.219.700.000;-856.511.200.000;Brasil;Rondônia;Porto Velho
52;Prosperidade;-6.351.857.800.000;-844.876.100.000;Brasil;Rondônia;Porto Velho
53;Itapirema;-6.352.866.400.000;-845.783.100.000;Brasil;Rondônia;Porto Velho
54;Veneza;-6.395.272.400.000;-879.814.100.000;Brasil;Rondônia;Porto Velho
55;Topazio;-6.316.861.000.000;-909.583.300.000;Brasil;Rondônia;Itapuã do Oeste
56;Terra Preta;-6.330.583.200.000;-895.833.300.000;Brasil;Rondônia;Itapuã do Oeste
57;Teotônio;-6.405.555.700.000;-888.888.900.000;Brasil;Rondônia;Porto Velho
58;Taboca;-6.354.499.800.000;-903.083.300.000;Brasil;Rondônia;Candeias do Jamari
59;Santo Antônio 1;-6.394.027.700.000;-881.166.700.000;Brasil;Rondônia;Porto Velho
60;Santa Cruz;-6.385.833.400.000;-862.222.200.000;Brasil;Rondônia;Porto Velho
61;Samuel 6;-6.345.333.500.000;-873.666.700.000;Brasil;Rondônia;Candeias do Jamari
62;Samuel 5;-6.341.722.100.000;-875.138.900.000;Brasil;Rondônia;Candeias do Jamari
63;Samuel 4;-6.344.916.500.000;-875.333.300.000;Brasil;Rondônia;Candeias do Jamari
64;Samuel 3;-6.345.277.800.000;-875.250.000.000;Brasil;Rondônia;Candeias do Jamari
65;Samuel 2;-6.341.722.100.000;-875.111.100.000;Brasil;Rondônia;Candeias do Jamari
66;Samuel 1;-6.345.333.500.000;-874.833.300.000;Brasil;Rondônia;Candeias do Jamari
67;Rema;-6.397.083.300.000;-881.305.600.000;Brasil;Rondônia;Porto Velho
68;Quebra Canto;-6.327.416.600.000;-916.500.000.000;Brasil;Rondônia;Itapuã do Oeste
69;Quebra Canto 2;-6.327.388.800.000;-916.666.700.000;Brasil;Rondônia;Itapuã do Oeste
70;Quatro Azes;-6.446.138.800.000;-939.805.600.000;Brasil;Rondônia;Porto Velho
71;Pupunha;-6.352.027.900.000;-834.472.200.000;Brasil;Rondônia;Porto Velho
72;Providência 2;-6.325.249.900.000;-917.777.800.000;Brasil;Rondônia;Itapuã do Oeste
73;Providência 1;-6.337.389.000.000;-939.166.700.000;Brasil;Rondônia;Candeias do Jamari
74;Prainha;-6.331.861.900.000;-887.138.900.000;Brasil;Rondônia;Candeias do Jamari
75;PR-3;-6.341.166.700.000;-874.472.200.000;Brasil;Rondônia;Candeias do Jamari
76;Poçao 1;-6.340.750.100.000;-875.472.200.000;Brasil;Rondônia;Candeias do Jamari
77;Picada;-6.343.083.200.000;-872.333.300.000;Brasil;Rondônia;Candeias do Jamari
78;Petália;-6.385.694.500.000;-810.000.000.000;Brasil;Amazonas;Canutama
79;Peruano;-6.346.666.700.000;-875.916.700.000;Brasil;Rondônia;Candeias do Jamari
80;Peroba;-6.350.027.800.000;-921.166.700.000;Brasil;Rondônia;Candeias do Jamari
81;Pedro;-6.328.805.500.000;-903.333.300.000;Brasil;Rondônia;Itapuã do Oeste
82;Pederneira 3;-6.534.466.600.000;-953.888.900.000;Brasil;Rondônia;Porto Velho
83;Pederneira 2;-6.532.611.100.000;-954.444.400.000;Brasil;Rondônia;Porto Velho
84;Pederneira 1;-6.532.444.800.000;-954.583.300.000;Brasil;Rondônia;Porto Velho
85;Peão;-6.342.833.300.000;-873.361.100.000;Brasil;Rondônia;Candeias do Jamari
86;Paquetá;-6.351.583.500.000;-832.666.700.000;Brasil;Rondônia;Porto Velho
87;Pacatuba;-6.324.889.000.000;-915.944.400.000;Brasil;Rondônia;Itapuã do Oeste
88;Paca;-6.347.333.100.000;-848.333.300.000;Brasil;Rondônia;Porto Velho
89;Nova Vida 4;-6.329.250.000.000;-896.805.600.000;Brasil;Rondônia;Itapuã do Oeste
90;Nova Vida 3;-6.328.972.200.000;-896.555.600.000;Brasil;Rondônia;Itapuã do Oeste
91;Nova Vida 2;-6.329.805.800.000;-897.472.200.000;Brasil;Rondônia;Itapuã do Oeste
92;Nova Vida 1;-6.327.500.200.000;-897.361.100.000;Brasil;Rondônia;Itapuã do Oeste
93;Nascente;-6.320.527.600.000;-931.972.200.000;Brasil;Rondônia;Itapuã do Oeste
94;Morrinhos;-6.419.305.400.000;-905.694.400.000;Brasil;Rondônia;Porto Velho
95;Monte Alegre;-6.348.833.500.000;-831.083.300.000;Brasil;Rondônia;Porto Velho
96;Mizael;-6.212.500.000.000;-1.117.888.900.000;Brasil;Rondônia;Presidente Médici
97;Matapi 2;-6.336.360.900.000;-883.388.900.000;Brasil;Rondônia;Candeias do Jamari
98;Matapi 1;-6.336.249.900.000;-883.333.300.000;Brasil;Rondônia;Candeias do Jamari
99;Marcos;-6.333.083.300.000;-899.638.900.000;Brasil;Rondônia;Candeias do Jamari
100;Maravilha;-6.390.646.000.000;-876.583.300.000;Brasil;Rondônia;Porto Velho
