Nome,X,Y,Estado,Municipio
RS-VZ-25,"-55.07036","-27.78902",,
Laranjal 1,"-54.61234","-25.46243",,
Eixo da Barragem 2,"-54.57966","-25.39835",,
Eixo da Barragem 1,"-54.57746","-25.40385",,
Agostine,"-54.57482","-25.46701",,
Lakus 1,"-54.56445","-25.47424",,
Gerhard 2,"-54.55824","-25.47438",,
Sanga Funda 1,"-54.55271","-25.39319",,
Rosatto 3,"-54.55172","-25.47579",,
Rosatto 4,"-54.55047","-25.47589",,
Sanga Funda 3,"-54.55019","-25.396",,
Rossatto 05,"-54.54911","-25.47537",,
Rosatto 6,"-54.54911","-25.47537",,
Sanga Funda 2,"-54.54865","-25.39312",,
Olaria 1,"-54.54729","-25.47534",,
Olaria 2,"-54.54635","-25.47557",,
Sanga Funda 5,"-54.53866","-25.39964",,
Sanga Funda 6,"-54.53858","-25.3953",,
Sanga Funda 4,"-54.5351","-25.39762",,
Ranchinho,"-54.52384","-25.41297",,
Alto do Bela Vista 1,"-54.51973","-25.42061",,
Capoeira,"-54.51849","-25.41846",,
Variatti,"-54.51774","-25.42361",,
Alto do Bela Vista 3,"-54.51596","-25.42163",,
Figueira 3,"-54.5076","-25.43878",,
Figueira 1,"-54.50535","-25.44054",,
Arroio Sto Antonio,"-54.50373","-25.44253",,
Passo CuaÉa™ 1,"-54.4944","-25.30763",,
Fazenda Cacula,"-54.4792","-25.26516",,
Passo CuaÉa™ 2,"-54.47847","-25.32809",,
Passo CuaÉa™ 5,"-54.46564","-25.32675",,
Passo CuaÉa™ 3,"-54.46435","-25.32297",,
Rio Sao Vicente Chico,"-54.43708","-24.99746",,
Corrego Lajeado 1,"-54.39944","-24.84545",,
Passo CuaÉa™ 7,"-54.39042","-25.3523",,
Santa Hele,"-54.34597","-24.82955",,
Sete Quedas - 8,"-54.26678","-24.07723",,
Prainha - 5,"-54.26462","-24.07996",,
Sete Quedas - 7,"-54.26456","-24.07635",,
Mari - 3,"-54.26042","-24.07638",,
Mari - 1,"-54.25494","-24.07654",,
Sete Quedas - 1,"-54.2537","-24.07661",,
MA 21 LT 525kV Foz-Cascavel,"-54.12276","-25.25245",,
MV 23 LT 525kV Foz-Cascavel,"-53.9894","-25.1959",,
Vao entre MA39 e 40 LT 525kV Foz-Cascavel,"-53.80395","-25.11268",,
MA 40 LT 525kV Foz-Cascavel,"-53.76288","-25.09748",,
Torre 121 LT525 Cascavel-Caxias,"-53.71655","-25.05746",,
Fase Itapiranga1,"-53.713","-27.1086",,
Fase Itapiranga 2,"-53.68779","-27.10738",,
RS-VZ-43,"-53.68185","-27.32798",,
Marechal Lott,"-53.66548","-25.51113",,
Fase Itapiranga3,"-53.66023","-27.11083",,
Fase Itapiranga4,"-53.63818","-27.11786",,
Barracao,"-53.63525","-26.25181",,
Antenor Raubert,"-53.62366","-25.52801",,
RS-VZ-44,"-53.62155","-27.31053",,
Corrego Cacula 1,"-53.62085","-25.53101",,
Fase Itapiranga5,"-53.61947","-27.10961",,
Fase Itapiranga6,"-53.60275","-27.12003",,
Torre 115 LT525 Cascavel-Caxias,"-53.53018","-25.08646",,
Torre 127 LT525 Cascavel-Caxias,"-53.52384","-25.04106",,
Eixo da Barragem,"-53.49272","-25.54164",,
Juzante Salto Caxias II,"-53.48717","-25.54866",,
Corrego Tigrinho,"-53.41869","-25.49848",,
Nerval Felix da Aparecida,"-53.36178","-25.46048",,
Rato I,"-53.35955","-25.47333",,
Mauro Aguiar,"-53.35892","-25.46179",,
Joselindo Cancelier I,"-53.30977","-25.5508",,
Caver do Vora,"-53.30494","-25.55552",,
Balsa do Vora,"-53.3044","-25.54813",,
Adelar do Vora,"-53.30424","-25.55563",,
Cachoeira Sao Jorge,"-53.29797","-25.60735",,
Balsa Porto Sao Paulo II,"-53.27434","-25.58425",,
Jose Machado Gomes,"-53.27223","-25.58889",,
Marcelino Borges,"-53.27204","-25.55748",,
Valdir Tequio,"-53.27143","-25.56733",,
Juvelino Cechin,"-53.26444","-25.58748",,
Setembrino Luz,"-53.26233","-25.43786",,
Maria Salete Ghizi,"-53.25777","-25.60328",,
Teobaldo Vaz,"-53.24858","-25.60668",,
Arno Bianchini,"-53.24082","-25.6123",,
SaÉa≠tio de Ouro Verde I,"-53.22754","-25.5778",,
Cruz Alta II,"-53.19994","-25.55949",,
Cruz Alta I,"-53.19725","-25.55962",,
Joao Schleme,"-53.18854","-25.52915",,
Jair Stockman,"-53.17432","-25.53532",,
Caraja II,"-53.15294","-24.44852",,
Joao Lisboa,"-53.14171","-25.54753",,
OtacaÉa≠lio Ramon,"-53.14112","-25.53698",,
Caraja III,"-53.14077","-24.43597",,
Amador Aguiar,"-53.14076","-25.53356",,
Raul Varela,"-53.14056","-25.52769",,
Caraja IV,"-53.13959","-24.45022",,
Buzanello I,"-53.13953","-25.55388",,
Estrada da Cantareira,"-53.13931","-24.46735",,
Caraja I,"-53.13151","-24.46727",,
Aterro do Pasto,"-53.12894","-24.46125",,
Aterro Tiburtius,"-53.12881","-24.42718",,
SC-VU-8,"-53.12826","-26.99683",,
