"","Sigla","name","State","region","bioma","y","x","source_of_","coords.x1","coords.x2","encoding"
"1",na,"Sambaqui Ilhota","SC","Southern","Atlantic_forest","-26.873637","-48.799256","estimated",-48.799256,-26.873637,"UTF-8"
"2",na,"Sambaqui Balsinha II","SC","Southeastern","Coastal_marine","-28.359889","-48.801474",na,-48.801474,-28.359889,"UTF-8"
"3",na,"Sambaqui Ponta Grossa","SP","Southeastern","Coastal_marine","-24.840726","-47.731975","estimated",-47.731975,-24.840726,"UTF-8"
"4",na,"Sambaqui Santana","RJ","Southeastern","Coastal_marine","-22.409848","-41.707409","estimated",-41.707409,-22.409848,"UTF-8"
"5",na,"Sambaqui Guaiba","RJ","Southeastern","Coastal_marine","-23","-44.03333333",na,-44.03333333,-23,"UTF-8"
"6",na,"Sambaqui Telegrafo","RJ","Southeastern","Coastal_marine","-22.995061","-43.604611","estimated",-43.604611,-22.995061,"UTF-8"
"7",na,"Bela Vista 2","SP","Southeastern","Atlantic_Forest","-22.497501","-46.996137","estimated",-46.996137,-22.497501,"UTF-8"
"8",na,"Joao Batista","PR","Southern","Atlantic_Forest","-24.214","-51.506","literature",-51.506,-24.214,"UTF-8"
"9",na,"Joao Batista","PR","Southern","Atlantic_Forest","-24.214","-51.506","literature",-51.506,-24.214,"UTF-8"
"10","RS-MJ-88","Emilio Kieffer","RS","Southern","Atlantic_Forest","-29.659","-53.555","literature",-53.555,-29.659,"UTF-8"
"11","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"12","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"13","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"14","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"15","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"16","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"17","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"18","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"19","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"20","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"21","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"22","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"23","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"24","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"25","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"26","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"27","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"28","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"29","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"30","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"31","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
"32","MS-IV-08","Lagao do  Custodio 1","MS",na,na,"-22.3844","-52.8688","literature",-52.8688,-22.3844,"UTF-8"
