est; ind_todos; ind_hom; nao_hom; interditadas; dominial; reserva; sbf_todos; sbf_pi; sbf_us; sbf_mi; sbf_ou; sbf_sd; ass; qui; sicar_todos; mf; p; m; g; km2; sem_classificacao
AC;  25169.99; 22859.63; 2073.414; 5.734772; 231.2135; 0; 107.9; 15627.0; 71855.0; 0; 0; 20459.0;  52679.4;  0; 166946.1; 20874.91; 15608.56; 27038.39; 103424.2; 164173.6;NA
AM;  465944.8; 421181; 32551.11; 12177.2; 35.48468; 0; 1343.0; 129741.0; 807590.0; 1101.0; 1778.0; 402794.0; 258038.7; 7476.7; 1559169.0; 31237.23; 47317.57; 49189.44; 542482.3; 1559169.0;NA
AP; 11830.46; 11830.46; 0; 0; 0; 0; 120.4; 47159.0; 59647.0; 0072.0; 0; 13558.0; 17076.0; 579.60; 142470.9; 1763.1; 8281.6; 17400.31; 24453.63; 142470.9;NA
MA; 24582.87; 19020.4; 5355.28;0; 46.48142; 160.7034; 48.5;  14904.0; 30164.0; 0698.0; 0;  2717.0; 39157.9; 1867.62; 345892.3; 64252.06; 53371.67; 48188.75; 180079.8; 329651.5;64252.06
MT; 152416.7; 125098.7; 21742.71; 4848.113; 0; 727.1296; 191.5; 19439.0; 151552.0; 0328.0; 0; 20147.0; 41279.7; 180.12; 923682.6; 70028.6; 85515.86; 149338.1; 618800.0; 903207.5;70028.6
PA; 308936.2; 282921.2; 23095.98; 2850.543; 8.294197; 60.11106; 817.5; 127653.0; 570000.0; 22772.0; 0;97069.0; 189445.9; 7040.54; 1245871.0; 106208.7; 177443.4; 102028.8; 442015.3; 1245871;106208.7
RR; 103537.5; 102736.6; 0; 800.9142; 0; 0; 180.8; 14622.0; 133666.0; 2504.0; 0;29960.0; 12794.7; 0; 223644.1; 17322.94; 7561.8; 29610.21; 26036.61; 223644.1;13403.4
RO; 51198.2; 48668.45; 2350.726; 161.1129; 0; 17.90986; 126.3; 21441.0; 74054.0; 0132.0; 0; 30657.0; 34822.6; 583.28; 237765.4; 36500.88; 72327.68; 27271.52; 54078.8; 237765.4;NA
TO; 25969.43; 23752.38; 2063.776; 0; 0; 153.2728; 49.9; 10722.0; 26711.0; 0; 0; 12521.0; 11311.5; 1284.44; 277423.6; 41476.34; 55515.21; 68056.23; 109054.2; 277423.6;40849.7

	
























