"","modalidade","km","X","porc","porc2","porc0"
"1","Homologada",1058246,NA,20.7965220891048,20.8,21
"2","Não Homologada",89233.12,NA,1.75359845551954,1.75,2
"3","Interditada",20843.62,NA,0.409616293136856,0.41,0
"4","Dominial",321.4738,NA,0.00631756414176708,0.01,0
"5","Reserva Indigena",1119.127,NA,0.0219929481198262,0.02,0
"6","Proteção Integral",401311.3,NA,7.88652101218181,7.89,8
"7","Uso Sustentável",1925197,NA,37.8337380310232,37.83,38
"8","Militar",27605.78,NA,0.542505441605228,0.54,1
"9","Outros Usos",1778.403,NA,0.0349489601404874,0.03,0
"10","Sem Destinação",629886.3,NA,12.3784491995004,12.38,12
"11","Assentamento ",1118262,NA,21.9759492446997,21.98,22
"12","Quilombola",19012.34,NA,0.373628200603234,0.37,0
"13","Urbanizada",1810.013,NA,0.0355701560280566,0.04,0
"14","Rural-Minifúndio",389664.7,NA,7.65764344102825,7.66,8
"15","Rural-Pequena",522943.3,NA,10.2768183293859,10.28,10
"16","Rural-Média",518121.8,NA,10.1820667959498,10.18,10
"17","Rural-Grande",2100425,NA,41.2772974421901,41.28,41
"18","Sem Classificação",0,NA,0,0,0
