REGIAO;UF;MUNICIPIO ;CODIGO DO IBGE;DENOMINACAO DA COMUNIDADE;ID QUILOMBOLA;N PROCESSO NA FCP;DATA DA ABERTURA DO PROCESSO;N DO LIVRO DE REGISTRO;N DO REGISTRO;N DA FOLHA DO LIVRO DE REGISTRO;N DA PORTARIA DE CERTIFICACAO;DATA DA PORTARIA NO D.O.U;LINK DA PUBLICACAO NO DOU;N PROCESSO INCRA;LATITUDE - S-N;LONGITUDE - W-E;ENDERECO/TELEFONE DA COMUNIDADE;OBSERVACOES
SUL;RS;MAQUINE | OSORIO;4311775 | 4313508;MORRO ALTO;27;01420.000014/2003-04;09/01/2003;1;1;2;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54220.001201/2004-09;-29.75315;-50.171421;;
NORDESTE;PI;QUEIMADA NOVA;2208650;TAPUIO;140;01420.000052/2004-30;03/02/2004;1;2;3;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54380.001320/2004-11 ;-8.518098;-41.363726;;
NORDESTE;PI;QUEIMADA NOVA;2208650;SUMIDOURO;1.409;01420.000051/2004-95;03/02/2004;1;3;4;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54380.001323/2004-54 ;;;;
SUL;RS;RESTINGA SECA;4315503;RINCAO DOS MARTIMIANOS;51;01420.000036/2003-66;09/01/2003;1;4;5;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54220.000258/2005-63;-29.784734;-53.375164;;
SUL;RS;RESTINGA SECA;4315503;SAO MIGUEL;52;01420.000034/2003-77;09/01/2003;1;5;6;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54220.000257/2005-19;-29.749886;-53.367375;;
SUL;RS;MOSTARDAS;4312500;CASCA;30;01420.000598/2001-48;18/07/2001;1;6;7;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54220.001202/2004-45;-30.618004;-50.472798;;
SUL;RS;GRAVATAI;4309209;MANOEL BARBOSA;50;01420.000146/2003-28;04/09/2003;1;7;8;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54220.001830/2004-21;-29.948405;-50.886622;;
SUDESTE;MG;SAO JOAO DA PONTE | VARZELÂNDIA | VERDELÂNDIA;3162401 | 3170909 | 3171030;BREJO DOS CRIOULOS (composta pelos povoados de ArapuIn, Araruba, Cabaceiros, Caxambu, Conrado e Furado Seco);156;01420.000308/1999-90;02/04/2004;1;8;9;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54170.008821/0203-12;-15.75831;-43.827141;;
SUL;SC;ABDON BATISTA | CAMPOS NOVOS;4200051 | 4203600;INVERNADA DOS NEGROS;34;01420.000155/2004-08;02/04/2004;1;9;10;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54210.000354/2004-40 ;-27.510525;-51.123056;;
SUL;RS;RIO PARDO;4315701;RINCAO DOS NEGROS;1.003;01420.000267/2003-70;31/01/2011;1;10;11;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54220.000398/2005-31;-29.911003;-52.511994;;
NORDESTE;MA;MATA ROMA;2106409;BOM SUCESSO DOS NEGROS;614;01420.000319/1998-90;16/09/1998;1;11;12;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54230.003668/2005-47 ;;;;
NORDESTE;RN;PARELHAS;2408904;BOA VISTA DOS NEGROS;10;01420.000004/2002-80;11/01/2002;1;12;13;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54330.001762/2004-52 ;-6.609715;-36.640921;;
CENTRO-OESTE;GO;NOVA ROMA;5214903;QUILOMBOLA DO MAGALHAES;14;01420.000121/2004-13;22/03/2004;1;13;14;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54700.000956/2006-47 ;-13.568879;-47.007891;Dominga MagalhAes da Cunha Santos - (62) 3482-1382 - Carlos Reis Pereira Santos - (62)3482 1378/ biu:(62) 98058997 - bio_bil@hotmail.com;
NORDESTE;SE;PORTO DA FOLHA;2805604;MOCAMBO;343;01420.000039/1997-09;24/02/1997;1;14;15;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54570000256/2005-51 ;-10.495414;-36.46698;;
NORDESTE;SE;AMPARO DE SAO FRANCISCO | TELHA;2800100 | 2807303;LAGOA DOS CAMPINHOS;69;01420.000333/2003-10;11/09/2003;1;15;16;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54370.000520/2004-75 ;-10.156204;-36.90896;;
